Row Label,PrecinctCode,County,Registered Voters,Lisa L. Sutton
Total,-1,KP,NULL,53861
BREMERTON 001,100001,KP,NULL,176
BREMERTON 002,100002,KP,NULL,122
BREMERTON 003,100003,KP,NULL,291
BREMERTON 005,100005,KP,NULL,209
BREMERTON 006,100006,KP,NULL,190
BREMERTON 007,100007,KP,NULL,5
BREMERTON 012,100012,KP,NULL,76
BREMERTON 013,100013,KP,NULL,262
BREMERTON 015,100015,KP,NULL,316
BREMERTON 016,100016,KP,NULL,69
BREMERTON 022,100022,KP,NULL,228
BREMERTON 029,100029,KP,NULL,257
BREMERTON 030,100030,KP,NULL,257
BREMERTON 031,100031,KP,NULL,148
BREMERTON 032,100032,KP,NULL,50
BREMERTON 037,100037,KP,NULL,402
BREMERTON 040,100040,KP,NULL,268
BREMERTON 041,100041,KP,NULL,245
BREMERTON 046,100046,KP,NULL,284
BREMERTON 051,100051,KP,NULL,34
BREMERTON 052,100052,KP,NULL,214
BREMERTON 053,100053,KP,NULL,397
BREMERTON 054,100054,KP,NULL,197
BREMERTON 056,100056,KP,NULL,265
BREMERTON 058,100058,KP,NULL,323
ILLAHEE 065,100065,KP,NULL,371
SYLVAN 066,100066,KP,NULL,328
RAINIER 067,100067,KP,NULL,360
PERRY 073,100073,KP,NULL,194
UELAND 082,100082,KP,NULL,0
ROCKY POINT 083,100083,KP,NULL,391
RIDGEWAY 084,100084,KP,NULL,82
KITSAP LAKE 085,100085,KP,NULL,23
POWERLINE 086,100086,KP,NULL,3
BAYVIEW 087,100087,KP,NULL,94
BREMERTON 088,100088,KP,NULL,52
MARION 090,100090,KP,NULL,70
NAVY YARD CITY 095,100095,KP,NULL,335
OLYMPIC 099,100099,KP,NULL,41
TRIDENT 101,100101,KP,NULL,83
FRONTIER 102,100102,KP,NULL,375
OLYMPIC VIEW 103,100103,KP,NULL,257
BROWNSVILLE 105,100105,KP,NULL,423
OLD FRONTIER 106,100106,KP,NULL,379
BREMERTON 107,100107,KP,NULL,0
BREMERTON 109,100109,KP,NULL,30
CHARLAND 110,100110,KP,NULL,246
ALPINE 111,100111,KP,NULL,270
HERITAGE PARK 112,100112,KP,NULL,222
COUNTRY CLUB 113,100113,KP,NULL,194
BREMERTON 114,100114,KP,NULL,0
CLEAR CREEK 120,100120,KP,NULL,306
BUCKLIN 121,100121,KP,NULL,371
LUOTO 122,100122,KP,NULL,177
COTTONWOOD 125,100125,KP,NULL,298
FOREST RIDGE 126,100126,KP,NULL,212
WOODMERE 127,100127,KP,NULL,403
CENTRAL VALLEY 128,100128,KP,NULL,381
WINSTON 129,100129,KP,NULL,143
ERLANDS POINT 130,100130,KP,NULL,232
REGAL 131,100131,KP,NULL,95
FAIRVIEW 135,100135,KP,NULL,196
FIRGLADE 137,100137,KP,NULL,215
TIBARDIS 139,100139,KP,NULL,156
GILBERTON 140,100140,KP,NULL,266
RIDGEPOINT 141,100141,KP,NULL,243
UNIVERSITY POINT 142,100142,KP,NULL,236
KARIOTIS 143,100143,KP,NULL,361
CAMBRIDGE 144,100144,KP,NULL,222
SPINNAKER 146,100146,KP,NULL,240
BARKER CREEK 147,100147,KP,NULL,382
SANTA FE 148,100148,KP,NULL,307
RIDGETOP 149,100149,KP,NULL,259
