Row Label,PrecinctCode,County,Registered Voters,Marcus Riccelli,Tim Benn
Total,-1,SP,NULL,19946,13349
PCT 3000,3000,SP,NULL,5,2
PCT 3100,3100,SP,NULL,184,166
PCT 3101,3101,SP,NULL,184,133
PCT 3102,3102,SP,NULL,125,110
PCT 3103,3103,SP,NULL,135,134
PCT 3104,3104,SP,NULL,199,192
PCT 3105,3105,SP,NULL,208,122
PCT 3106,3106,SP,NULL,183,165
PCT 3107,3107,SP,NULL,195,190
PCT 3108,3108,SP,NULL,141,139
PCT 3109,3109,SP,NULL,187,156
PCT 3110,3110,SP,NULL,150,136
PCT 3111,3111,SP,NULL,144,145
PCT 3112,3112,SP,NULL,9,11
PCT 3113,3113,SP,NULL,215,187
PCT 3114,3114,SP,NULL,221,182
PCT 3115,3115,SP,NULL,223,175
PCT 3116,3116,SP,NULL,209,222
PCT 3117,3117,SP,NULL,150,128
PCT 3118,3118,SP,NULL,171,110
PCT 3119,3119,SP,NULL,196,137
PCT 3120,3120,SP,NULL,196,180
PCT 3121,3121,SP,NULL,172,189
PCT 3122,3122,SP,NULL,322,156
PCT 3123,3123,SP,NULL,171,172
PCT 3124,3124,SP,NULL,224,164
PCT 3125,3125,SP,NULL,193,148
PCT 3126,3126,SP,NULL,36,46
PCT 3127,3127,SP,NULL,259,108
PCT 3128,3128,SP,NULL,209,155
PCT 3200,3200,SP,NULL,264,95
PCT 3201,3201,SP,NULL,358,136
PCT 3202,3202,SP,NULL,182,91
PCT 3203,3203,SP,NULL,296,131
PCT 3204,3204,SP,NULL,250,93
PCT 3205,3205,SP,NULL,267,113
PCT 3206,3206,SP,NULL,266,84
PCT 3207,3207,SP,NULL,141,93
PCT 3208,3208,SP,NULL,244,178
PCT 3209,3209,SP,NULL,278,241
PCT 3210,3210,SP,NULL,326,105
PCT 3211,3211,SP,NULL,338,112
PCT 3212,3212,SP,NULL,287,107
PCT 3213,3213,SP,NULL,398,136
PCT 3214,3214,SP,NULL,319,159
PCT 3215,3215,SP,NULL,209,106
PCT 3216,3216,SP,NULL,412,221
PCT 3217,3217,SP,NULL,343,252
PCT 3218,3218,SP,NULL,399,183
PCT 3219,3219,SP,NULL,287,167
PCT 3220,3220,SP,NULL,366,197
PCT 3221,3221,SP,NULL,281,260
PCT 3222,3222,SP,NULL,191,56
PCT 3223,3223,SP,NULL,234,87
PCT 3300,3300,SP,NULL,206,238
PCT 3301,3301,SP,NULL,359,273
PCT 3302,3302,SP,NULL,245,226
PCT 3303,3303,SP,NULL,245,202
PCT 3304,3304,SP,NULL,240,219
PCT 3305,3305,SP,NULL,207,159
PCT 3306,3306,SP,NULL,231,226
PCT 3307,3307,SP,NULL,182,142
PCT 3308,3308,SP,NULL,267,200
PCT 3309,3309,SP,NULL,253,185
PCT 3310,3310,SP,NULL,252,229
PCT 3311,3311,SP,NULL,153,143
PCT 3312,3312,SP,NULL,331,252
PCT 3313,3313,SP,NULL,339,278
PCT 3314,3314,SP,NULL,224,181
PCT 3315,3315,SP,NULL,289,231
PCT 3316,3316,SP,NULL,383,182
PCT 3317,3317,SP,NULL,379,264
PCT 3318,3318,SP,NULL,241,186
PCT 3319,3319,SP,NULL,214,182
PCT 3320,3320,SP,NULL,217,146
PCT 3321,3321,SP,NULL,298,213
PCT 3322,3322,SP,NULL,217,162
PCT 3323,3323,SP,NULL,257,200
PCT 3324,3324,SP,NULL,292,150
PCT 3325,3325,SP,NULL,376,166
PCT 3326,3326,SP,NULL,109,76
PCT 3327,3327,SP,NULL,211,128
PCT 3328,3328,SP,NULL,311,146
PCT 3329,3329,SP,NULL,266,101
