Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
CRESCENT VALLEY 266,100266,KP,NULL,214,275
OVERLOOK 267,100267,KP,NULL,181,186
MADRONA 269,100269,KP,NULL,172,166
PARKWOOD 270,100270,KP,NULL,248,265
CONIFER 271,100271,KP,NULL,119,135
SEDGWICK 272,100272,KP,NULL,241,276
SINCLAIR 275,100275,KP,NULL,113,128
SHERMAN HEIGHTS 278,100278,KP,NULL,10,8
BERRY LAKE 279,100279,KP,NULL,127,188
BELFAIR VALLEY 280,100280,KP,NULL,75,85
SUNNYSLOPE 281,100281,KP,NULL,218,182
DICKENSON 282,100282,KP,NULL,245,237
DRIVE-IN 283,100283,KP,NULL,5,6
TWIN LAKES 285,100285,KP,NULL,81,60
LIGHTHOUSE POINT 292,100292,KP,NULL,178,317
BREMERTON 293(*),100293,KP,NULL,0,0
BREMERTON 294,100294,KP,NULL,0,0
WATERMAN 295,100295,KP,NULL,131,180
BREMERTON 296,100296,KP,NULL,0,0
HEINS CREEK 297,100297,KP,NULL,0,0
BLUE HERON 301,100301,KP,NULL,197,465
AZALEA 302,100302,KP,NULL,117,432
WINSLOW 304,100304,KP,NULL,206,543
WING POINT 305,100305,KP,NULL,93,305
BLAKELY 310,100310,KP,NULL,83,334
CRYSTAL SPRINGS 312,100312,KP,NULL,119,503
FINCH 314,100314,KP,NULL,91,262
FERNCLIFF 315,100315,KP,NULL,146,487
EAGLE HARBOR 317,100317,KP,NULL,100,253
FORT WARD 318,100318,KP,NULL,117,376
ISLAND CENTER 320,100320,KP,NULL,114,322
MEADOWMEER 321,100321,KP,NULL,61,152
NEW BROOKLYN 322,100322,KP,NULL,87,207
LIBERTY 325,100325,KP,NULL,112,301
SKIFF POINT 328,100328,KP,NULL,102,282
ROLLING BAY 330,100330,KP,NULL,115,359
LOVGREN 332,100332,KP,NULL,75,198
TOLO 333,100333,KP,NULL,111,307
SEABOLD 335,100335,KP,NULL,129,420
MANZANITA 336,100336,KP,NULL,84,244
PORT MADISON 340,100340,KP,NULL,68,289
TORVANGER 345,100345,KP,NULL,167,414
POULSBO 401,100401,KP,NULL,262,324
POULSBO 403,100403,KP,NULL,182,235
POULSBO 404,100404,KP,NULL,191,334
POULSBO 405,100405,KP,NULL,188,303
POULSBO 406,100406,KP,NULL,214,366
POULSBO 407,100407,KP,NULL,150,243
BREIDABLIK 410,100410,KP,NULL,198,279
VINLAND 412,100412,KP,NULL,195,364
BELLA VISTA 413,100413,KP,NULL,172,216
HANSVILLE 415,100415,KP,NULL,103,225
POINT NO POINT 416,100416,KP,NULL,296,423
TWIN SPITS 417,100417,KP,NULL,194,349
S&#39;KLALLAM 418,100418,KP,NULL,17,22
POINT JEFFERSON 419,100419,KP,NULL,176,217
INDIANOLA 420,100420,KP,NULL,197,405
ORCA 421,100421,KP,NULL,169,178
APPLE TREE 422,100422,KP,NULL,189,333
HIGHLAND 423,100423,KP,NULL,106,191
KEYPORT 425,100425,KP,NULL,224,329
EVERGREEN RIDGE 426,100426,KP,NULL,87,89
ISLAND LAKE 427,100427,KP,NULL,221,202
KINGSTON 430,100430,KP,NULL,289,406
LEMOLO 435,100435,KP,NULL,143,254
LINCOLN 440,100440,KP,NULL,194,235
BIG VALLEY 441,100441,KP,NULL,158,211
LOFALL 442,100442,KP,NULL,268,412
PEARSON 445,100445,KP,NULL,290,351
PORT GAMBLE 450,100450,KP,NULL,163,312
STRIEBEL 453,100453,KP,NULL,185,314
GAMBLEWOOD 454,100454,KP,NULL,137,202
SCANDIA 455,100455,KP,NULL,204,283
MILLER BAY 458,100458,KP,NULL,233,332
SUQUAMISH 460,100460,KP,NULL,154,198
AUGUSTA 461,100461,KP,NULL,113,153
TOTTEN 463,100463,KP,NULL,154,228
SANDY HOOK 464,100464,KP,NULL,116,220
