Row Label,PrecinctCode,County,Registered Voters,Drew C. MacEwen,Tammey Newton
Total,-1,MA,NULL,11546,8330
PICKERING,113,MA,NULL,331,188
HARSTINE,114,MA,NULL,411,364
GRAPEVIEW,115,MA,NULL,388,305
MASON LAKE,116,MA,NULL,279,202
FAIR HARBOR,117,MA,NULL,267,164
ALLYN,118,MA,NULL,633,361
VICTOR,119,MA,NULL,274,156
BELFAIR,120,MA,NULL,268,199
TIGER LAKE,121,MA,NULL,193,118
DEWATTO,122,MA,NULL,373,262
TAHUYA,123,MA,NULL,330,225
SAND HILL,124,MA,NULL,349,220
TRAIL&#39;S END,125,MA,NULL,385,227
TWANOH,126,MA,NULL,199,167
BORDEAUX,205,MA,NULL,43,44
KAMILCHE POINT,207,MA,NULL,141,160
UNION,227,MA,NULL,531,363
SKOKOMISH,228,MA,NULL,29,81
HOOD CANAL,229,MA,NULL,409,244
CUSHMAN,230,MA,NULL,328,309
EELLS,231,MA,NULL,130,82
MATLOCK,232,MA,NULL,272,239
DAYTON,233,MA,NULL,246,193
KAMILCHE,234,MA,NULL,156,81
ISABELLA,235,MA,NULL,211,135
AIRPORT,236,MA,NULL,456,275
JOHN&#39;S PRAIRIE,237,MA,NULL,263,156
LIMERICK,238,MA,NULL,441,337
OLYMPIC VIEW,301,MA,NULL,366,276
DOWNTOWN,302,MA,NULL,216,223
ANGLESIDE,303,MA,NULL,312,246
HILLCREST,304,MA,NULL,193,172
FAWN LAKE,306,MA,NULL,340,306
ARCADIA,308,MA,NULL,382,282
MILL CREEK,309,MA,NULL,431,266
AGATE,310,MA,NULL,302,242
OAKLAND BAY,311,MA,NULL,305,154
TIMBERLAKE,312,MA,NULL,352,296
CALLANAN,339,MA,NULL,11,10
