Row Label,PrecinctCode,County,Registered Voters,Rick Porter,Cathy Marshall
Total,-1,CM,NULL,13704,9851
PORT ANGELES 101,101,CM,NULL,206,164
PORT ANGELES 102,102,CM,NULL,288,255
PORT ANGELES 103,103,CM,NULL,342,274
PORT ANGELES 104,104,CM,NULL,197,211
PORT ANGELES 105,105,CM,NULL,304,250
PORT ANGELES 106,106,CM,NULL,278,174
PORT ANGELES 107,107,CM,NULL,370,249
PORT ANGELES 108,108,CM,NULL,145,143
PORT ANGELES 109,109,CM,NULL,348,327
PORT ANGELES 110,110,CM,NULL,77,64
PORT ANGELES 111,111,CM,NULL,357,277
PORT ANGELES 112,112,CM,NULL,203,140
PORT ANGELES 113,113,CM,NULL,236,136
AGNEW 201(*),201,CM,NULL,0,0
BEAVER 204(*),204,CM,NULL,0,0
BELLEVIEW 205,205,CM,NULL,281,218
BELL HILL 207,207,CM,NULL,300,161
BLACK DIAMOND 208,208,CM,NULL,189,116
BLUE MOUNTAIN 209,209,CM,NULL,286,185
BLUFFS 210,210,CM,NULL,168,107
BLYN 211,211,CM,NULL,189,191
CARLSBORG 214,214,CM,NULL,177,166
CLARK 216,216,CM,NULL,95,70
CLINE 217,217,CM,NULL,285,191
COYOTE 218,218,CM,NULL,299,214
DEER PARK 220,220,CM,NULL,316,204
DIAMOND POINT 221,221,CM,NULL,317,137
DUNGENESS EAST 222,222,CM,NULL,327,228
DUNGENESS WEST 223,223,CM,NULL,157,103
DRY CREEK 224,224,CM,NULL,228,177
EAGLE 226,226,CM,NULL,194,170
ELK 229,229,CM,NULL,54,60
ELWHA 230,230,CM,NULL,80,62
FAIRVIEW 232,232,CM,NULL,316,201
FRESHWATER BAY 233,233,CM,NULL,400,234
HAPPY VALLEY 237,237,CM,NULL,138,113
JAMESTOWN 240,240,CM,NULL,168,132
JOYCE 241,241,CM,NULL,310,225
LOST MOUNTAIN 245,245,CM,NULL,160,128
MILLER PENINSULA 246,246,CM,NULL,110,135
MACLEAY 247,247,CM,NULL,298,176
MADISON CREEK 248,248,CM,NULL,118,67
MONTERRA 249,249,CM,NULL,288,163
MOUNT ANGELES 250,250,CM,NULL,176,123
MOUNT PLEASANT 251,251,CM,NULL,281,155
OBRIEN 253,253,CM,NULL,258,145
OLYMPIC 254,254,CM,NULL,207,126
PORT WILLIAMS 258,258,CM,NULL,152,113
PRAIRIE NORTH 259,259,CM,NULL,255,164
PRAIRIE SOUTH 260,260,CM,NULL,261,180
RIVERSIDE 265,265,CM,NULL,242,192
ROBIN HILL 266,266,CM,NULL,202,171
SUNLAND NORTH 270,270,CM,NULL,341,174
SUNLAND SOUTH 271,271,CM,NULL,187,132
SEQUIM 401,401,CM,NULL,147,104
SEQUIM 402,402,CM,NULL,127,122
SEQUIM 403,403,CM,NULL,227,220
SEQUIM 404,404,CM,NULL,364,251
SEQUIM 405,405,CM,NULL,215,166
SEQUIM 406,406,CM,NULL,243,152
