Row Label,PrecinctCode,County,Registered Voters,Beth A. Fraser
Total,-1,SN,NULL,50576
ELWOOD,10144165,SN,NULL,207
GRANNIS,10144266,SN,NULL,195
SUNSET,10144271,SN,NULL,275
MAPLEWOOD,10144426,SN,NULL,185
PARKSHORE,10144479,SN,NULL,166
STAFFORD,10144484,SN,NULL,134
REDHAWK,10144552,SN,NULL,261
SILVER CREEK,10144635,SN,NULL,167
KENNARD,10144639,SN,NULL,174
GLENBAR,10144646,SN,NULL,147
OLDMARK,10144656,SN,NULL,277
CRYSTAL CREEK,10144691,SN,NULL,118
TAMBARK,10144715,SN,NULL,183
WOODLAND,10154273,SN,NULL,88
MILL CREEK  1,14441301,SN,NULL,243
MILL CREEK  2,14441302,SN,NULL,192
MILL CREEK  3,14441303,SN,NULL,144
MILL CREEK  4,14441304,SN,NULL,169
MILL CREEK  5,14441353,SN,NULL,291
MILL CREEK  6,14441354,SN,NULL,270
MILL CREEK  7,14441367,SN,NULL,17
MILL CREEK  8,14441376,SN,NULL,263
MILL CREEK  9,14441377,SN,NULL,222
MILL CREEK 10,14441472,SN,NULL,176
MILL CREEK 11,14441473,SN,NULL,157
MILL CREEK 12,14441495,SN,NULL,165
MILL CREEK 13,14441505,SN,NULL,200
MILL CREEK 14,14441629,SN,NULL,5
MILL CREEK 15,14441640,SN,NULL,216
MILL CREEK 16,14441652,SN,NULL,161
MILL CREEK 17,14441665,SN,NULL,220
MILL CREEK 18,14441666,SN,NULL,184
MILL CREEK 19,14441667,SN,NULL,298
MILL CREEK 20,14441668,SN,NULL,171
MILL CREEK 21,14441702,SN,NULL,117
MILL CREEK 22,14441703,SN,NULL,148
FERNWOOD,14444006,SN,NULL,183
BROOK,14444278,SN,NULL,262
HILL,14444293,SN,NULL,173
MISTY,14444305,SN,NULL,214
OAKS,14444308,SN,NULL,253
PUGET PARK,14444317,SN,NULL,172
KENWOOD,14444348,SN,NULL,200
OLYMPUS,14444357,SN,NULL,167
SEATTLE HILL,14444361,SN,NULL,201
DOUGLAS FIRS,14444576,SN,NULL,171
GRAND FIRS,14444582,SN,NULL,273
KATTENHORN,14444584,SN,NULL,286
SILVER FIRS,14444590,SN,NULL,277
SPRUCE,14444658,SN,NULL,116
WINDROSE,14444660,SN,NULL,294
STRAWBERRY,14444684,SN,NULL,236
DOGWOOD,14444693,SN,NULL,176
BERKSHIRE,14454075,SN,NULL,300
PINEWOOD,14454315,SN,NULL,192
HEARTHSTONE,14454458,SN,NULL,164
PIONEER TRAILS,14454480,SN,NULL,205
RUGGS LAKE,14454554,SN,NULL,213
KNOX,14454585,SN,NULL,12
SOUTH ALDERWOOD,20134083,SN,NULL,272
SAMOEA,20134196,SN,NULL,211
POPLAR,20134316,SN,NULL,104
CRAWFORD,20134690,SN,NULL,62
MOUNTLAKE TERRACE  1,20141090,SN,NULL,188
MOUNTLAKE TERRACE  2,20141091,SN,NULL,173
MOUNTLAKE TERRACE  3,20141092,SN,NULL,174
MOUNTLAKE TERRACE  5,20141093,SN,NULL,173
MOUNTLAKE TERRACE  6,20141094,SN,NULL,144
MOUNTLAKE TERRACE 11,20141138,SN,NULL,187
MOUNTLAKE TERRACE 12,20141139,SN,NULL,205
MOUNTLAKE TERRACE 13,20141140,SN,NULL,230
MOUNTLAKE TERRACE 14,20141141,SN,NULL,227
MOUNTLAKE TERRACE 15,20141142,SN,NULL,167
BRIER 1,20141179,SN,NULL,211
BRIER 2,20141180,SN,NULL,158
BRIER 3,20141181,SN,NULL,317
MOUNTLAKE TERRACE 17,20141189,SN,NULL,276
MOUNTLAKE TERRACE 18,20141190,SN,NULL,210
MOUNTLAKE TERRACE 19,20141191,SN,NULL,197
BRIER 4,20141276,SN,NULL,234
BRIER 5,20141277,SN,NULL,266
BRIER 6,20141343,SN,NULL,155
BRIER 7,20141344,SN,NULL,156
MOUNTLAKE TERRACE  4,20141432,SN,NULL,139
BRIER 8,20141614,SN,NULL,151
MOUNTLAKE TERRACE 16,20141630,SN,NULL,156
