Row Label,PrecinctCode,County,Registered Voters,Dan Kristiansen
Total,-1,SN,NULL,24258
GRANITE FALLS 1,13911384,SN,NULL,248
GRANITE FALLS 2,13911385,SN,NULL,273
DARRINGTON,13911637,SN,NULL,272
GRANITE FALLS 3,13911670,SN,NULL,94
ARLINGTON 18,13911760,SN,NULL,0
NORDEN,13914011,SN,NULL,195
TRAFTON,13914015,SN,NULL,193
GREGORY,13914028,SN,NULL,176
HARTFORD,13914033,SN,NULL,119
HAZEL,13914034,SN,NULL,307
ROBE,13914035,SN,NULL,133
LOCHSLOY,13914042,SN,NULL,320
JIM CREEK,13914053,SN,NULL,338
OUTLOOK,13914057,SN,NULL,221
OSO,13914060,SN,NULL,171
NEWBERG,13914069,SN,NULL,198
SAUK,13914211,SN,NULL,106
BURN HILL,13914264,SN,NULL,258
SISCO,13914270,SN,NULL,266
PILCHUCK,13914275,SN,NULL,192
SLEEPY HOLLOW,13914321,SN,NULL,198
HEIGHTS,13914347,SN,NULL,250
LOOP,13914374,SN,NULL,226
GETCHELL,13914416,SN,NULL,197
PORTAGE,13914433,SN,NULL,114
SPADA,13914439,SN,NULL,5
MENZEL,13914470,SN,NULL,184
STILLAGUAMISH,13914496,SN,NULL,95
JORDAN TRAILS,13914515,SN,NULL,139
PILOT,13914517,SN,NULL,257
ARNOT,13914519,SN,NULL,187
BOSWORTH,13914521,SN,NULL,291
FIRTREE,13914529,SN,NULL,170
HUCKLEBERRY,13914533,SN,NULL,129
SANDMAN,13914555,SN,NULL,180
TRANGEN,13914557,SN,NULL,208
AIRPARK,13914573,SN,NULL,80
JORDAN BRIDGE,13914583,SN,NULL,68
MC FARLAND,13914681,SN,NULL,291
STAR CREEK,13914683,SN,NULL,140
INDEX,13951039,SN,NULL,31
MONROE  1,13951054,SN,NULL,265
MONROE  2,13951055,SN,NULL,266
SULTAN 1,13951070,SN,NULL,245
SULTAN 2,13951071,SN,NULL,211
MONROE  4,13951187,SN,NULL,263
MONROE  5,13951188,SN,NULL,314
SULTAN 3,13951322,SN,NULL,218
MONROE  3,13951431,SN,NULL,249
MONROE  6,13951506,SN,NULL,219
MONROE  7,13951548,SN,NULL,236
GOLD BAR 1,13951566,SN,NULL,179
GOLD BAR 2,13951567,SN,NULL,168
MONROE  8,13951568,SN,NULL,170
MONROE 10,13951586,SN,NULL,269
MONROE 11,13951587,SN,NULL,96
MONROE  9,13951653,SN,NULL,272
MONROE 12,13951654,SN,NULL,150
SULTAN 4,13951713,SN,NULL,170
PARK PLACE,13954003,SN,NULL,108
SULTAN RIVER,13954005,SN,NULL,219
TUALCO,13954007,SN,NULL,158
WALLACE,13954008,SN,NULL,169
LAKE,13954010,SN,NULL,283
SHORTS,13954013,SN,NULL,291
THREE LAKES,13954031,SN,NULL,203
ROOSEVELT,13954036,SN,NULL,136
SKYKOMISH,13954041,SN,NULL,59
OLNEY,13954043,SN,NULL,257
WINTER LAKE,13954058,SN,NULL,142
HIGHLAND,13954064,SN,NULL,184
TROMBLEY,13954272,SN,NULL,230
HIGH BRIDGE,13954292,SN,NULL,347
OWEN,13954309,SN,NULL,202
BLUFF,13954340,SN,NULL,256
CHAIN LAKE,13954371,SN,NULL,303
BROCKLIN,13954388,SN,NULL,245
HIGH ROCK,13954417,SN,NULL,228
MANN,13954425,SN,NULL,213
WAGNER,13954442,SN,NULL,280
WOODS CREEK,13954443,SN,NULL,209
FAIRVIEW,13954454,SN,NULL,185
MAY CREEK,13954469,SN,NULL,238
MILL,13954471,SN,NULL,278
STORM LAKE,13954487,SN,NULL,318
PIPELINE,13954507,SN,NULL,243
FERN,13954526,SN,NULL,95
IVERSON,13954534,SN,NULL,151
LUPINE,13954537,SN,NULL,201
ROBINHOOD,13954553,SN,NULL,196
SOFIE,13954710,SN,NULL,140
WEST FORK,13954750,SN,NULL,82
PILCHUCK RIVER,13954753,SN,NULL,18
RICHLAND,13954754,SN,NULL,91
ARLINGTON  1,23911049,SN,NULL,249
ARLINGTON  2,23911050,SN,NULL,161
ARLINGTON  3,23911051,SN,NULL,189
ARLINGTON  4,23911130,SN,NULL,348
ARLINGTON  5,23911386,SN,NULL,304
MARYSVILLE 18,23911468,SN,NULL,294
ARLINGTON  6,23911498,SN,NULL,256
ARLINGTON  7,23911499,SN,NULL,311
ARLINGTON  8,23911518,SN,NULL,241
ARLINGTON  9,23911569,SN,NULL,243
ARLINGTON 10,23911570,SN,NULL,309
ARLINGTON 11,23911574,SN,NULL,136
ARLINGTON 12,23911636,SN,NULL,194
ARLINGTON 13,23911643,SN,NULL,322
ARLINGTON 14,23911661,SN,NULL,195
MARYSVILLE 33,23911680,SN,NULL,5
ARLINGTON 15,23911686,SN,NULL,88
ARLINGTON 16,23911687,SN,NULL,175
MARYSVILLE 44,23911737,SN,NULL,293
MARYSVILLE 45,23911738,SN,NULL,311
MARYSVILLE 52,23911745,SN,NULL,303
MARYSVILLE 53,23911746,SN,NULL,165
MARYSVILLE 54,23911747,SN,NULL,239
ARLINGTON 17,23911751,SN,NULL,5
PACKWOOD,23914020,SN,NULL,133
EDGECOMB,23914023,SN,NULL,215
ALMA,23914151,SN,NULL,28
RONCREST,23914360,SN,NULL,108
