Row Label,PrecinctCode,County,Registered Voters,Rob Lawrence-Berrey
Total,-1,DG,NULL,6714
PRECINCT 101,101,DG,NULL,143
PRECINCT 102,102,DG,NULL,272
PRECINCT 103,103,DG,NULL,67
PRECINCT 104,104,DG,NULL,329
PRECINCT 105,105,DG,NULL,94
PRECINCT 106,106,DG,NULL,129
PRECINCT 107,107,DG,NULL,114
PRECINCT 108,108,DG,NULL,131
PRECINCT 109,109,DG,NULL,101
PRECINCT 110,110,DG,NULL,193
PRECINCT 111,111,DG,NULL,230
PRECINCT 112,112,DG,NULL,155
PRECINCT 113,113,DG,NULL,150
PRECINCT 114,114,DG,NULL,115
PRECINCT 201,201,DG,NULL,156
PRECINCT 202,202,DG,NULL,64
PRECINCT 203,203,DG,NULL,204
PRECINCT 204,204,DG,NULL,218
PRECINCT 205,205,DG,NULL,273
PRECINCT 206,206,DG,NULL,119
PRECINCT 207,207,DG,NULL,256
PRECINCT 208,208,DG,NULL,118
PRECINCT 209,209,DG,NULL,221
PRECINCT 210,210,DG,NULL,81
PRECINCT 211,211,DG,NULL,59
PRECINCT 212,212,DG,NULL,137
PRECINCT 213,213,DG,NULL,113
PRECINCT 214,214,DG,NULL,51
PRECINCT 215,215,DG,NULL,194
PRECINCT 301,301,DG,NULL,288
PRECINCT 302,302,DG,NULL,233
PRECINCT 303,303,DG,NULL,144
PRECINCT 304,304,DG,NULL,37
PRECINCT 305,305,DG,NULL,113
PRECINCT 306,306,DG,NULL,116
PRECINCT 307,307,DG,NULL,34
PRECINCT 308,308,DG,NULL,30
PRECINCT 309,309,DG,NULL,54
PRECINCT 310,310,DG,NULL,83
PRECINCT 311,311,DG,NULL,88
PRECINCT 312,312,DG,NULL,125
PRECINCT 313,313,DG,NULL,38
PRECINCT 314,314,DG,NULL,38
PRECINCT 315,315,DG,NULL,229
PRECINCT 316,316,DG,NULL,201
PRECINCT 317,317,DG,NULL,314
PRECINCT 318,318,DG,NULL,62
