Row Label,PrecinctCode,County,Registered Voters,Michael Dorcy
Total,-1,MA,NULL,14128
PICKERING,113,MA,NULL,371
HARSTINE,114,MA,NULL,497
GRAPEVIEW,115,MA,NULL,478
MASON LAKE,116,MA,NULL,339
FAIR HARBOR,117,MA,NULL,314
ALLYN,118,MA,NULL,722
VICTOR,119,MA,NULL,307
BELFAIR,120,MA,NULL,343
TIGER LAKE,121,MA,NULL,219
DEWATTO,122,MA,NULL,433
TAHUYA,123,MA,NULL,406
SAND HILL,124,MA,NULL,424
TRAIL&#39;S END,125,MA,NULL,453
TWANOH,126,MA,NULL,254
BORDEAUX,205,MA,NULL,58
KAMILCHE POINT,207,MA,NULL,200
UNION,227,MA,NULL,609
SKOKOMISH,228,MA,NULL,63
HOOD CANAL,229,MA,NULL,461
CUSHMAN,230,MA,NULL,457
EELLS,231,MA,NULL,143
MATLOCK,232,MA,NULL,354
DAYTON,233,MA,NULL,316
KAMILCHE,234,MA,NULL,170
ISABELLA,235,MA,NULL,250
AIRPORT,236,MA,NULL,528
JOHN&#39;S PRAIRIE,237,MA,NULL,324
LIMERICK,238,MA,NULL,535
OLYMPIC VIEW,301,MA,NULL,480
DOWNTOWN,302,MA,NULL,318
ANGLESIDE,303,MA,NULL,413
HILLCREST,304,MA,NULL,260
FAWN LAKE,306,MA,NULL,461
ARCADIA,308,MA,NULL,433
MILL CREEK,309,MA,NULL,506
AGATE,310,MA,NULL,384
OAKLAND BAY,311,MA,NULL,338
TIMBERLAKE,312,MA,NULL,493
CALLANAN,339,MA,NULL,14
