Row Label,PrecinctCode,County,Registered Voters,Dave Reichert,Jason Ritchie
Total,-1,CH,NULL,15584,6604
100,100,CH,NULL,6,2
110,110,CH,NULL,189,107
111,111,CH,NULL,48,37
112,112,CH,NULL,20,7
113,113,CH,NULL,35,30
114,114,CH,NULL,250,127
115,115,CH,NULL,23,16
116,116,CH,NULL,101,49
120,120,CH,NULL,191,76
121,121,CH,NULL,201,51
122,122,CH,NULL,106,50
123,123,CH,NULL,29,6
124,124,CH,NULL,49,18
125,125,CH,NULL,357,205
126,126,CH,NULL,40,43
127,127,CH,NULL,88,41
128,128,CH,NULL,38,17
129,129,CH,NULL,144,95
131,131,CH,NULL,38,12
132,132,CH,NULL,19,16
133,133,CH,NULL,255,73
134,134,CH,NULL,430,86
135,135,CH,NULL,421,86
136,136,CH,NULL,4,2
140,140,CH,NULL,82,56
141,141,CH,NULL,9,4
142,142,CH,NULL,23,11
143,143,CH,NULL,6,7
144,144,CH,NULL,21,3
145,145,CH,NULL,19,7
146,146,CH,NULL,83,17
147,147,CH,NULL,360,104
148,148,CH,NULL,149,82
149,149,CH,NULL,187,52
150,150,CH,NULL,39,19
151(*),151,CH,NULL,0,0
152(*),152,CH,NULL,0,0
153,153,CH,NULL,546,154
154,154,CH,NULL,467,159
155,155,CH,NULL,160,75
156,156,CH,NULL,48,19
157,157,CH,NULL,373,126
158,158,CH,NULL,179,68
159,159,CH,NULL,6,2
161,161,CH,NULL,27,7
162,162,CH,NULL,20,16
163,163,CH,NULL,17,9
164,164,CH,NULL,158,36
165,165,CH,NULL,97,33
171,171,CH,NULL,8,4
172,172,CH,NULL,16,4
173,173,CH,NULL,10,18
174,174,CH,NULL,257,112
175,175,CH,NULL,452,196
181,181,CH,NULL,337,113
182,182,CH,NULL,290,114
183,183,CH,NULL,161,62
190,190,CH,NULL,39,18
210,210,CH,NULL,185,166
220,220,CH,NULL,232,187
310,310,CH,NULL,140,80
320,320,CH,NULL,258,44
330,330,CH,NULL,229,77
410,410,CH,NULL,304,116
420,420,CH,NULL,308,149
430,430,CH,NULL,438,156
440,440,CH,NULL,439,216
450,450,CH,NULL,383,186
460,460,CH,NULL,307,197
480,480,CH,NULL,360,235
490,490,CH,NULL,588,245
510,510,CH,NULL,185,109
520,520,CH,NULL,599,183
530,530,CH,NULL,383,179
540,540,CH,NULL,301,148
560,560,CH,NULL,319,177
580,580,CH,NULL,284,89
590,590,CH,NULL,381,152
610,610,CH,NULL,251,82
710,710,CH,NULL,251,101
720,720,CH,NULL,372,136
730,730,CH,NULL,320,218
1149,1149,CH,NULL,24,15
1150(*),1150,CH,NULL,0,0
1151(*),1151,CH,NULL,0,0
