Row Label,PrecinctCode,County,Registered Voters,Brian Burnett
Total,-1,CH,NULL,15617
100,100,CH,NULL,6
110,110,CH,NULL,213
111,111,CH,NULL,61
112,112,CH,NULL,20
113,113,CH,NULL,38
114,114,CH,NULL,260
115,115,CH,NULL,25
116,116,CH,NULL,89
120,120,CH,NULL,194
121,121,CH,NULL,183
122,122,CH,NULL,110
123,123,CH,NULL,29
124,124,CH,NULL,45
125,125,CH,NULL,389
126,126,CH,NULL,47
127,127,CH,NULL,89
128,128,CH,NULL,41
129,129,CH,NULL,141
131,131,CH,NULL,36
132,132,CH,NULL,25
133,133,CH,NULL,234
134,134,CH,NULL,382
135,135,CH,NULL,375
136,136,CH,NULL,4
140,140,CH,NULL,110
141,141,CH,NULL,7
142,142,CH,NULL,31
143,143,CH,NULL,2
144,144,CH,NULL,19
145,145,CH,NULL,18
146,146,CH,NULL,73
147,147,CH,NULL,353
148,148,CH,NULL,161
149,149,CH,NULL,170
150,150,CH,NULL,38
151,151,CH,NULL,3
152,152,CH,NULL,3
153,153,CH,NULL,502
154,154,CH,NULL,424
155,155,CH,NULL,150
156,156,CH,NULL,47
157,157,CH,NULL,353
158,158,CH,NULL,174
159,159,CH,NULL,7
161,161,CH,NULL,28
162,162,CH,NULL,22
163,163,CH,NULL,18
164,164,CH,NULL,128
165,165,CH,NULL,84
171,171,CH,NULL,9
172,172,CH,NULL,18
173,173,CH,NULL,13
174,174,CH,NULL,253
175,175,CH,NULL,434
181,181,CH,NULL,326
182,182,CH,NULL,272
183,183,CH,NULL,153
190,190,CH,NULL,37
210,210,CH,NULL,234
220,220,CH,NULL,271
310,310,CH,NULL,145
320,320,CH,NULL,224
330,330,CH,NULL,242
410,410,CH,NULL,292
420,420,CH,NULL,311
430,430,CH,NULL,428
440,440,CH,NULL,464
450,450,CH,NULL,396
460,460,CH,NULL,371
480,480,CH,NULL,396
490,490,CH,NULL,583
510,510,CH,NULL,219
520,520,CH,NULL,577
530,530,CH,NULL,424
540,540,CH,NULL,339
560,560,CH,NULL,363
580,580,CH,NULL,259
590,590,CH,NULL,337
610,610,CH,NULL,254
710,710,CH,NULL,245
720,720,CH,NULL,354
730,730,CH,NULL,377
1149,1149,CH,NULL,28
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
