Row Label,PrecinctCode,County,Registered Voters,Greg Zempel
Total,-1,KS,NULL,9130
CLE ELUM 1,1,KS,NULL,136
CLE ELUM 2,2,KS,NULL,89
CLE ELUM 3,3,KS,NULL,39
CLE ELUM 4,4,KS,NULL,203
DENMARK,5,KS,NULL,366
EAST SANDERS,6,KS,NULL,263
EASTON,7,KS,NULL,262
ELLENSBURG 1,8,KS,NULL,32
ELLENSBURG 2,9,KS,NULL,49
ELLENSBURG 4,11,KS,NULL,32
ELLENSBURG 5,12,KS,NULL,56
ELLENSBURG 6,13,KS,NULL,38
ELLENSBURG 7,14,KS,NULL,42
ELLENSBURG 8,15,KS,NULL,60
ELLENSBURG 9,16,KS,NULL,72
ELLENSBURG 10,17,KS,NULL,93
ELLENSBURG 11,18,KS,NULL,89
ELLENSBURG 12,19,KS,NULL,81
ELLENSBURG 13,20,KS,NULL,73
ELLENSBURG 14,21,KS,NULL,107
ELLENSBURG 15,22,KS,NULL,133
ELLENSBURG 16,23,KS,NULL,179
ELLENSBURG 17,24,KS,NULL,151
ELLENSBURG 18,25,KS,NULL,28
ELLENSBURG 19,26,KS,NULL,225
ELLENSBURG 20,27,KS,NULL,57
ELLENSBURG 21,28,KS,NULL,90
ELLENSBURG 22,29,KS,NULL,135
ELLENSBURG 23,30,KS,NULL,161
ELLENSBURG 24,31,KS,NULL,299
HYAK,32,KS,NULL,67
KITTITAS 1,33,KS,NULL,116
MANASTASH,34,KS,NULL,201
MOUNTAIN,35,KS,NULL,92
NORTH CENTRAL,36,KS,NULL,208
NORTH ELLENSBURG,37,KS,NULL,327
PARK,38,KS,NULL,287
PEOH POINT,39,KS,NULL,240
RIDGEWAY,40,KS,NULL,402
ROSLYN 1,41,KS,NULL,105
ROSLYN 2,42,KS,NULL,81
DRY CREEK,43,KS,NULL,283
WESTSIDE,44,KS,NULL,302
ROSLYN OUTLYING,45,KS,NULL,44
SANDERS,46,KS,NULL,110
SOUTH CLE ELUM,47,KS,NULL,141
SOUTH ELLENSBURG,48,KS,NULL,331
SWAUK,50,KS,NULL,144
TEANAWAY,51,KS,NULL,243
THORP,52,KS,NULL,237
VANTAGE,53,KS,NULL,22
FAIRVIEW,54,KS,NULL,167
NORTHEAST FAIRVIEW,55,KS,NULL,262
THRALL,56,KS,NULL,227
DAMMAN,58,KS,NULL,272
KACHESS,59,KS,NULL,73
KITTITAS 2,60,KS,NULL,128
ELLENSBURG 25,61,KS,NULL,274
RONALD,62,KS,NULL,104
