Row Label,PrecinctCode,County,Registered Voters,Emma J. Paulsen,James A. von Sauer
Total,-1,FE,NULL,1976,683
BELCHER,101,FE,NULL,81,17
BOYDS,102,FE,NULL,76,38
CURLEW,103,FE,NULL,15,10
HALL CREEK,104,FE,NULL,49,31
INCHELIUM,105,FE,NULL,36,24
KELLER,106,FE,NULL,65,36
KETTLE RIVER,107,FE,NULL,141,48
KEWA,108,FE,NULL,49,35
LAMBERT,109,FE,NULL,61,18
MALO,110,FE,NULL,112,48
ORIENT,111,FE,NULL,77,34
REPUBLIC 1,112,FE,NULL,155,40
REPUBLIC 2,113,FE,NULL,138,53
SAN POIL,114,FE,NULL,210,46
SHERMAN,115,FE,NULL,133,55
SOUTH LAKE,116,FE,NULL,119,25
STORM KING,117,FE,NULL,162,47
TORODA,118,FE,NULL,75,30
TROUT CREEK,119,FE,NULL,222,48
