Row Label,PrecinctCode,County,Registered Voters,Joel Kretz,Ronnie Rae
Total,-1,ST,NULL,13225,2505
ADDY,1,ST,NULL,342,54
CAMAS,3,ST,NULL,284,60
CAMAS PRAIRIE,4,ST,NULL,168,39
COLUMBIA,5,ST,NULL,391,88
COLVILLE VALLEY,6,ST,NULL,522,62
DAISY,7,ST,NULL,147,29
ECHO,8,ST,NULL,329,46
EVANS,9,ST,NULL,184,26
HUNTERS,10,ST,NULL,296,72
KELLY HILL,11,ST,NULL,94,15
LOON LAKE 1,12,ST,NULL,374,76
LOON LAKE 2,13,ST,NULL,206,50
MILL CREEK,14,ST,NULL,143,15
NARCISSE,15,ST,NULL,391,55
ONION CREEK,16,ST,NULL,82,51
RICE,19,ST,NULL,153,41
ROCK CUT,20,ST,NULL,63,22
SUMMIT,21,ST,NULL,239,24
FIRST THOUGHT,22,ST,NULL,52,6
WELLPINIT,24,ST,NULL,73,79
WILLIAMS VALLEY,25,ST,NULL,405,73
TUM TUM 1,26,ST,NULL,175,41
TUM TUM 2,27,ST,NULL,360,56
WALKERS PRAIRIE,28,ST,NULL,178,77
STONE LODGE,29,ST,NULL,301,57
TUM TUM 3,39,ST,NULL,423,68
TUM TUM 4,40,ST,NULL,247,49
TUM TUM 5,41,ST,NULL,282,60
MEYERS FALLS 1,42,ST,NULL,254,36
MEYERS FALLS 2,43,ST,NULL,432,46
QUARTZITE 1,44,ST,NULL,451,81
QUARTZITE 2,45,ST,NULL,235,41
VALLEY 1,46,ST,NULL,56,8
VALLEY 2,47,ST,NULL,186,38
ARDEN 1,48,ST,NULL,272,43
ARDEN 2,49,ST,NULL,333,40
CLAYTON 1,50,ST,NULL,198,41
CLAYTON 2,51,ST,NULL,333,72
ORIN 1,52,ST,NULL,238,21
ORIN 2,53,ST,NULL,283,40
WAITTS LAKE,54,ST,NULL,277,68
ECHO VALLEY,55,ST,NULL,173,31
CHEWELAH 1,101,ST,NULL,223,54
CHEWELAH 2,102,ST,NULL,109,28
CHEWELAH 3,103,ST,NULL,177,38
CHEWELAH FORE,104,ST,NULL,130,25
COLVILLE 1,105,ST,NULL,113,25
COLVILLE 2,106,ST,NULL,142,33
COLVILLE 3,107,ST,NULL,159,24
COLVILLE 4,108,ST,NULL,330,49
COLVILLE 5,109,ST,NULL,266,48
COLVILLE 6,110,ST,NULL,144,38
COLVILLE 7,111,ST,NULL,175,30
KETTLE FALLS 1,114,ST,NULL,278,40
KETTLE FALLS 2,115,ST,NULL,174,29
MARCUS,116,ST,NULL,48,14
NORTHPORT,117,ST,NULL,82,15
SPRINGDALE,118,ST,NULL,50,18
