Row Label,PrecinctCode,County,Registered Voters,Heidi Smith
Total,-1,OK,NULL,7779
ALMA,1,OK,NULL,31
ANGLIN,2,OK,NULL,47
BEEMAN,3,OK,NULL,50
BODIE,4,OK,NULL,12
BONAPARTE,5,OK,NULL,20
BOSTON,6,OK,NULL,58
BREWSTER RURAL,7,OK,NULL,36
CARLTON,8,OK,NULL,32
CHESAW,9,OK,NULL,24
CONCONULLY RURAL,10,OK,NULL,37
DUCK LAKE,11,OK,NULL,27
DULEY LAKE,12,OK,NULL,25
EASTLAKE,13,OK,NULL,22
EASTSIDE,14,OK,NULL,55
ELLISFORDE,15,OK,NULL,51
ELMERTON,16,OK,NULL,69
ELMWAY,17,OK,NULL,31
HAVILLAH,18,OK,NULL,41
LOOMIS,19,OK,NULL,32
MALOTT,20,OK,NULL,63
MAZAMA,21,OK,NULL,78
METHOW,22,OK,NULL,49
MISSION,23,OK,NULL,19
MOLSON,24,OK,NULL,42
MONSE #1,25,OK,NULL,40
NESPELEM RURAL,27,OK,NULL,20
NIGHTHAWK,28,OK,NULL,13
NORTH OMAK,29,OK,NULL,21
PATEROS RURAL,30,OK,NULL,28
PINE CREEK,31,OK,NULL,28
POGUE,32,OK,NULL,58
RIVERSIDE RURAL,33,OK,NULL,71
SAN POIL,34,OK,NULL,58
SOUTH OROVILLE,35,OK,NULL,46
SPRING COULEE,36,OK,NULL,51
TONASKET RURAL,37,OK,NULL,20
TUNK CREEK,38,OK,NULL,55
TWISP RURAL,39,OK,NULL,46
WOLF CREEK,40,OK,NULL,51
WAUCONDA,41,OK,NULL,29
WESTLAKE,42,OK,NULL,24
WHITESTONE,43,OK,NULL,23
WINTHROP RURAL,44,OK,NULL,66
CHILIWIST,45,OK,NULL,33
MONSE #3,46,OK,NULL,24
OKANOGAN RURAL,47,OK,NULL,30
AENEAS,48,OK,NULL,32
COLUMBIA,49,OK,NULL,24
CRUMBACHER,50,OK,NULL,48
DISAUTEL,51,OK,NULL,19
HUDSON,52,OK,NULL,21
KIPLING,53,OK,NULL,20
ORCHARD,54,OK,NULL,30
TORODA,55,OK,NULL,43
BEAVER CREEK,56,OK,NULL,28
BLACK CANYON,57,OK,NULL,28
BUFFALO LAKE,58,OK,NULL,20
COPPLE,59,OK,NULL,37
EDELWEISS,60,OK,NULL,53
ENGH,61,OK,NULL,51
FINLEY CANYON,62,OK,NULL,56
JANIS,63,OK,NULL,25
LEESE,64,OK,NULL,18
LIBBY CREEK,65,OK,NULL,62
MCGINNIS LAKE,66,OK,NULL,13
NORTH STAR,67,OK,NULL,11
OWHI,68,OK,NULL,23
PALMER LAKE,69,OK,NULL,36
PINE CONE,70,OK,NULL,23
POORMAN CREEK,71,OK,NULL,71
SAND FLAT,72,OK,NULL,56
SOURDOUGH,74,OK,NULL,42
TWIN LAKES,75,OK,NULL,63
VALLEY,76,OK,NULL,32
WANNACUT,77,OK,NULL,50
WEST CHEWUCH,78,OK,NULL,54
CANAL,79,OK,NULL,33
AIRPORT,81,OK,NULL,45
BALKY HILL,82,OK,NULL,42
BRIDGE CREEK,83,OK,NULL,35
CROSSROADS,84,OK,NULL,35
DAVIS LAKE,85,OK,NULL,55
GREENACRES,86,OK,NULL,27
JOHNSON CREEK,87,OK,NULL,44
LEWIS BUTTE,88,OK,NULL,64
LIME BELT,89,OK,NULL,19
MCCLURE MTN,90,OK,NULL,60
MOCCASIN LAKE,91,OK,NULL,52
NORTH MALOTT,92,OK,NULL,46
PATTERSON LAKE,93,OK,NULL,69
PEARRYGIN LAKE,94,OK,NULL,39
BOUNDARY,95,OK,NULL,37
BUCKHORN MTN,96,OK,NULL,39
EDER,97,OK,NULL,26
HORSESHOE LAKE,98,OK,NULL,31
LAKE ANDREWS,99,OK,NULL,36
MYERS CREEK,100,OK,NULL,18
COULEE DAM #1,101,OK,NULL,56
COULEE DAM #2,102,OK,NULL,37
COULEE DAM #3,103,OK,NULL,27
NESPELEM CITY,104,OK,NULL,17
OKANOGAN #1,105,OK,NULL,27
OKANOGAN #2,106,OK,NULL,44
OKANOGAN #3,107,OK,NULL,17
OKANOGAN #4,108,OK,NULL,41
OMAK #1,109,OK,NULL,21
OMAK #2,110,OK,NULL,33
OMAK #3,111,OK,NULL,14
OMAK #4,112,OK,NULL,28
OMAK #5,113,OK,NULL,39
OMAK #6,114,OK,NULL,33
OMAK #7,115,OK,NULL,31
OMAK #8,116,OK,NULL,20
OMAK #9,117,OK,NULL,52
OROVILLE #1,118,OK,NULL,28
OROVILLE #2,119,OK,NULL,22
OROVILLE #3,120,OK,NULL,22
TONASKET #1,121,OK,NULL,24
TONASKET #2,122,OK,NULL,32
TONASKET #3,123,OK,NULL,16
BREWSTER #1,124,OK,NULL,18
BREWSTER #2,125,OK,NULL,45
PATEROS #1,126,OK,NULL,34
PATEROS #2,127,OK,NULL,23
TWISP #1,128,OK,NULL,69
TWISP #2,129,OK,NULL,47
WINTHROP #1,130,OK,NULL,64
CONCONULLY CITY,131,OK,NULL,64
COULEE DAM #4,132,OK,NULL,33
ELMER CITY,133,OK,NULL,67
RIVERSIDE CITY,134,OK,NULL,57
TWISP #3,135,OK,NULL,59
TWISP #4,136,OK,NULL,20
WINTHROP #2,137,OK,NULL,51
SHORELINE,138,OK,NULL,18
SIMILKAMEEN,139,OK,NULL,21
TEAL LAKE,140,OK,NULL,27
TONASKET CREEK,141,OK,NULL,22
OROVILLE #4,142,OK,NULL,34
OROVILLE #5,143,OK,NULL,38
OROVILLE #6,144,OK,NULL,22
OROVILLE #7,145,OK,NULL,24
OROVILLE #8,146,OK,NULL,27
OROVILLE #9,147,OK,NULL,25
OROVILLE #10,148,OK,NULL,34
JENNINGS LOOP,149,OK,NULL,20
BLUE LAKE,150,OK,NULL,45
AENEAS CREEK,151,OK,NULL,30
AENEAS LAKE,152,OK,NULL,44
ANTOINE CREEK,153,OK,NULL,19
ANTOINE PEAK,154,OK,NULL,16
CAPE LABELLE,155,OK,NULL,19
CAYUSE MTN,156,OK,NULL,18
CHEWILIKEN,157,OK,NULL,17
DUFFYS MTN,158,OK,NULL,21
FRONTAGE,159,OK,NULL,16
GUSTY RIDGE,160,OK,NULL,27
LONGANECKER,161,OK,NULL,31
NORTH TONASKET,162,OK,NULL,60
PICKENS MTN,163,OK,NULL,32
RANCHES,164,OK,NULL,15
SIWASH CREEK,165,OK,NULL,34
SPECTACLE LAKE,166,OK,NULL,35
HIGHWAY,167,OK,NULL,16
WHISKY MTN,168,OK,NULL,14
YARNELL,169,OK,NULL,25
TONASKET #4,170,OK,NULL,31
TONASKET #5,171,OK,NULL,28
TONASKET #6,172,OK,NULL,21
TONASKET #7,173,OK,NULL,35
LEECHER MTN,174,OK,NULL,45
ALTA LAKE,175,OK,NULL,29
STARR,176,OK,NULL,19
PATEROS #3,177,OK,NULL,16
RAT LAKE,178,OK,NULL,23
BREWSTER FLAT,179,OK,NULL,37
BREWSTER #3,180,OK,NULL,25
BREWSTER #4,181,OK,NULL,13
BREWSTER #5,182,OK,NULL,19
BREWSTER #6,183,OK,NULL,17
PIONEER,184,OK,NULL,38
COLEMAN BUTTE,185,OK,NULL,39
ASTON,186,OK,NULL,27
WEST RIVER,187,OK,NULL,18
OMAK RIVER,188,OK,NULL,36
CHEROKEE,189,OK,NULL,47
NICHOLS,190,OK,NULL,20
LONE PINE,191,OK,NULL,27
