Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,CZ,NULL,19178
Alabama,1,CZ,NULL,219
Ammons,2,CZ,NULL,205
Arkansas,3,CZ,NULL,129
Bakers,4,CZ,NULL,13
Baltimore,5,CZ,NULL,313
Beacon,6,CZ,NULL,399
Boondox,7,CZ,NULL,11
Brynion,8,CZ,NULL,223
Burcham,9,CZ,NULL,520
Caples,10,CZ,NULL,104
Carrolls,11,CZ,NULL,299
Castle Rock,12,CZ,NULL,390
Chinook,13,CZ,NULL,326
Cloverdale,14,CZ,NULL,238
Coal Creek,15,CZ,NULL,376
Columbia Heights,16,CZ,NULL,179
Columbia Valley Gdns,17,CZ,NULL,219
Crawford,18,CZ,NULL,298
Delameter,19,CZ,NULL,258
Douglas,20,CZ,NULL,232
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,274
Haussler,23,CZ,NULL,210
Hillcrest,24,CZ,NULL,514
Hudson,25,CZ,NULL,343
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,243
Kalama South,28,CZ,NULL,324
Kessler,29,CZ,NULL,379
Lake,30,CZ,NULL,276
Laurel,31,CZ,NULL,360
Lewis River,32,CZ,NULL,367
Lexington,33,CZ,NULL,292
Lone Oak,34,CZ,NULL,163
Magnolia,35,CZ,NULL,462
Marigold,36,CZ,NULL,429
McGowan,37,CZ,NULL,66
Memorial,38,CZ,NULL,210
Mill,39,CZ,NULL,397
Mint Valley,40,CZ,NULL,472
Modrow,41,CZ,NULL,249
Mt. Solo,42,CZ,NULL,89
Nevada,43,CZ,NULL,269
Ocean Beach,44,CZ,NULL,281
Olson,45,CZ,NULL,205
Ostrander,46,CZ,NULL,326
Owl Creek,47,CZ,NULL,365
Pacific,48,CZ,NULL,343
Ponderosa,49,CZ,NULL,264
Powell,50,CZ,NULL,283
Redpath,51,CZ,NULL,241
Ridgecrest,52,CZ,NULL,21
Robbins,53,CZ,NULL,425
Rose Valley,54,CZ,NULL,197
Ryderwood,55,CZ,NULL,140
Sacajawea,56,CZ,NULL,549
Sandy Bend,57,CZ,NULL,269
Silver Lake,58,CZ,NULL,473
Sparks,59,CZ,NULL,176
St. Helens,60,CZ,NULL,155
Stella,61,CZ,NULL,267
Toutle,62,CZ,NULL,374
Tower,63,CZ,NULL,436
Tunstall,64,CZ,NULL,107
View,65,CZ,NULL,203
West Kelso,66,CZ,NULL,95
Willow Grove,67,CZ,NULL,86
Windemere,68,CZ,NULL,418
Woodage,69,CZ,NULL,208
Woodland North,70,CZ,NULL,386
Woodland South,71,CZ,NULL,323
Yale,72,CZ,NULL,220
