Row Label,PrecinctCode,County,Registered Voters,"Yes, Levy","No, Levy"
Total,-1,WK,NULL,724,675
04 - SKAMOKAWA,4,WK,NULL,66,84
05 - ELOCHOMAN,5,WK,NULL,133,119
06 - ROSEDALE,6,WK,NULL,72,73
07 - COLUMBIA,7,WK,NULL,113,113
08 - EAST PUGET ISLAND,8,WK,NULL,92,65
09 - WEST PUGET ISLAND,9,WK,NULL,139,135
10 - SOUTH CATHLAMET,10,WK,NULL,82,56
11 - NORTH CATHLAMET,11,WK,NULL,27,30
