Row Label,PrecinctCode,County,Registered Voters,Kathleen Kler,Daniel S Toepper
Total,-1,JE,NULL,8245,6154
101 Gardiner,101,JE,NULL,117,47
102 Port Discovery,102,JE,NULL,102,97
103 Crocker,103,JE,NULL,66,98
104 Cape George,104,JE,NULL,320,153
105 Discovery Bay,105,JE,NULL,316,151
106 North Jacob,106,JE,NULL,217,137
107 South Jacob,107,JE,NULL,238,229
200 Coyle,200,JE,NULL,112,109
201 Quilcene,201,JE,NULL,229,279
204 Brinnon,204,JE,NULL,245,340
300 Chimacum I,300,JE,NULL,155,183
301 Chimacum II,301,JE,NULL,78,121
302 Center I,302,JE,NULL,113,158
303 Hadlock,303,JE,NULL,186,271
304 Kala Point,304,JE,NULL,335,219
305 Irondale I,305,JE,NULL,142,197
306 Irondale II,306,JE,NULL,169,293
307 Four Corners,307,JE,NULL,148,151
308 Center II,308,JE,NULL,86,89
401 Nordland,401,JE,NULL,287,203
500 Port Ludlow,500,JE,NULL,255,291
501 Port Ludlow I,501,JE,NULL,292,295
502 Port Ludlow II,502,JE,NULL,174,212
503 Port Ludlow III,503,JE,NULL,179,186
504 Port Ludlow IV,504,JE,NULL,128,118
505 Port Ludlow V,505,JE,NULL,213,189
600 Hoh,600,JE,NULL,16,20
601 Queets,601,JE,NULL,18,19
700 Port Townsend,700,JE,NULL,287,163
701 Port Townsend,701,JE,NULL,176,46
702 Port Townsend,702,JE,NULL,212,59
703 Port Townsend,703,JE,NULL,238,74
704 Port Townsend,704,JE,NULL,186,43
705 Port Townsend,705,JE,NULL,175,112
706 Port Townsend,706,JE,NULL,479,215
707 Port Townsend,707,JE,NULL,422,196
708 Port Townsend,708,JE,NULL,453,166
709 Port Townsend,709,JE,NULL,421,128
710 Port Townsend,710,JE,NULL,260,97
