Row Label,PrecinctCode,County,Registered Voters,David Sawyer,Jason Bergstrom
Total,-1,PI,NULL,12356,9792
29-601,29601,PI,NULL,223,152
29-602,29602,PI,NULL,200,132
29-603,29603,PI,NULL,259,130
29-604,29604,PI,NULL,264,123
29-605,29605,PI,NULL,200,151
29-606,29606,PI,NULL,270,182
29-607,29607,PI,NULL,346,167
29-608,29608,PI,NULL,215,152
29-609,29609,PI,NULL,189,112
29-610,29610,PI,NULL,236,164
29-611,29611,PI,NULL,66,32
29-612,29612,PI,NULL,150,74
29-613,29613,PI,NULL,271,181
29-614,29614,PI,NULL,296,184
29-615,29615,PI,NULL,287,194
29-616,29616,PI,NULL,247,177
29-617,29617,PI,NULL,222,194
29-618,29618,PI,NULL,232,122
29-619,29619,PI,NULL,227,166
29-620(*),29620,PI,NULL,0,0
29-621(*),29621,PI,NULL,0,0
29-622,29622,PI,NULL,189,122
29-623,29623,PI,NULL,49,37
29-624,29624,PI,NULL,0,0
29-625,29625,PI,NULL,4,4
29-626,29626,PI,NULL,5,8
29-627,29627,PI,NULL,0,0
29-633,29633,PI,NULL,23,13
29-635,29635,PI,NULL,69,36
29-636,29636,PI,NULL,303,221
29-637,29637,PI,NULL,232,133
29-638,29638,PI,NULL,137,64
29-639,29639,PI,NULL,228,176
29-640,29640,PI,NULL,239,155
29-641,29641,PI,NULL,264,139
29-642,29642,PI,NULL,264,192
29-643,29643,PI,NULL,22,16
29-648,29648,PI,NULL,5,4
29-649,29649,PI,NULL,76,50
29-650,29650,PI,NULL,233,171
29-651,29651,PI,NULL,287,207
29-652,29652,PI,NULL,33,12
29-653,29653,PI,NULL,258,154
29-654,29654,PI,NULL,258,216
29-655,29655,PI,NULL,124,69
29-656,29656,PI,NULL,212,186
29-657,29657,PI,NULL,5,2
29-658,29658,PI,NULL,231,207
29-659,29659,PI,NULL,127,131
29-660,29660,PI,NULL,267,264
29-661,29661,PI,NULL,173,200
29-662,29662,PI,NULL,0,0
29-663,29663,PI,NULL,206,197
29-664,29664,PI,NULL,246,207
29-667,29667,PI,NULL,229,251
29-668,29668,PI,NULL,157,182
29-669,29669,PI,NULL,234,225
29-670,29670,PI,NULL,217,301
29-671,29671,PI,NULL,184,240
29-672,29672,PI,NULL,117,132
29-673,29673,PI,NULL,238,253
29-674,29674,PI,NULL,74,78
29-675,29675,PI,NULL,224,220
29-676,29676,PI,NULL,204,243
29-677,29677,PI,NULL,223,245
29-678,29678,PI,NULL,164,161
29-679,29679,PI,NULL,169,191
29-680,29680,PI,NULL,164,220
29-682,29682,PI,NULL,209,187
29-683,29683,PI,NULL,221,206
