Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,WT,NULL,4805,6609
TEKOA IN,31,WT,NULL,106,142
OAKESDALE IN,32,WT,NULL,77,116
FARMINGTON IN,33,WT,NULL,32,49
GARFIELD IN,34,WT,NULL,88,124
COLTON IN,35,WT,NULL,72,116
UNIONTOWN IN,36,WT,NULL,39,72
ALBION IN,37,WT,NULL,83,103
LACROSSE IN,42,WT,NULL,50,98
ENDICOTT IN,43,WT,NULL,58,73
LAMONT IN,44,WT,NULL,11,12
ST JOHN IN,45,WT,NULL,85,155
MALDEN IN,46,WT,NULL,26,33
ROSALIA IN,47,WT,NULL,77,155
TEKOA 101,101,WT,NULL,27,36
OAKESDALE 102,102,WT,NULL,29,80
FARMINGTON 103,103,WT,NULL,5,29
STEPTOE 104,104,WT,NULL,36,79
GARFIELD 105,105,WT,NULL,32,79
PALOUSE RURAL 106,106,WT,NULL,62,151
PALOUSE 107,107,WT,NULL,200,205
COLTON 108,108,WT,NULL,42,71
UNIONTOWN 109,109,WT,NULL,26,40
PULLMAN RURAL 110,110,WT,NULL,147,323
PULLMAN RURAL 111,111,WT,NULL,55,85
ALBION 112,112,WT,NULL,67,58
PULLMAN CITY 113,113,WT,NULL,98,102
PULLMAN CITY 114,114,WT,NULL,25,14
PULLMAN CITY 115,115,WT,NULL,7,5
PULLMAN CITY 116,116,WT,NULL,246,301
PULLMAN CITY 117,117,WT,NULL,82,97
PULLMAN CITY 118,118,WT,NULL,185,198
PULLMAN CITY 119,119,WT,NULL,167,165
PULLMAN CITY 120,120,WT,NULL,355,416
PULLMAN CITY 121,121,WT,NULL,99,110
PULLMAN CITY 122,122,WT,NULL,93,80
PULLMAN CITY 123,123,WT,NULL,145,180
PULLMAN CITY 124,124,WT,NULL,24,17
PULLMAN CITY 125,125,WT,NULL,20,6
PULLMAN CITY 126,126,WT,NULL,12,20
PULLMAN CITY 127,127,WT,NULL,32,17
PULLMAN CITY 128,128,WT,NULL,50,25
PULLMAN CITY 129,129,WT,NULL,65,34
PULLMAN CITY 130,130,WT,NULL,55,39
PULLMAN CITY 131(*),131,WT,NULL,0,0
PULLMAN CITY 132,132,WT,NULL,0,0
PULLMAN CITY 133(*),133,WT,NULL,0,0
PULLMAN CITY 134,134,WT,NULL,23,15
PULLMAN CITY 135,135,WT,NULL,179,128
COLFAX RURAL 136,136,WT,NULL,54,115
COLFAX RURAL 137,137,WT,NULL,83,199
WILCOX 138,138,WT,NULL,40,98
COLFAX CITY 139,139,WT,NULL,111,149
COLFAX CITY 140,140,WT,NULL,101,144
COLFAX CITY 141,141,WT,NULL,88,116
COLFAX CITY 142,142,WT,NULL,137,221
DUSTY 143,143,WT,NULL,14,41
HAY 144,144,WT,NULL,9,17
HOOPER 145,145,WT,NULL,5,15
LACROSSE 146,146,WT,NULL,22,59
ENDICOTT 147,147,WT,NULL,28,98
LAMONT 148,148,WT,NULL,5,43
ST JOHN 149,149,WT,NULL,54,184
MALDEN 150,150,WT,NULL,2,9
ROSALIA 151,151,WT,NULL,36,49
THORNTON 152,152,WT,NULL,36,28
PULLMAN 218,218,WT,NULL,184,240
PULLMAN 228,228,WT,NULL,25,10
PULLMAN 234,234,WT,NULL,43,50
PULLMAN 235,235,WT,NULL,231,268
