Row Label,PrecinctCode,County,Registered Voters,Derek Kilmer,Marty McClendon
Total,-1,MA,NULL,8683,6869
PICKERING,113,MA,NULL,290,226
HARSTINE,114,MA,NULL,459,326
GRAPEVIEW,115,MA,NULL,398,304
MASON LAKE,116,MA,NULL,270,220
FAIR HARBOR,117,MA,NULL,249,189
ALLYN,118,MA,NULL,574,446
VICTOR,119,MA,NULL,233,198
BELFAIR,120,MA,NULL,283,196
TIGER LAKE,121,MA,NULL,154,159
DEWATTO,122,MA,NULL,358,283
TAHUYA,123,MA,NULL,322,241
SAND HILL,124,MA,NULL,299,280
TRAIL&#39;S END,125,MA,NULL,313,308
TWANOH,126,MA,NULL,215,153
UNION,227,MA,NULL,508,384
SKOKOMISH,228,MA,NULL,91,17
HOOD CANAL,229,MA,NULL,348,310
CUSHMAN,230,MA,NULL,396,245
EELLS,231,MA,NULL,99,116
MATLOCK,232,MA,NULL,289,225
DAYTON,233,MA,NULL,232,202
KAMILCHE,234,MA,NULL,124,115
ISABELLA,235,MA,NULL,182,160
AIRPORT,236,MA,NULL,409,307
JOHN&#39;S PRAIRIE,237,MA,NULL,213,204
LIMERICK,238,MA,NULL,458,318
AGATE,310,MA,NULL,314,232
OAKLAND BAY,311,MA,NULL,224,230
TIMBERLAKE,312,MA,NULL,379,275
