Row Label,PrecinctCode,County,Registered Voters,Howie Kubik
Total,-1,ST,NULL,10994
ADDY,1,ST,NULL,328
CAMAS,3,ST,NULL,212
CAMAS PRAIRIE,4,ST,NULL,134
COLUMBIA,5,ST,NULL,290
COLVILLE VALLEY,6,ST,NULL,398
DAISY,7,ST,NULL,136
ECHO,8,ST,NULL,266
EVANS,9,ST,NULL,138
HUNTERS,10,ST,NULL,253
KELLY HILL,11,ST,NULL,56
LOON LAKE 1,12,ST,NULL,331
LOON LAKE 2,13,ST,NULL,185
MILL CREEK,14,ST,NULL,106
NARCISSE,15,ST,NULL,280
ONION CREEK,16,ST,NULL,83
RICE,19,ST,NULL,118
ROCK CUT,20,ST,NULL,45
SUMMIT,21,ST,NULL,217
FIRST THOUGHT,22,ST,NULL,30
WELLPINIT,24,ST,NULL,115
WILLIAMS VALLEY,25,ST,NULL,297
TUM TUM 1,26,ST,NULL,152
TUM TUM 2,27,ST,NULL,296
WALKERS PRAIRIE,28,ST,NULL,185
STONE LODGE,29,ST,NULL,246
TUM TUM 3,39,ST,NULL,348
TUM TUM 4,40,ST,NULL,199
TUM TUM 5,41,ST,NULL,245
MEYERS FALLS 1,42,ST,NULL,197
MEYERS FALLS 2,43,ST,NULL,320
QUARTZITE 1,44,ST,NULL,400
QUARTZITE 2,45,ST,NULL,218
VALLEY 1,46,ST,NULL,30
VALLEY 2,47,ST,NULL,153
ARDEN 1,48,ST,NULL,210
ARDEN 2,49,ST,NULL,259
CLAYTON 1,50,ST,NULL,155
CLAYTON 2,51,ST,NULL,268
ORIN 1,52,ST,NULL,170
ORIN 2,53,ST,NULL,219
WAITTS LAKE,54,ST,NULL,255
ECHO VALLEY,55,ST,NULL,152
CHEWELAH 1,101,ST,NULL,208
CHEWELAH 2,102,ST,NULL,111
CHEWELAH 3,103,ST,NULL,166
CHEWELAH FORE,104,ST,NULL,100
COLVILLE 1,105,ST,NULL,109
COLVILLE 2,106,ST,NULL,124
COLVILLE 3,107,ST,NULL,133
COLVILLE 4,108,ST,NULL,299
COLVILLE 5,109,ST,NULL,219
COLVILLE 6,110,ST,NULL,144
COLVILLE 7,111,ST,NULL,159
KETTLE FALLS 1,114,ST,NULL,226
KETTLE FALLS 2,115,ST,NULL,147
MARCUS,116,ST,NULL,37
NORTHPORT,117,ST,NULL,67
SPRINGDALE,118,ST,NULL,50
