Row Label,PrecinctCode,County,Registered Voters,Claire Bradley,Tracy Flood
Total,-1,KP,NULL,36348,27476
BREMERTON 001,100001,KP,NULL,88,105
BREMERTON 002,100002,KP,NULL,68,79
BREMERTON 003,100003,KP,NULL,183,140
BREMERTON 005,100005,KP,NULL,117,112
BREMERTON 006,100006,KP,NULL,126,87
BREMERTON 007,100007,KP,NULL,4,4
BREMERTON 012,100012,KP,NULL,50,35
BREMERTON 013,100013,KP,NULL,144,168
BREMERTON 015,100015,KP,NULL,183,188
BREMERTON 016,100016,KP,NULL,50,34
BREMERTON 022,100022,KP,NULL,153,107
BREMERTON 029,100029,KP,NULL,163,135
BREMERTON 030,100030,KP,NULL,186,124
BREMERTON 031,100031,KP,NULL,105,71
BREMERTON 032,100032,KP,NULL,29,23
BREMERTON 037,100037,KP,NULL,254,207
BREMERTON 040,100040,KP,NULL,205,119
BREMERTON 041,100041,KP,NULL,163,117
BREMERTON 046,100046,KP,NULL,166,169
BREMERTON 051,100051,KP,NULL,12,24
BREMERTON 052,100052,KP,NULL,136,96
BREMERTON 053,100053,KP,NULL,277,198
BREMERTON 054,100054,KP,NULL,130,90
BREMERTON 056,100056,KP,NULL,186,136
BREMERTON 058,100058,KP,NULL,226,132
ILLAHEE 065,100065,KP,NULL,269,192
SYLVAN 066,100066,KP,NULL,209,171
RAINIER 067,100067,KP,NULL,249,170
PERRY 073,100073,KP,NULL,121,106
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,288,199
RIDGEWAY 084,100084,KP,NULL,53,48
KITSAP LAKE 085,100085,KP,NULL,5,20
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,62,48
BREMERTON 088,100088,KP,NULL,37,23
MARION 090,100090,KP,NULL,41,40
NAVY YARD CITY 095,100095,KP,NULL,209,159
OLYMPIC 099,100099,KP,NULL,28,18
TRIDENT 101,100101,KP,NULL,50,32
FRONTIER 102,100102,KP,NULL,248,189
OLYMPIC VIEW 103,100103,KP,NULL,199,120
BROWNSVILLE 105,100105,KP,NULL,323,201
OLD FRONTIER 106,100106,KP,NULL,281,177
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,12,21
CHARLAND 110,100110,KP,NULL,163,137
ALPINE 111,100111,KP,NULL,206,132
HERITAGE PARK 112,100112,KP,NULL,162,127
COUNTRY CLUB 113,100113,KP,NULL,119,102
BREMERTON 114,100114,KP,NULL,0,0
CLEAR CREEK 120,100120,KP,NULL,230,134
BUCKLIN 121,100121,KP,NULL,252,173
LUOTO 122,100122,KP,NULL,121,94
COTTONWOOD 125,100125,KP,NULL,196,157
FOREST RIDGE 126,100126,KP,NULL,123,119
WOODMERE 127,100127,KP,NULL,238,207
CENTRAL VALLEY 128,100128,KP,NULL,261,188
WINSTON 129,100129,KP,NULL,98,65
ERLANDS POINT 130,100130,KP,NULL,157,126
REGAL 131,100131,KP,NULL,60,45
FAIRVIEW 135,100135,KP,NULL,141,94
FIRGLADE 137,100137,KP,NULL,139,121
TIBARDIS 139,100139,KP,NULL,106,72
GILBERTON 140,100140,KP,NULL,169,150
RIDGEPOINT 141,100141,KP,NULL,173,104
UNIVERSITY POINT 142,100142,KP,NULL,151,121
KARIOTIS 143,100143,KP,NULL,237,177
CAMBRIDGE 144,100144,KP,NULL,147,115
SPINNAKER 146,100146,KP,NULL,150,123
BARKER CREEK 147,100147,KP,NULL,246,207
SANTA FE 148,100148,KP,NULL,191,141
RIDGETOP 149,100149,KP,NULL,172,131
MEADOWDALE 150,100150,KP,NULL,154,141
SYMINGTON 151,100151,KP,NULL,114,100
PIONEER 152,100152,KP,NULL,275,195
LARSON 153,100153,KP,NULL,265,215
SEABECK 155,100155,KP,NULL,308,225
LOST HIGHWAY 157,100157,KP,NULL,226,188
HOLLY 158,100158,KP,NULL,62,48
BREMERTON 159,100159,KP,NULL,144,81
SILVERDALE 160,100160,KP,NULL,223,173
MORKEN 161,100161,KP,NULL,296,213
APEX 162,100162,KP,NULL,259,177
ANDERSON CREEK 163,100163,KP,NULL,203,108
EAGLE CREST 164,100164,KP,NULL,237,210
SUTTON 165,100165,KP,NULL,142,116
TRACYTON 170,100170,KP,NULL,169,111
VENA 173,100173,KP,NULL,181,174
FUSON 175,100175,KP,NULL,221,128
PORT ORCHARD 200,100200,KP,NULL,116,83
PORT ORCHARD 201,100201,KP,NULL,198,132
PORT ORCHARD 202,100202,KP,NULL,255,171
PORT ORCHARD 203,100203,KP,NULL,115,86
PORT ORCHARD 204,100204,KP,NULL,182,144
PORT ORCHARD 205,100205,KP,NULL,495,285
PORT ORCHARD 206,100206,KP,NULL,0,0
PORT ORCHARD 207,100207,KP,NULL,212,143
PORT ORCHARD 208,100208,KP,NULL,0,0
PORT ORCHARD 209,100209,KP,NULL,0,0
PORT ORCHARD 210,100210,KP,NULL,149,105
CEDAR 211,100211,KP,NULL,199,152
ANNAPOLIS 212,100212,KP,NULL,282,243
BRASCH 213,100213,KP,NULL,222,210
LAKE HELENA 214,100214,KP,NULL,202,147
PORT ORCHARD 215,100215,KP,NULL,0,0
MINTERBROOK 216,100216,KP,NULL,94,95
SPRING CREEK 217,100217,KP,NULL,141,130
BURLEY 218,100218,KP,NULL,233,164
HUNTER 219,100219,KP,NULL,176,136
ALASKA 221,100221,KP,NULL,281,189
WOODRIDGE 222,100222,KP,NULL,124,104
NEBRASKA 223,100223,KP,NULL,221,166
WHISPERING PINES 227,100227,KP,NULL,243,168
FERNWOOD 230,100230,KP,NULL,245,209
GLENWOOD 232,100232,KP,NULL,299,214
HARPER 240,100240,KP,NULL,196,154
YUKON 241,100241,KP,NULL,161,138
WILSON CREEK 242,100242,KP,NULL,212,141
LONG LAKE 245,100245,KP,NULL,147,114
LOCKER 246,100246,KP,NULL,276,236
EBBERT 247,100247,KP,NULL,253,190
LUNDBERG 250,100250,KP,NULL,215,194
CONVERSE 252,100252,KP,NULL,204,157
MANCHESTER 255,100255,KP,NULL,208,116
EVERGREEN 257,100257,KP,NULL,327,236
WILLOCK 258,100258,KP,NULL,194,135
FRAGARIA 259,100259,KP,NULL,210,137
MULLENIX 260,100260,KP,NULL,258,192
BANDIX 263,100263,KP,NULL,244,182
OLALLA 265,100265,KP,NULL,160,127
CRESCENT VALLEY 266,100266,KP,NULL,217,169
OVERLOOK 267,100267,KP,NULL,191,126
MADRONA 269,100269,KP,NULL,180,119
PARKWOOD 270,100270,KP,NULL,243,189
CONIFER 271,100271,KP,NULL,132,95
SEDGWICK 272,100272,KP,NULL,263,180
SINCLAIR 275,100275,KP,NULL,94,111
SHERMAN HEIGHTS 278,100278,KP,NULL,3,8
BERRY LAKE 279,100279,KP,NULL,156,105
BELFAIR VALLEY 280,100280,KP,NULL,84,59
SUNNYSLOPE 281,100281,KP,NULL,172,157
DICKENSON 282,100282,KP,NULL,220,162
DRIVE-IN 283,100283,KP,NULL,5,6
TWIN LAKES 285,100285,KP,NULL,55,53
LIGHTHOUSE POINT 292,100292,KP,NULL,297,132
BREMERTON 293(*),100293,KP,NULL,0,0
BREMERTON 294,100294,KP,NULL,0,0
WATERMAN 295,100295,KP,NULL,166,93
BREMERTON 296,100296,KP,NULL,0,0
HEINS CREEK 297,100297,KP,NULL,0,0
BLUE HERON 301,100301,KP,NULL,269,284
AZALEA 302,100302,KP,NULL,241,206
WINSLOW 304,100304,KP,NULL,310,279
WING POINT 305,100305,KP,NULL,186,130
BLAKELY 310,100310,KP,NULL,156,144
CRYSTAL SPRINGS 312,100312,KP,NULL,280,227
FINCH 314,100314,KP,NULL,168,105
FERNCLIFF 315,100315,KP,NULL,252,249
EAGLE HARBOR 317,100317,KP,NULL,150,139
FORT WARD 318,100318,KP,NULL,212,160
ISLAND CENTER 320,100320,KP,NULL,176,191
MEADOWMEER 321,100321,KP,NULL,81,88
NEW BROOKLYN 322,100322,KP,NULL,122,124
LIBERTY 325,100325,KP,NULL,178,145
SKIFF POINT 328,100328,KP,NULL,162,156
ROLLING BAY 330,100330,KP,NULL,196,167
LOVGREN 332,100332,KP,NULL,124,98
TOLO 333,100333,KP,NULL,185,152
SEABOLD 335,100335,KP,NULL,239,205
MANZANITA 336,100336,KP,NULL,136,102
PORT MADISON 340,100340,KP,NULL,163,127
TORVANGER 345,100345,KP,NULL,244,194
POULSBO 401,100401,KP,NULL,292,230
POULSBO 403,100403,KP,NULL,201,129
POULSBO 404,100404,KP,NULL,264,167
POULSBO 405,100405,KP,NULL,254,151
POULSBO 406,100406,KP,NULL,269,211
POULSBO 407,100407,KP,NULL,194,119
BREIDABLIK 410,100410,KP,NULL,226,174
VINLAND 412,100412,KP,NULL,264,189
BELLA VISTA 413,100413,KP,NULL,196,119
HANSVILLE 415,100415,KP,NULL,158,101
POINT NO POINT 416,100416,KP,NULL,344,239
TWIN SPITS 417,100417,KP,NULL,276,176
S&#39;KLALLAM 418,100418,KP,NULL,27,6
POINT JEFFERSON 419,100419,KP,NULL,174,111
INDIANOLA 420,100420,KP,NULL,289,204
ORCA 421,100421,KP,NULL,136,138
APPLE TREE 422,100422,KP,NULL,244,203
HIGHLAND 423,100423,KP,NULL,137,97
KEYPORT 425,100425,KP,NULL,267,190
EVERGREEN RIDGE 426,100426,KP,NULL,97,56
