Row Label,PrecinctCode,County,Registered Voters,Jan Angel,Judy Arbogast
Total,-1,PI,NULL,15598,10765
26-301,26301,PI,NULL,144,80
26-302,26302,PI,NULL,471,384
26-303,26303,PI,NULL,443,337
26-304,26304,PI,NULL,481,403
26-305,26305,PI,NULL,489,351
26-315,26315,PI,NULL,405,307
26-316,26316,PI,NULL,421,314
26-317,26317,PI,NULL,365,266
26-318,26318,PI,NULL,316,225
26-319,26319,PI,NULL,352,249
26-320,26320,PI,NULL,359,260
26-321,26321,PI,NULL,453,380
26-322,26322,PI,NULL,374,323
26-323,26323,PI,NULL,415,351
26-324,26324,PI,NULL,394,259
26-325,26325,PI,NULL,366,253
26-326,26326,PI,NULL,390,303
26-327,26327,PI,NULL,373,278
26-328,26328,PI,NULL,406,188
26-329,26329,PI,NULL,497,179
26-330,26330,PI,NULL,247,194
26-331,26331,PI,NULL,127,67
26-332,26332,PI,NULL,339,251
26-333,26333,PI,NULL,441,233
26-334,26334,PI,NULL,393,279
26-335,26335,PI,NULL,316,201
26-336,26336,PI,NULL,429,292
26-337,26337,PI,NULL,413,289
26-338,26338,PI,NULL,367,197
26-339,26339,PI,NULL,70,40
26-340,26340,PI,NULL,445,305
26-341,26341,PI,NULL,364,254
26-342,26342,PI,NULL,403,297
26-343,26343,PI,NULL,354,247
26-344,26344,PI,NULL,37,35
26-345,26345,PI,NULL,397,229
26-346,26346,PI,NULL,291,230
26-347,26347,PI,NULL,328,199
26-348,26348,PI,NULL,370,254
26-349,26349,PI,NULL,399,232
26-350,26350,PI,NULL,418,246
26-351,26351,PI,NULL,382,245
26-352,26352,PI,NULL,354,259
