Row Label,PrecinctCode,County,Registered Voters,Mavis Betz
Total,-1,SK,NULL,26203
ALDER,101,SK,NULL,166
ALGER,102,SK,NULL,182
ALLEN,103,SK,NULL,106
DUNBAR,104,SK,NULL,60
AVON,105,SK,NULL,276
SAUK,107,SK,NULL,316
BAY VIEW,108,SK,NULL,250
BELFAST,109,SK,NULL,148
BIG LAKE,110,SK,NULL,356
BIRDSVIEW,111,SK,NULL,310
BOW,113,SK,NULL,402
CASCADE,114,SK,NULL,58
CEDARDALE,115,SK,NULL,93
CLEAR LAKE,116,SK,NULL,267
COUNTRY CLUB,117,SK,NULL,114
CONWAY,118,SK,NULL,124
DEWEY,119,SK,NULL,483
DIGBY,120,SK,NULL,23
DODGE VALLEY,121,SK,NULL,143
EDISON,122,SK,NULL,174
FIR,124,SK,NULL,133
FRUITDALE,125,SK,NULL,135
GEAR,126,SK,NULL,278
GUEMES,127,SK,NULL,267
HAMBURG,128,SK,NULL,133
HARMONY,129,SK,NULL,173
LAKE SIXTEEN,130,SK,NULL,133
LOOKOUT,132,SK,NULL,323
MANSFORD,133,SK,NULL,43
MAPES,134,SK,NULL,109
MARCH POINT,135,SK,NULL,18
MCMURRAY WEST,136,SK,NULL,151
MCRAE,137,SK,NULL,420
MCMURRAY EAST,138,SK,NULL,60
MINKLER,139,SK,NULL,189
MONTBORNE,140,SK,NULL,390
NOOKACHAMPS,141,SK,NULL,168
SKYRIDGE,144,SK,NULL,252
PRAIRIE,145,SK,NULL,280
POINT WILLIAMS,146,SK,NULL,229
RIDGEWAY,147,SK,NULL,208
ROCKPORT,148,SK,NULL,259
SHELTER BAY,149,SK,NULL,338
SNEE OOSH,150,SK,NULL,240
STERLING,151,SK,NULL,81
SWINOMISH,153,SK,NULL,334
TINGLEY,154,SK,NULL,141
VAN FLEET,155,SK,NULL,246
VEDERE,156,SK,NULL,215
WHITNEY,157,SK,NULL,123
ROSARIO,158,SK,NULL,390
TERRACE,159,SK,NULL,460
STARBIRD,160,SK,NULL,222
FIDALGO,164,SK,NULL,328
GAGES,165,SK,NULL,67
SAMISH,166,SK,NULL,201
COLLINS,167,SK,NULL,154
BLANCHARD,168,SK,NULL,292
VIEW TERRACE,170,SK,NULL,4
LAKE CAVANAUGH,171,SK,NULL,78
LITTLE MOUNTAIN,172,SK,NULL,130
RIVERBEND,173,SK,NULL,16
PADILLA,174,SK,NULL,62
FREDONIA,176,SK,NULL,61
ANACORTES  1,201,SK,NULL,270
ANACORTES  4,204,SK,NULL,214
ANACORTES 5,205,SK,NULL,8
ANACORTES  6,206,SK,NULL,242
ANACORTES  7,207,SK,NULL,572
ANACORTES  9,209,SK,NULL,306
ANACORTES 11,211,SK,NULL,401
ANACORTES 17,217,SK,NULL,526
ANACORTES 20,220,SK,NULL,455
ANACORTES 21,221,SK,NULL,563
ANACORTES 22,222,SK,NULL,399
ANACORTES 24,224,SK,NULL,589
MOUNT VERNON  1,301,SK,NULL,115
MOUNT VERNON  2,302,SK,NULL,142
MOUNT VERNON  3,303,SK,NULL,275
MOUNT VERNON  4,304,SK,NULL,417
MOUNT VERNON  5,305,SK,NULL,79
MOUNT VERNON  6,306,SK,NULL,251
MOUNT VERNON  7,307,SK,NULL,320
MOUNT VERNON  8,308,SK,NULL,520
MOUNT VERNON  9,309,SK,NULL,154
MOUNT VERNON 10,310,SK,NULL,163
MOUNT VERNON 11,311,SK,NULL,268
MOUNT VERNON 12,312,SK,NULL,135
MOUNT VERNON 14,314,SK,NULL,380
MOUNT VERNON 15,315,SK,NULL,194
MOUNT VERNON 16,316,SK,NULL,380
MOUNT VERNON 19,319,SK,NULL,320
MOUNT VERNON 21,321,SK,NULL,482
MOUNT VERNON 22,322,SK,NULL,485
MOUNT VERNON 27,327,SK,NULL,94
MOUNT VERNON 30,330,SK,NULL,350
SEDRO WOOLLEY  1,401,SK,NULL,289
SEDRO WOOLLEY  2,402,SK,NULL,315
SEDRO WOOLLEY  3,403,SK,NULL,231
SEDRO WOOLLEY  4,404,SK,NULL,302
SEDRO WOOLLEY  5,405,SK,NULL,398
SEDRO WOOLLEY  6,406,SK,NULL,291
SEDRO WOOLLEY  7,407,SK,NULL,7
BURLINGTON 1,501,SK,NULL,142
BURLINGTON 2,502,SK,NULL,166
BURLINGTON 3,503,SK,NULL,81
BURLINGTON 4,504,SK,NULL,224
BURLINGTON 5,505,SK,NULL,278
BURLINGTON 6,506,SK,NULL,152
BURLINGTON 7,507,SK,NULL,153
CONCRETE,601,SK,NULL,115
HAMILTON,701,SK,NULL,44
LA CONNER,801,SK,NULL,303
LYMAN,855,SK,NULL,58
