Row Label,PrecinctCode,County,Registered Voters,Levy Yes,Levy No
Total,-1,CU,NULL,166,73
Total,-1,CU,NULL,166,73
Clyde 39,39,WL,NULL,24,9
Eureka 5 42,42,WL,NULL,30,14
Lincoln 49,49,WL,NULL,53,22
Prescott 64,64,WL,NULL,59,28
