Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,SK,NULL,8070,22009
ALDER,101,SK,NULL,59,123
ALGER,102,SK,NULL,50,179
ALLEN,103,SK,NULL,43,97
DUNBAR,104,SK,NULL,17,47
AVON,105,SK,NULL,73,222
SAUK,107,SK,NULL,89,235
BAY VIEW,108,SK,NULL,75,195
BELFAST,109,SK,NULL,41,144
BIG LAKE,110,SK,NULL,114,309
BIRDSVIEW,111,SK,NULL,81,270
BOW,113,SK,NULL,117,307
CASCADE,114,SK,NULL,27,50
CEDARDALE,115,SK,NULL,30,85
CLEAR LAKE,116,SK,NULL,97,232
COUNTRY CLUB,117,SK,NULL,36,112
CONWAY,118,SK,NULL,34,103
DEWEY,119,SK,NULL,133,428
DIGBY,120,SK,NULL,7,27
DODGE VALLEY,121,SK,NULL,30,112
EDISON,122,SK,NULL,44,145
FIR,124,SK,NULL,32,107
FRUITDALE,125,SK,NULL,32,124
GEAR,126,SK,NULL,82,263
GUEMES,127,SK,NULL,94,211
HAMBURG,128,SK,NULL,28,116
HARMONY,129,SK,NULL,42,150
LAKE SIXTEEN,130,SK,NULL,50,121
LOOKOUT,132,SK,NULL,113,275
MANSFORD,133,SK,NULL,20,31
MAPES,134,SK,NULL,34,87
MARCH POINT,135,SK,NULL,5,15
MCMURRAY WEST,136,SK,NULL,44,114
MCRAE,137,SK,NULL,108,366
MCMURRAY EAST,138,SK,NULL,15,58
MINKLER,139,SK,NULL,65,156
MONTBORNE,140,SK,NULL,126,314
NOOKACHAMPS,141,SK,NULL,60,134
SKYRIDGE,144,SK,NULL,65,208
PRAIRIE,145,SK,NULL,118,241
POINT WILLIAMS,146,SK,NULL,62,203
RIDGEWAY,147,SK,NULL,56,181
ROCKPORT,148,SK,NULL,80,225
SHELTER BAY,149,SK,NULL,94,276
SNEE OOSH,150,SK,NULL,65,202
STERLING,151,SK,NULL,38,62
SWINOMISH,153,SK,NULL,109,262
TINGLEY,154,SK,NULL,42,137
VAN FLEET,155,SK,NULL,72,215
VEDERE,156,SK,NULL,39,167
WHITNEY,157,SK,NULL,33,101
ROSARIO,158,SK,NULL,105,371
TERRACE,159,SK,NULL,126,378
STARBIRD,160,SK,NULL,68,225
FIDALGO,164,SK,NULL,125,290
GAGES,165,SK,NULL,26,52
SAMISH,166,SK,NULL,51,191
COLLINS,167,SK,NULL,34,162
BLANCHARD(*),168,SK,NULL,0,0
VIEW TERRACE(*),170,SK,NULL,0,0
LAKE CAVANAUGH,171,SK,NULL,24,75
LITTLE MOUNTAIN,172,SK,NULL,40,126
RIVERBEND,173,SK,NULL,5,10
PADILLA,174,SK,NULL,11,61
FREDONIA,176,SK,NULL,21,49
ANACORTES  1,201,SK,NULL,105,174
ANACORTES  4,204,SK,NULL,78,155
ANACORTES 5(*),205,SK,NULL,0,0
ANACORTES  6,206,SK,NULL,91,226
ANACORTES  7,207,SK,NULL,161,478
ANACORTES  9,209,SK,NULL,98,259
ANACORTES 11,211,SK,NULL,128,336
ANACORTES 17,217,SK,NULL,165,429
ANACORTES 20,220,SK,NULL,160,380
ANACORTES 21,221,SK,NULL,188,499
ANACORTES 22,222,SK,NULL,142,333
ANACORTES 24,224,SK,NULL,199,557
MOUNT VERNON  1,301,SK,NULL,40,94
MOUNT VERNON  2,302,SK,NULL,41,107
MOUNT VERNON  3,303,SK,NULL,89,212
MOUNT VERNON  4,304,SK,NULL,141,319
MOUNT VERNON  5,305,SK,NULL,27,64
MOUNT VERNON  6,306,SK,NULL,74,181
MOUNT VERNON  7,307,SK,NULL,95,257
MOUNT VERNON  8,308,SK,NULL,154,435
MOUNT VERNON  9,309,SK,NULL,51,121
MOUNT VERNON 10,310,SK,NULL,59,120
MOUNT VERNON 11,311,SK,NULL,64,240
MOUNT VERNON 12,312,SK,NULL,39,105
MOUNT VERNON 14,314,SK,NULL,120,302
MOUNT VERNON 15,315,SK,NULL,68,137
MOUNT VERNON 16,316,SK,NULL,107,315
MOUNT VERNON 19,319,SK,NULL,100,289
MOUNT VERNON 21,321,SK,NULL,137,391
MOUNT VERNON 22,322,SK,NULL,143,417
MOUNT VERNON 27,327,SK,NULL,24,89
MOUNT VERNON 30,330,SK,NULL,107,288
SEDRO WOOLLEY  1,401,SK,NULL,112,226
SEDRO WOOLLEY  2,402,SK,NULL,89,267
SEDRO WOOLLEY  3,403,SK,NULL,71,184
SEDRO WOOLLEY  4,404,SK,NULL,82,255
SEDRO WOOLLEY  5,405,SK,NULL,123,316
SEDRO WOOLLEY  6,406,SK,NULL,73,249
SEDRO WOOLLEY  7,407,SK,NULL,2,3
BURLINGTON 1,501,SK,NULL,40,129
BURLINGTON 2,502,SK,NULL,56,136
BURLINGTON 3,503,SK,NULL,38,47
BURLINGTON 4,504,SK,NULL,74,185
BURLINGTON 5,505,SK,NULL,93,231
BURLINGTON 6,506,SK,NULL,40,135
BURLINGTON 7,507,SK,NULL,53,146
CONCRETE,601,SK,NULL,35,94
HAMILTON,701,SK,NULL,12,31
LA CONNER,801,SK,NULL,95,226
LYMAN,855,SK,NULL,16,59
