Row Label,PrecinctCode,County,Registered Voters,Steven E. Pauly,Molly Doneen Simpson
Total,-1,DG,NULL,3798,5394
PRECINCT 101,101,DG,NULL,78,131
PRECINCT 102,102,DG,NULL,183,204
PRECINCT 103,103,DG,NULL,38,44
PRECINCT 104,104,DG,NULL,196,273
PRECINCT 105,105,DG,NULL,49,76
PRECINCT 106,106,DG,NULL,76,95
PRECINCT 107,107,DG,NULL,77,85
PRECINCT 108,108,DG,NULL,76,103
PRECINCT 109,109,DG,NULL,62,62
PRECINCT 110,110,DG,NULL,99,145
PRECINCT 111,111,DG,NULL,147,204
PRECINCT 112,112,DG,NULL,96,116
PRECINCT 113,113,DG,NULL,89,93
PRECINCT 114,114,DG,NULL,90,75
PRECINCT 201,201,DG,NULL,92,113
PRECINCT 202,202,DG,NULL,53,49
PRECINCT 203,203,DG,NULL,127,139
PRECINCT 204,204,DG,NULL,125,176
PRECINCT 205,205,DG,NULL,126,248
PRECINCT 206,206,DG,NULL,72,96
PRECINCT 207,207,DG,NULL,139,180
PRECINCT 208,208,DG,NULL,55,101
PRECINCT 209,209,DG,NULL,113,182
PRECINCT 210,210,DG,NULL,34,75
PRECINCT 211,211,DG,NULL,29,47
PRECINCT 212,212,DG,NULL,66,121
PRECINCT 213,213,DG,NULL,53,135
PRECINCT 214,214,DG,NULL,35,36
PRECINCT 215,215,DG,NULL,95,151
PRECINCT 301,301,DG,NULL,134,269
PRECINCT 302,302,DG,NULL,126,198
PRECINCT 303,303,DG,NULL,77,103
PRECINCT 304,304,DG,NULL,20,30
PRECINCT 305,305,DG,NULL,60,76
PRECINCT 306,306,DG,NULL,48,118
PRECINCT 307,307,DG,NULL,22,23
PRECINCT 308,308,DG,NULL,26,28
PRECINCT 309,309,DG,NULL,28,49
PRECINCT 310,310,DG,NULL,48,50
PRECINCT 311,311,DG,NULL,50,94
PRECINCT 312,312,DG,NULL,85,90
PRECINCT 313,313,DG,NULL,9,51
PRECINCT 314,314,DG,NULL,21,25
PRECINCT 315,315,DG,NULL,153,198
PRECINCT 316,316,DG,NULL,116,158
PRECINCT 317,317,DG,NULL,174,221
PRECINCT 318,318,DG,NULL,31,58
