Row Label,PrecinctCode,County,Registered Voters,Kathy Hanks
Total,-1,CZ,NULL,20012
Alabama,1,CZ,NULL,224
Ammons,2,CZ,NULL,210
Arkansas,3,CZ,NULL,135
Bakers,4,CZ,NULL,15
Baltimore,5,CZ,NULL,337
Beacon,6,CZ,NULL,430
Boondox,7,CZ,NULL,11
Brynion,8,CZ,NULL,252
Burcham,9,CZ,NULL,547
Caples,10,CZ,NULL,105
Carrolls,11,CZ,NULL,309
Castle Rock,12,CZ,NULL,415
Chinook,13,CZ,NULL,344
Cloverdale,14,CZ,NULL,235
Coal Creek,15,CZ,NULL,402
Columbia Heights,16,CZ,NULL,186
Columbia Valley Gdns,17,CZ,NULL,232
Crawford,18,CZ,NULL,307
Delameter,19,CZ,NULL,269
Douglas,20,CZ,NULL,244
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,285
Haussler,23,CZ,NULL,221
Hillcrest,24,CZ,NULL,532
Hudson,25,CZ,NULL,366
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,249
Kalama South,28,CZ,NULL,339
Kessler,29,CZ,NULL,402
Lake,30,CZ,NULL,296
Laurel,31,CZ,NULL,383
Lewis River,32,CZ,NULL,361
Lexington,33,CZ,NULL,301
Lone Oak,34,CZ,NULL,176
Magnolia,35,CZ,NULL,498
Marigold,36,CZ,NULL,444
McGowan,37,CZ,NULL,64
Memorial,38,CZ,NULL,211
Mill,39,CZ,NULL,412
Mint Valley,40,CZ,NULL,497
Modrow,41,CZ,NULL,262
Mt. Solo,42,CZ,NULL,93
Nevada,43,CZ,NULL,286
Ocean Beach,44,CZ,NULL,295
Olson,45,CZ,NULL,207
Ostrander,46,CZ,NULL,332
Owl Creek,47,CZ,NULL,404
Pacific,48,CZ,NULL,362
Ponderosa,49,CZ,NULL,265
Powell,50,CZ,NULL,286
Redpath,51,CZ,NULL,251
Ridgecrest,52,CZ,NULL,22
Robbins,53,CZ,NULL,429
Rose Valley,54,CZ,NULL,213
Ryderwood,55,CZ,NULL,137
Sacajawea,56,CZ,NULL,613
Sandy Bend,57,CZ,NULL,295
Silver Lake,58,CZ,NULL,489
Sparks,59,CZ,NULL,184
St. Helens,60,CZ,NULL,163
Stella,61,CZ,NULL,278
Toutle,62,CZ,NULL,372
Tower,63,CZ,NULL,464
Tunstall,64,CZ,NULL,115
View,65,CZ,NULL,221
West Kelso,66,CZ,NULL,95
Willow Grove,67,CZ,NULL,95
Windemere,68,CZ,NULL,448
Woodage,69,CZ,NULL,196
Woodland North,70,CZ,NULL,357
Woodland South,71,CZ,NULL,321
Yale,72,CZ,NULL,213
