Row Label,PrecinctCode,County,Registered Voters,Katie Jungquist,Bradley Whaley
Total,-1,SK,NULL,26713,11293
ALDER,101,SK,NULL,159,78
ALGER,102,SK,NULL,202,72
ALLEN,103,SK,NULL,171,30
DUNBAR,104,SK,NULL,59,29
AVON,105,SK,NULL,296,91
SAUK,107,SK,NULL,280,132
BAY VIEW,108,SK,NULL,272,98
BELFAST,109,SK,NULL,191,41
BIG LAKE,110,SK,NULL,428,115
BIRDSVIEW,111,SK,NULL,301,125
BOW,113,SK,NULL,391,157
CASCADE,114,SK,NULL,49,38
CEDARDALE,115,SK,NULL,117,34
CLEAR LAKE,116,SK,NULL,300,112
COUNTRY CLUB,117,SK,NULL,151,35
CONWAY,118,SK,NULL,112,67
DEWEY,119,SK,NULL,526,214
DIGBY,120,SK,NULL,35,2
DODGE VALLEY,121,SK,NULL,131,54
EDISON,122,SK,NULL,191,75
FIR,124,SK,NULL,121,56
FRUITDALE,125,SK,NULL,136,50
GEAR,126,SK,NULL,359,93
GUEMES,127,SK,NULL,208,174
HAMBURG,128,SK,NULL,134,48
HARMONY,129,SK,NULL,213,63
LAKE SIXTEEN,130,SK,NULL,159,41
LOOKOUT,132,SK,NULL,335,168
MANSFORD,133,SK,NULL,39,24
MAPES,134,SK,NULL,116,36
MARCH POINT,135,SK,NULL,20,7
MCMURRAY WEST,136,SK,NULL,144,64
MCRAE,137,SK,NULL,443,165
MCMURRAY EAST,138,SK,NULL,66,30
MINKLER,139,SK,NULL,193,94
MONTBORNE,140,SK,NULL,406,127
NOOKACHAMPS,141,SK,NULL,175,65
SKYRIDGE,144,SK,NULL,313,80
PRAIRIE,145,SK,NULL,336,98
POINT WILLIAMS,146,SK,NULL,227,114
RIDGEWAY,147,SK,NULL,224,71
ROCKPORT,148,SK,NULL,194,155
SHELTER BAY,149,SK,NULL,355,147
SNEE OOSH,150,SK,NULL,226,123
STERLING,151,SK,NULL,94,28
SWINOMISH,153,SK,NULL,257,185
TINGLEY,154,SK,NULL,164,66
VAN FLEET,155,SK,NULL,270,83
VEDERE,156,SK,NULL,206,83
WHITNEY,157,SK,NULL,112,56
ROSARIO,158,SK,NULL,431,188
TERRACE,159,SK,NULL,543,132
STARBIRD,160,SK,NULL,307,62
FIDALGO,164,SK,NULL,391,149
GAGES,165,SK,NULL,77,25
SAMISH,166,SK,NULL,219,74
COLLINS,167,SK,NULL,196,51
BLANCHARD(*),168,SK,NULL,0,0
VIEW TERRACE(*),170,SK,NULL,0,0
LAKE CAVANAUGH,171,SK,NULL,101,32
LITTLE MOUNTAIN,172,SK,NULL,154,52
RIVERBEND,173,SK,NULL,14,5
PADILLA,174,SK,NULL,88,20
FREDONIA,176,SK,NULL,58,25
ANACORTES  1,201,SK,NULL,207,169
ANACORTES  4,204,SK,NULL,151,126
ANACORTES 5,205,SK,NULL,11,2
ANACORTES  6,206,SK,NULL,276,133
ANACORTES  7,207,SK,NULL,522,309
ANACORTES  9,209,SK,NULL,317,124
ANACORTES 11,211,SK,NULL,355,216
ANACORTES 17,217,SK,NULL,435,283
ANACORTES 20,220,SK,NULL,491,217
ANACORTES 21,221,SK,NULL,632,264
ANACORTES 22,222,SK,NULL,424,175
ANACORTES 24,224,SK,NULL,684,295
MOUNT VERNON  1,301,SK,NULL,104,58
MOUNT VERNON  2,302,SK,NULL,110,71
MOUNT VERNON  3,303,SK,NULL,224,141
MOUNT VERNON  4,304,SK,NULL,402,165
MOUNT VERNON  5,305,SK,NULL,83,29
MOUNT VERNON  6,306,SK,NULL,184,133
MOUNT VERNON  7,307,SK,NULL,282,142
MOUNT VERNON  8,308,SK,NULL,502,195
MOUNT VERNON  9,309,SK,NULL,154,64
MOUNT VERNON 10,310,SK,NULL,139,74
MOUNT VERNON 11,311,SK,NULL,283,94
MOUNT VERNON 12,312,SK,NULL,128,59
MOUNT VERNON 14,314,SK,NULL,338,175
MOUNT VERNON 15,315,SK,NULL,179,86
MOUNT VERNON 16,316,SK,NULL,404,155
MOUNT VERNON 19,319,SK,NULL,358,117
MOUNT VERNON 21,321,SK,NULL,468,194
MOUNT VERNON 22,322,SK,NULL,559,187
MOUNT VERNON 27,327,SK,NULL,101,28
MOUNT VERNON 30,330,SK,NULL,368,121
SEDRO WOOLLEY  1,401,SK,NULL,286,113
SEDRO WOOLLEY  2,402,SK,NULL,322,110
SEDRO WOOLLEY  3,403,SK,NULL,194,98
SEDRO WOOLLEY  4,404,SK,NULL,285,120
SEDRO WOOLLEY  5,405,SK,NULL,395,155
SEDRO WOOLLEY  6,406,SK,NULL,267,118
SEDRO WOOLLEY  7,407,SK,NULL,5,3
BURLINGTON 1,501,SK,NULL,108,75
BURLINGTON 2,502,SK,NULL,165,65
BURLINGTON 3,503,SK,NULL,50,45
BURLINGTON 4,504,SK,NULL,215,93
BURLINGTON 5,505,SK,NULL,289,122
BURLINGTON 6,506,SK,NULL,155,60
BURLINGTON 7,507,SK,NULL,172,69
CONCRETE,601,SK,NULL,114,56
HAMILTON,701,SK,NULL,39,13
LA CONNER,801,SK,NULL,233,167
LYMAN,855,SK,NULL,79,29
