Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,SN,NULL,98620,110798
BOTHELL 31,10141598,SN,NULL,118,265
BOTHELL 32,10141599,SN,NULL,111,126
BOTHELL 33,10141600,SN,NULL,147,163
BOTHELL 34,10141601,SN,NULL,117,257
BOTHELL 35,10141602,SN,NULL,118,166
BOTHELL 36,10141603,SN,NULL,120,167
BOTHELL 37,10141604,SN,NULL,188,215
BOTHELL 38,10141605,SN,NULL,121,191
BOTHELL 39,10141606,SN,NULL,108,146
BOTHELL 40,10141607,SN,NULL,151,235
BOTHELL 41,10141608,SN,NULL,169,217
BOTHELL 42,10141609,SN,NULL,169,259
BOTHELL 43,10141610,SN,NULL,106,154
BOTHELL 44,10141611,SN,NULL,117,133
BOTHELL 45,10141612,SN,NULL,74,99
BOTHELL 46,10141613,SN,NULL,137,162
BOTHELL 47,10141644,SN,NULL,143,226
ELWOOD,10144165,SN,NULL,114,180
RAINIER,10144171,SN,NULL,97,88
GRANNIS,10144266,SN,NULL,126,192
SUNSET,10144271,SN,NULL,156,275
VIEW,10144330,SN,NULL,162,185
WITHERS,10144338,SN,NULL,135,256
CAVALRY,10144370,SN,NULL,195,158
MAPLEWOOD,10144426,SN,NULL,127,197
PARKSHORE,10144479,SN,NULL,123,133
STAFFORD,10144484,SN,NULL,83,142
REDHAWK,10144552,SN,NULL,155,236
VALLEY,10144559,SN,NULL,56,42
GATEWAY,10144581,SN,NULL,168,183
SNOCADE,10144592,SN,NULL,187,258
TOTEM FALLS,10144594,SN,NULL,181,253
WOODSHIRE,10144597,SN,NULL,166,108
SILVER CREEK,10144635,SN,NULL,68,171
KENNARD,10144639,SN,NULL,104,146
GLENBAR,10144646,SN,NULL,104,154
OLDMARK,10144656,SN,NULL,189,244
KINGMAN,10144685,SN,NULL,173,307
CRYSTAL CREEK,10144691,SN,NULL,79,107
TAMBARK,10144715,SN,NULL,120,169
BEAR CREEK,10154009,SN,NULL,115,135
MALTBY,10154026,SN,NULL,182,150
CATHCART,10154032,SN,NULL,138,101
CLEARVIEW,10154062,SN,NULL,196,205
MINOR,10154170,SN,NULL,154,184
BEECHER,10154178,SN,NULL,207,174
WOODLAND,10154273,SN,NULL,91,81
CREEK,10154283,SN,NULL,170,189
PARADISE,10154310,SN,NULL,231,136
TURNER,10154329,SN,NULL,237,241
WELLINGTON,10154333,SN,NULL,159,297
WHEELER,10154334,SN,NULL,173,127
BATTERY,10154369,SN,NULL,132,104
ECHO LAKE,10154372,SN,NULL,225,187
LOST LAKE,10154375,SN,NULL,104,115
BOSTIAN,10154387,SN,NULL,113,116
REES,10154435,SN,NULL,66,68
KOKANEE,10154535,SN,NULL,77,106
POND,10154551,SN,NULL,145,154
WELCH,10154560,SN,NULL,254,167
FALLS,10154579,SN,NULL,26,16
SILER,10154657,SN,NULL,105,103
BOULDER,11014016,SN,NULL,263,178
BRYANT,11014021,SN,NULL,76,51
ARMSTRONG,11014027,SN,NULL,164,92
TRONSON,11014326,SN,NULL,121,105
HENNING,11014647,SN,NULL,241,191
NORTH FORK,11014759,SN,NULL,135,63
GRANITE FALLS 1,13911384,SN,NULL,193,141
GRANITE FALLS 2,13911385,SN,NULL,220,141
DARRINGTON,13911637,SN,NULL,218,110
GRANITE FALLS 3,13911670,SN,NULL,80,49
ARLINGTON 18,13911760,SN,NULL,0,0
NORDEN,13914011,SN,NULL,167,99
TRAFTON,13914015,SN,NULL,153,88
GREGORY,13914028,SN,NULL,156,100
HARTFORD,13914033,SN,NULL,106,65
HAZEL,13914034,SN,NULL,264,143
ROBE,13914035,SN,NULL,105,91
LOCHSLOY,13914042,SN,NULL,265,152
JIM CREEK,13914053,SN,NULL,256,171
OUTLOOK,13914057,SN,NULL,201,113
OSO,13914060,SN,NULL,144,72
NEWBERG,13914069,SN,NULL,147,118
SAUK,13914211,SN,NULL,97,41
BURN HILL,13914264,SN,NULL,204,139
SISCO,13914270,SN,NULL,225,151
PILCHUCK,13914275,SN,NULL,169,123
SLEEPY HOLLOW,13914321,SN,NULL,171,116
HEIGHTS,13914347,SN,NULL,199,113
LOOP,13914374,SN,NULL,198,109
GETCHELL,13914416,SN,NULL,167,110
PORTAGE,13914433,SN,NULL,106,44
SPADA,13914439,SN,NULL,4,4
MENZEL,13914470,SN,NULL,169,86
STILLAGUAMISH,13914496,SN,NULL,75,53
JORDAN TRAILS,13914515,SN,NULL,128,51
PILOT,13914517,SN,NULL,246,101
ARNOT,13914519,SN,NULL,181,83
BOSWORTH,13914521,SN,NULL,245,157
FIRTREE,13914529,SN,NULL,167,91
HUCKLEBERRY,13914533,SN,NULL,119,61
SANDMAN,13914555,SN,NULL,146,94
TRANGEN,13914557,SN,NULL,185,108
AIRPARK,13914573,SN,NULL,72,23
JORDAN BRIDGE,13914583,SN,NULL,46,43
MC FARLAND,13914681,SN,NULL,219,163
STAR CREEK,13914683,SN,NULL,117,80
INDEX,13951039,SN,NULL,29,41
MONROE  1,13951054,SN,NULL,203,198
MONROE  2,13951055,SN,NULL,195,145
SULTAN 1,13951070,SN,NULL,204,111
SULTAN 2,13951071,SN,NULL,166,118
MONROE  4,13951187,SN,NULL,200,159
MONROE  5,13951188,SN,NULL,235,178
SULTAN 3,13951322,SN,NULL,150,121
MONROE  3,13951431,SN,NULL,209,131
MONROE  6,13951506,SN,NULL,162,112
MONROE  7,13951548,SN,NULL,188,140
GOLD BAR 1,13951566,SN,NULL,138,122
GOLD BAR 2,13951567,SN,NULL,156,76
MONROE  8,13951568,SN,NULL,129,102
MONROE 10,13951586,SN,NULL,207,145
MONROE 11,13951587,SN,NULL,71,51
MONROE  9,13951653,SN,NULL,210,160
MONROE 12,13951654,SN,NULL,103,96
SULTAN 4,13951713,SN,NULL,139,88
PARK PLACE,13954003,SN,NULL,104,48
SULTAN RIVER,13954005,SN,NULL,206,120
TUALCO,13954007,SN,NULL,146,115
WALLACE,13954008,SN,NULL,153,76
LAKE,13954010,SN,NULL,256,154
SHORTS,13954013,SN,NULL,182,249
THREE LAKES,13954031,SN,NULL,181,100
ROOSEVELT,13954036,SN,NULL,99,83
SKYKOMISH,13954041,SN,NULL,53,59
OLNEY,13954043,SN,NULL,217,137
WINTER LAKE,13954058,SN,NULL,126,68
HIGHLAND,13954064,SN,NULL,140,113
TROMBLEY,13954272,SN,NULL,170,148
HIGH BRIDGE,13954292,SN,NULL,272,231
OWEN,13954309,SN,NULL,165,118
BLUFF,13954340,SN,NULL,200,133
CHAIN LAKE,13954371,SN,NULL,251,166
BROCKLIN,13954388,SN,NULL,207,131
HIGH ROCK,13954417,SN,NULL,198,102
MANN,13954425,SN,NULL,187,101
WAGNER,13954442,SN,NULL,210,165
WOODS CREEK,13954443,SN,NULL,188,95
FAIRVIEW,13954454,SN,NULL,141,130
MAY CREEK,13954469,SN,NULL,191,140
MILL,13954471,SN,NULL,233,127
STORM LAKE,13954487,SN,NULL,261,189
PIPELINE,13954507,SN,NULL,187,122
FERN,13954526,SN,NULL,70,44
IVERSON,13954534,SN,NULL,100,110
LUPINE,13954537,SN,NULL,169,109
ROBINHOOD,13954553,SN,NULL,164,93
SOFIE,13954710,SN,NULL,101,84
WEST FORK,13954750,SN,NULL,81,23
PILCHUCK RIVER,13954753,SN,NULL,13,9
RICHLAND,13954754,SN,NULL,64,48
SUNNYSIDE,14414044,SN,NULL,71,36
RAILROAD,14414318,SN,NULL,139,83
