Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,GY,NULL,4294,10899
Taholah 002,2,GY,NULL,47,116
Quinault 004,4,GY,NULL,29,95
Neilton 006,6,GY,NULL,13,45
Pacific Beach 008,8,GY,NULL,53,105
Moclips 010,10,GY,NULL,6,12
Ocean City 012,12,GY,NULL,62,154
Burrows 014,14,GY,NULL,3,8
Wilderness 016,16,GY,NULL,27,59
Humptulips 018,18,GY,NULL,6,32
Axford 020,20,GY,NULL,16,90
Dekay 022,22,GY,NULL,16,40
Hoquiam Rural 024,24,GY,NULL,50,190
Stover 026,26,GY,NULL,13,32
North Wishkah 028(*),28,GY,NULL,0,0
Wishkah 030,30,GY,NULL,46,155
Cutoff032,32,GY,NULL,19,50
Coats Landing 034,34,GY,NULL,53,148
Geissler 036,36,GY,NULL,9,27
Aberdeen Lake 038(*),38,GY,NULL,0,0
Reynvaan 040,40,GY,NULL,30,66
Wynoochee 042(*),42,GY,NULL,0,0
Boundary 044,44,GY,NULL,11,30
Black Creek 046,46,GY,NULL,119,250
Brady 048,48,GY,NULL,87,239
Riviera 050,50,GY,NULL,11,22
Satsop 052,52,GY,NULL,28,110
Calder 056,56,GY,NULL,38,155
Bush 058,58,GY,NULL,108,319
McCleary Rural 060,60,GY,NULL,88,210
Porter 062,62,GY,NULL,43,106
Cedar Creek 064,64,GY,NULL,27,60
Chehalis 066(*),66,GY,NULL,0,0
Blockhouse 068,68,GY,NULL,64,168
Delezenne 070,70,GY,NULL,70,195
Melbourne 072,72,GY,NULL,77,167
Devonshire 074,74,GY,NULL,46,154
Vesta 076,76,GY,NULL,12,36
Artic 078,78,GY,NULL,9,41
Central Park 080,80,GY,NULL,120,310
Lois Lane 082,82,GY,NULL,24,68
Blue Slough 084,84,GY,NULL,42,109
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,22,26
Newskah 090,90,GY,NULL,4,7
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,64,153
Grayland 096,96,GY,NULL,57,177
Cohasset 098,98,GY,NULL,44,101
Aberdeen 111,111,GY,NULL,138,304
Aberdeen 121,121,GY,NULL,126,285
Aberdeen 131,131,GY,NULL,156,369
Aberdeen 132,132,GY,NULL,0,0
Aberdeen 141,141,GY,NULL,103,286
Aberdeen 142,142,GY,NULL,91,218
Aberdeen 151,151,GY,NULL,66,185
Aberdeen 161,161,GY,NULL,135,281
Cosmopolis 201,201,GY,NULL,122,297
Elma 301,301,GY,NULL,38,139
Elma 302,302,GY,NULL,90,270
Hoquiam 411,411,GY,NULL,81,189
Hoquiam 421,421,GY,NULL,60,182
Hoquiam 431,431,GY,NULL,106,178
Hoquiam 441,441,GY,NULL,73,210
Hoquiam 451,451,GY,NULL,79,162
Hoquiam 461,461,GY,NULL,71,161
McCleary 501,501,GY,NULL,105,201
Montesano 601,601,GY,NULL,137,357
Montesano 602,602,GY,NULL,136,378
Montesano 603,603,GY,NULL,0,0
Oakville 701,701,GY,NULL,25,96
Ocean Shores 801,801,GY,NULL,162,322
Ocean Shores 802,802,GY,NULL,191,476
Ocean Shores 803,803,GY,NULL,164,393
Westport 901,901,GY,NULL,119,316
