Row Label,PrecinctCode,County,Registered Voters,John Lovick,Carolyn Eslick
Total,-1,SN,NULL,111837,89095
BOTHELL 31,10141598,SN,NULL,215,139
BOTHELL 32,10141599,SN,NULL,123,94
BOTHELL 33,10141600,SN,NULL,158,125
BOTHELL 34,10141601,SN,NULL,214,143
BOTHELL 35,10141602,SN,NULL,149,119
BOTHELL 36,10141603,SN,NULL,143,128
BOTHELL 37,10141604,SN,NULL,201,185
BOTHELL 38,10141605,SN,NULL,176,116
BOTHELL 39,10141606,SN,NULL,130,110
BOTHELL 40,10141607,SN,NULL,219,142
BOTHELL 41,10141608,SN,NULL,209,140
BOTHELL 42,10141609,SN,NULL,234,154
BOTHELL 43,10141610,SN,NULL,131,113
BOTHELL 44,10141611,SN,NULL,145,92
BOTHELL 45,10141612,SN,NULL,84,79
BOTHELL 46,10141613,SN,NULL,153,141
BOTHELL 47,10141644,SN,NULL,188,146
ELWOOD,10144165,SN,NULL,165,121
RAINIER,10144171,SN,NULL,74,101
GRANNIS,10144266,SN,NULL,173,121
SUNSET,10144271,SN,NULL,231,171
VIEW,10144330,SN,NULL,186,155
WITHERS,10144338,SN,NULL,228,144
CAVALRY,10144370,SN,NULL,154,182
MAPLEWOOD,10144426,SN,NULL,157,141
PARKSHORE,10144479,SN,NULL,133,108
STAFFORD,10144484,SN,NULL,104,96
REDHAWK,10144552,SN,NULL,200,164
VALLEY,10144559,SN,NULL,44,52
GATEWAY,10144581,SN,NULL,179,157
SNOCADE,10144592,SN,NULL,239,192
TOTEM FALLS,10144594,SN,NULL,232,191
WOODSHIRE,10144597,SN,NULL,122,143
SILVER CREEK,10144635,SN,NULL,156,67
KENNARD,10144639,SN,NULL,140,92
GLENBAR,10144646,SN,NULL,146,88
OLDMARK,10144656,SN,NULL,215,195
KINGMAN,10144685,SN,NULL,269,187
CRYSTAL CREEK,10144691,SN,NULL,114,62
TAMBARK,10144715,SN,NULL,168,106
BEAR CREEK,10154009,SN,NULL,143,103
MALTBY,10154026,SN,NULL,155,156
CATHCART,10154032,SN,NULL,105,124
CLEARVIEW,10154062,SN,NULL,192,194
MINOR,10154170,SN,NULL,188,130
BEECHER,10154178,SN,NULL,190,166
WOODLAND,10154273,SN,NULL,87,74
CREEK,10154283,SN,NULL,179,171
PARADISE,10154310,SN,NULL,152,197
TURNER,10154329,SN,NULL,201,257
WELLINGTON,10154333,SN,NULL,237,184
WHEELER,10154334,SN,NULL,132,157
BATTERY,10154369,SN,NULL,122,98
ECHO LAKE,10154372,SN,NULL,184,202
LOST LAKE,10154375,SN,NULL,126,86
BOSTIAN,10154387,SN,NULL,122,97
REES,10154435,SN,NULL,60,71
KOKANEE,10154535,SN,NULL,101,80
POND,10154551,SN,NULL,158,123
WELCH,10154560,SN,NULL,171,223
FALLS,10154579,SN,NULL,24,18
SILER,10154657,SN,NULL,99,90
BOULDER,11014016,SN,NULL,201,212
BRYANT,11014021,SN,NULL,63,61
ARMSTRONG,11014027,SN,NULL,98,147
TRONSON,11014326,SN,NULL,103,104
HENNING,11014647,SN,NULL,191,227
NORTH FORK,11014759,SN,NULL,75,107
GRANITE FALLS 1,13911384,SN,NULL,154,153
GRANITE FALLS 2,13911385,SN,NULL,162,178
DARRINGTON,13911637,SN,NULL,152,164
GRANITE FALLS 3,13911670,SN,NULL,63,58
ARLINGTON 18,13911760,SN,NULL,0,0
NORDEN,13914011,SN,NULL,116,137
TRAFTON,13914015,SN,NULL,96,136
GREGORY,13914028,SN,NULL,116,124
HARTFORD,13914033,SN,NULL,82,81
HAZEL,13914034,SN,NULL,189,200
ROBE,13914035,SN,NULL,100,89
LOCHSLOY,13914042,SN,NULL,149,246
JIM CREEK,13914053,SN,NULL,185,219
OUTLOOK,13914057,SN,NULL,147,142
OSO,13914060,SN,NULL,95,115
NEWBERG,13914069,SN,NULL,122,130
SAUK,13914211,SN,NULL,57,73
BURN HILL,13914264,SN,NULL,161,175
SISCO,13914270,SN,NULL,162,191
PILCHUCK,13914275,SN,NULL,148,129
SLEEPY HOLLOW,13914321,SN,NULL,134,141
HEIGHTS,13914347,SN,NULL,130,173
LOOP,13914374,SN,NULL,157,140
GETCHELL,13914416,SN,NULL,131,133
PORTAGE,13914433,SN,NULL,50,94
SPADA,13914439,SN,NULL,3,4
MENZEL,13914470,SN,NULL,136,103
STILLAGUAMISH,13914496,SN,NULL,62,58
JORDAN TRAILS,13914515,SN,NULL,72,95
PILOT,13914517,SN,NULL,117,207
ARNOT,13914519,SN,NULL,107,143
BOSWORTH,13914521,SN,NULL,186,198
FIRTREE,13914529,SN,NULL,105,139
HUCKLEBERRY,13914533,SN,NULL,82,89
SANDMAN,13914555,SN,NULL,102,126
TRANGEN,13914557,SN,NULL,133,145
AIRPARK,13914573,SN,NULL,20,65
JORDAN BRIDGE,13914583,SN,NULL,45,37
MC FARLAND,13914681,SN,NULL,160,211
STAR CREEK,13914683,SN,NULL,83,106
INDEX,13951039,SN,NULL,44,22
MONROE  1,13951054,SN,NULL,196,191
MONROE  2,13951055,SN,NULL,160,166
SULTAN 1,13951070,SN,NULL,149,165
SULTAN 2,13951071,SN,NULL,128,159
MONROE  4,13951187,SN,NULL,184,163
MONROE  5,13951188,SN,NULL,192,200
SULTAN 3,13951322,SN,NULL,115,146
MONROE  3,13951431,SN,NULL,142,175
MONROE  6,13951506,SN,NULL,135,130
MONROE  7,13951548,SN,NULL,125,177
