Row Label,PrecinctCode,County,Registered Voters,Ed Orcutt,John Morgan
Total,-1,CZ,NULL,7360,2730
Brynion,8,CZ,NULL,220,101
Caples,10,CZ,NULL,155,46
Carrolls,11,CZ,NULL,332,106
Castle Rock,12,CZ,NULL,371,146
Chinook,13,CZ,NULL,364,143
Cloverdale,14,CZ,NULL,284,64
Harris,22,CZ,NULL,267,119
Kalama North,27,CZ,NULL,262,69
Kalama South,28,CZ,NULL,323,115
Lewis River,32,CZ,NULL,455,192
Modrow,41,CZ,NULL,299,89
Ostrander,46,CZ,NULL,327,130
Owl Creek,47,CZ,NULL,405,167
Powell,50,CZ,NULL,310,91
Rose Valley,54,CZ,NULL,235,76
Silver Lake,58,CZ,NULL,506,196
Toutle,62,CZ,NULL,368,149
Tower,63,CZ,NULL,410,195
Tunstall,64,CZ,NULL,143,37
Woodage,69,CZ,NULL,255,92
Woodland North,70,CZ,NULL,463,153
Woodland South,71,CZ,NULL,357,152
Yale,72,CZ,NULL,249,102
