Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,SM,NULL,1902,2153
BEAR PRAIRIE,100,SM,NULL,57,105
MT. PLEASANT,101,SM,NULL,77,98
SKYE,102,SM,NULL,88,106
UPPER WASHOUGAL,103,SM,NULL,74,127
LEWIS RIVER,104,SM,NULL,9,9
CAPE HORN,105,SM,NULL,96,129
SKAMANIA,106,SM,NULL,112,158
CASCADES,201,SM,NULL,4,5
NORTH BONNEVILLE,202,SM,NULL,180,152
ROCK CREEK,203,SM,NULL,68,79
MAPLE VIEW,204,SM,NULL,163,111
NORTH STEVENSON,205,SM,NULL,125,65
SOUTH STEVENSON,206,SM,NULL,36,22
NELSON CREEK,207,SM,NULL,50,54
CARSON CREEK,208,SM,NULL,102,135
STABLER,300,SM,NULL,104,192
WIND RIVER,303,SM,NULL,92,111
HOT SPRINGS NORTH,304,SM,NULL,38,61
HOT SPRINGS SOUTH,305,SM,NULL,75,83
WIND MOUNTAIN,307,SM,NULL,56,72
CHENOWITH,309,SM,NULL,62,95
UNDERWOOD NORTH,310,SM,NULL,121,106
UNDERWOOD SOUTH,311,SM,NULL,113,78
