Row Label,PrecinctCode,County,Registered Voters,Dave Reichert,Jason Ritchie
Total,-1,KI,NULL,8365,4156
Total,-1,KI,NULL,8365,4156
CLE ELUM 1,1,KS,NULL,123,61
CLE ELUM 2,2,KS,NULL,84,27
CLE ELUM 3,3,KS,NULL,38,30
CLE ELUM 4,4,KS,NULL,173,85
DENMARK,5,KS,NULL,371,100
EAST SANDERS,6,KS,NULL,261,84
EASTON,7,KS,NULL,260,93
ELLENSBURG 1,8,KS,NULL,26,25
ELLENSBURG 2,9,KS,NULL,23,59
ELLENSBURG 4,11,KS,NULL,21,32
ELLENSBURG 5,12,KS,NULL,38,58
ELLENSBURG 6,13,KS,NULL,32,35
ELLENSBURG 7,14,KS,NULL,31,24
ELLENSBURG 8,15,KS,NULL,46,42
ELLENSBURG 9,16,KS,NULL,46,49
ELLENSBURG 10,17,KS,NULL,74,77
ELLENSBURG 11,18,KS,NULL,71,72
ELLENSBURG 12,19,KS,NULL,51,90
ELLENSBURG 13,20,KS,NULL,52,57
ELLENSBURG 14,21,KS,NULL,80,57
ELLENSBURG 15,22,KS,NULL,109,66
ELLENSBURG 16,23,KS,NULL,145,101
ELLENSBURG 17,24,KS,NULL,115,105
ELLENSBURG 18,25,KS,NULL,18,19
ELLENSBURG 19,26,KS,NULL,149,165
ELLENSBURG 20,27,KS,NULL,39,46
ELLENSBURG 21,28,KS,NULL,70,62
ELLENSBURG 22,29,KS,NULL,118,60
ELLENSBURG 23,30,KS,NULL,123,99
ELLENSBURG 24,31,KS,NULL,259,131
HYAK,32,KS,NULL,71,31
KITTITAS 1,33,KS,NULL,100,37
MANASTASH,34,KS,NULL,202,85
MOUNTAIN,35,KS,NULL,96,52
NORTH CENTRAL,36,KS,NULL,210,77
NORTH ELLENSBURG,37,KS,NULL,335,116
PARK,38,KS,NULL,293,60
PEOH POINT,39,KS,NULL,243,81
RIDGEWAY,40,KS,NULL,367,156
ROSLYN 1,41,KS,NULL,86,97
ROSLYN 2,42,KS,NULL,73,78
DRY CREEK,43,KS,NULL,299,104
WESTSIDE,44,KS,NULL,295,132
ROSLYN OUTLYING,45,KS,NULL,46,10
SANDERS,46,KS,NULL,106,43
SOUTH CLE ELUM,47,KS,NULL,132,46
SOUTH ELLENSBURG,48,KS,NULL,295,147
SWAUK,50,KS,NULL,170,39
TEANAWAY,51,KS,NULL,231,89
THORP,52,KS,NULL,218,96
VANTAGE,53,KS,NULL,24,2
FAIRVIEW,54,KS,NULL,168,52
NORTHEAST FAIRVIEW,55,KS,NULL,253,91
THRALL,56,KS,NULL,234,78
DAMMAN,58,KS,NULL,251,94
KACHESS,59,KS,NULL,76,32
KITTITAS 2,60,KS,NULL,110,44
ELLENSBURG 25,61,KS,NULL,234,123
RONALD,62,KS,NULL,101,53
