Row Label,PrecinctCode,County,Registered Voters,Katie Svoboda,Mike Spencer
Total,-1,GY,NULL,9327,8385
Taholah 002,2,GY,NULL,135,38
Quinault 004,4,GY,NULL,54,83
Neilton 006,6,GY,NULL,32,38
Pacific Beach 008,8,GY,NULL,99,68
Moclips 010,10,GY,NULL,13,7
Ocean City 012,12,GY,NULL,128,101
Burrows 014,14,GY,NULL,17,15
Wilderness 016,16,GY,NULL,48,45
Humptulips 018,18,GY,NULL,14,34
Axford 020,20,GY,NULL,56,59
Dekay 022,22,GY,NULL,38,35
Hoquiam Rural 024,24,GY,NULL,164,121
Stover 026,26,GY,NULL,34,26
North Wishkah 028(*),28,GY,NULL,0,0
Wishkah 030,30,GY,NULL,121,131
Cutoff032,32,GY,NULL,43,41
Coats Landing 034,34,GY,NULL,131,104
Geissler 036,36,GY,NULL,27,17
Aberdeen Lake 038(*),38,GY,NULL,0,0
Reynvaan 040,40,GY,NULL,59,50
Wynoochee 042,42,GY,NULL,3,3
Boundary 044,44,GY,NULL,19,23
Black Creek 046,46,GY,NULL,232,215
Brady 048,48,GY,NULL,236,200
Riviera 050,50,GY,NULL,18,21
Satsop 052,52,GY,NULL,82,67
Calder 056,56,GY,NULL,105,126
Bush 058,58,GY,NULL,202,270
McCleary Rural 060,60,GY,NULL,167,162
Porter 062,62,GY,NULL,67,101
Cedar Creek 064,64,GY,NULL,39,48
Chehalis 066,66,GY,NULL,3,2
Blockhouse 068,68,GY,NULL,107,120
Delezenne 070,70,GY,NULL,145,161
Melbourne 072,72,GY,NULL,148,138
Devonshire 074,74,GY,NULL,120,126
Vesta 076,76,GY,NULL,32,33
Artic 078,78,GY,NULL,26,27
Central Park 080,80,GY,NULL,283,275
Lois Lane 082,82,GY,NULL,44,66
Blue Slough 084,84,GY,NULL,99,79
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,26,38
Newskah 090,90,GY,NULL,11,5
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,123,132
Grayland 096,96,GY,NULL,127,111
Cohasset 098,98,GY,NULL,75,80
Aberdeen 111,111,GY,NULL,242,263
Aberdeen 121,121,GY,NULL,251,212
Aberdeen 131,131,GY,NULL,316,309
Aberdeen 132,132,GY,NULL,0,0
Aberdeen 141,141,GY,NULL,224,315
Aberdeen 142,142,GY,NULL,225,175
Aberdeen 151,151,GY,NULL,152,138
Aberdeen 161,161,GY,NULL,257,227
Cosmopolis 201,201,GY,NULL,258,263
Elma 301,301,GY,NULL,93,103
Elma 302,302,GY,NULL,218,199
Hoquiam 411,411,GY,NULL,182,155
Hoquiam 421,421,GY,NULL,158,121
Hoquiam 431,431,GY,NULL,232,118
Hoquiam 441,441,GY,NULL,222,141
Hoquiam 451,451,GY,NULL,183,110
Hoquiam 461,461,GY,NULL,150,115
McCleary 501,501,GY,NULL,163,180
Montesano 601,601,GY,NULL,384,298
Montesano 602,602,GY,NULL,355,278
Montesano 603,603,GY,NULL,0,0
Oakville 701,701,GY,NULL,50,70
Ocean Shores 801,801,GY,NULL,305,192
Ocean Shores 802,802,GY,NULL,361,310
Ocean Shores 803,803,GY,NULL,318,254
Westport 901,901,GY,NULL,274,192
