Row Label,PrecinctCode,County,Registered Voters,Tristen Worthen,Laurie Miller
Total,-1,DG,NULL,5133,3941
PRECINCT 101,101,DG,NULL,139,71
PRECINCT 102,102,DG,NULL,221,149
PRECINCT 103,103,DG,NULL,49,31
PRECINCT 104,104,DG,NULL,310,143
PRECINCT 105,105,DG,NULL,59,68
PRECINCT 106,106,DG,NULL,72,88
PRECINCT 107,107,DG,NULL,93,65
PRECINCT 108,108,DG,NULL,71,101
PRECINCT 109,109,DG,NULL,70,53
PRECINCT 110,110,DG,NULL,136,103
PRECINCT 111,111,DG,NULL,173,168
PRECINCT 112,112,DG,NULL,92,103
PRECINCT 113,113,DG,NULL,91,83
PRECINCT 114,114,DG,NULL,95,66
PRECINCT 201,201,DG,NULL,109,88
PRECINCT 202,202,DG,NULL,53,47
PRECINCT 203,203,DG,NULL,112,144
PRECINCT 204,204,DG,NULL,135,150
PRECINCT 205,205,DG,NULL,291,144
PRECINCT 206,206,DG,NULL,67,95
PRECINCT 207,207,DG,NULL,168,145
PRECINCT 208,208,DG,NULL,89,65
PRECINCT 209,209,DG,NULL,164,125
PRECINCT 210,210,DG,NULL,55,47
PRECINCT 211,211,DG,NULL,65,23
PRECINCT 212,212,DG,NULL,97,93
PRECINCT 213,213,DG,NULL,149,55
PRECINCT 214,214,DG,NULL,37,35
PRECINCT 215,215,DG,NULL,136,113
PRECINCT 301,301,DG,NULL,198,170
PRECINCT 302,302,DG,NULL,194,118
PRECINCT 303,303,DG,NULL,126,72
PRECINCT 304,304,DG,NULL,36,20
PRECINCT 305,305,DG,NULL,89,51
PRECINCT 306,306,DG,NULL,68,77
PRECINCT 307,307,DG,NULL,25,22
PRECINCT 308,308,DG,NULL,44,9
PRECINCT 309,309,DG,NULL,52,29
PRECINCT 310,310,DG,NULL,64,46
PRECINCT 311,311,DG,NULL,94,52
PRECINCT 312,312,DG,NULL,94,79
PRECINCT 313,313,DG,NULL,44,11
PRECINCT 314,314,DG,NULL,26,17
PRECINCT 315,315,DG,NULL,205,133
PRECINCT 316,316,DG,NULL,130,142
PRECINCT 317,317,DG,NULL,195,195
PRECINCT 318,318,DG,NULL,51,37
