Row Label,PrecinctCode,County,Registered Voters,Steve Clough
Total,-1,SN,NULL,31275
RAINIER,10144171,SN,NULL,112
VIEW,10144330,SN,NULL,233
WITHERS,10144338,SN,NULL,246
CAVALRY,10144370,SN,NULL,204
VALLEY,10144559,SN,NULL,57
GATEWAY,10144581,SN,NULL,237
SNOCADE,10144592,SN,NULL,279
TOTEM FALLS,10144594,SN,NULL,294
WOODSHIRE,10144597,SN,NULL,172
KINGMAN,10144685,SN,NULL,314
BEAR CREEK,10154009,SN,NULL,148
MALTBY,10154026,SN,NULL,219
CATHCART,10154032,SN,NULL,147
CLEARVIEW,10154062,SN,NULL,235
MINOR,10154170,SN,NULL,211
BEECHER,10154178,SN,NULL,216
CREEK,10154283,SN,NULL,243
PARADISE,10154310,SN,NULL,203
TURNER,10154329,SN,NULL,288
WELLINGTON,10154333,SN,NULL,271
WHEELER,10154334,SN,NULL,179
BATTERY,10154369,SN,NULL,152
ECHO LAKE,10154372,SN,NULL,240
LOST LAKE,10154375,SN,NULL,142
BOSTIAN,10154387,SN,NULL,157
REES,10154435,SN,NULL,82
KOKANEE,10154535,SN,NULL,111
POND,10154551,SN,NULL,175
WELCH,10154560,SN,NULL,238
FALLS,10154579,SN,NULL,26
SILER,10154657,SN,NULL,121
HARTFORD,13914033,SN,NULL,102
NEWBERG,13914069,SN,NULL,177
PILCHUCK,13914275,SN,NULL,172
SPADA,13914439,SN,NULL,5
MENZEL,13914470,SN,NULL,162
INDEX,13951039,SN,NULL,42
MONROE  1,13951054,SN,NULL,272
MONROE  2,13951055,SN,NULL,237
SULTAN 1,13951070,SN,NULL,237
SULTAN 2,13951071,SN,NULL,225
MONROE  4,13951187,SN,NULL,253
MONROE  5,13951188,SN,NULL,285
SULTAN 3,13951322,SN,NULL,190
MONROE  3,13951431,SN,NULL,243
MONROE  6,13951506,SN,NULL,210
MONROE  7,13951548,SN,NULL,204
GOLD BAR 1,13951566,SN,NULL,166
GOLD BAR 2,13951567,SN,NULL,161
MONROE  8,13951568,SN,NULL,140
MONROE 10,13951586,SN,NULL,226
MONROE 11,13951587,SN,NULL,80
MONROE  9,13951653,SN,NULL,237
MONROE 12,13951654,SN,NULL,134
SULTAN 4,13951713,SN,NULL,166
PARK PLACE,13954003,SN,NULL,82
SULTAN RIVER,13954005,SN,NULL,216
TUALCO,13954007,SN,NULL,145
WALLACE,13954008,SN,NULL,157
LAKE,13954010,SN,NULL,242
SHORTS,13954013,SN,NULL,260
THREE LAKES,13954031,SN,NULL,170
ROOSEVELT,13954036,SN,NULL,116
SKYKOMISH,13954041,SN,NULL,56
OLNEY,13954043,SN,NULL,244
WINTER LAKE,13954058,SN,NULL,121
HIGHLAND,13954064,SN,NULL,193
TROMBLEY,13954272,SN,NULL,227
HIGH BRIDGE,13954292,SN,NULL,302
OWEN,13954309,SN,NULL,174
BLUFF,13954340,SN,NULL,245
CHAIN LAKE,13954371,SN,NULL,268
BROCKLIN,13954388,SN,NULL,222
HIGH ROCK,13954417,SN,NULL,201
MANN,13954425,SN,NULL,197
WAGNER,13954442,SN,NULL,253
WOODS CREEK,13954443,SN,NULL,179
FAIRVIEW,13954454,SN,NULL,170
MAY CREEK,13954469,SN,NULL,239
MILL,13954471,SN,NULL,223
STORM LAKE,13954487,SN,NULL,264
PIPELINE,13954507,SN,NULL,195
FERN,13954526,SN,NULL,80
IVERSON,13954534,SN,NULL,124
LUPINE,13954537,SN,NULL,185
ROBINHOOD,13954553,SN,NULL,172
SOFIE,13954710,SN,NULL,134
WEST FORK,13954750,SN,NULL,69
PILCHUCK RIVER,13954753,SN,NULL,20
RICHLAND,13954754,SN,NULL,81
LARIMER,14444298,SN,NULL,191
MERWIN,14444547,SN,NULL,132
CREEKSIDE,14444575,SN,NULL,165
TUCKER,14444595,SN,NULL,207
THOMAS CREEK,14444659,SN,NULL,194
SNOHOMISH  1,14451014,SN,NULL,224
SNOHOMISH  3,14451038,SN,NULL,179
SNOHOMISH  5,14451056,SN,NULL,276
LAKE STEVENS  1,14451134,SN,NULL,288
LAKE STEVENS  2,14451135,SN,NULL,215
SNOHOMISH  7,14451144,SN,NULL,232
SNOHOMISH  8,14451145,SN,NULL,297
LAKE STEVENS  3,14451349,SN,NULL,277
LAKE STEVENS  4,14451418,SN,NULL,170
SNOHOMISH  2,14451436,SN,NULL,147
SNOHOMISH  4,14451437,SN,NULL,203
SNOHOMISH  6,14451438,SN,NULL,155
LAKE STEVENS  6,14451503,SN,NULL,207
SNOHOMISH  9,14451508,SN,NULL,139
LAKE STEVENS  7,14451536,SN,NULL,244
LAKE STEVENS  5,14451625,SN,NULL,187
LAKE STEVENS  8,14451649,SN,NULL,222
LAKE STEVENS  9,14451663,SN,NULL,163
LAKE STEVENS 10,14451664,SN,NULL,207
LAKE STEVENS 11,14451671,SN,NULL,139
LAKE STEVENS 12,14451672,SN,NULL,163
LAKE STEVENS 13,14451673,SN,NULL,209
LAKE STEVENS 14,14451674,SN,NULL,196
LAKE STEVENS 15,14451675,SN,NULL,267
SNOHOMISH 10,14451709,SN,NULL,98
LAKE STEVENS 16,14451716,SN,NULL,146
LAKE STEVENS 17,14451717,SN,NULL,215
LAKE STEVENS 18,14451718,SN,NULL,193
LAKE STEVENS 19,14451719,SN,NULL,237
LAKE STEVENS 20,14451720,SN,NULL,226
LAKE STEVENS 21,14451721,SN,NULL,270
LAKE STEVENS 22,14451722,SN,NULL,182
LAKE STEVENS 23,14451723,SN,NULL,150
LAKE STEVENS 24,14451724,SN,NULL,160
LAKE STEVENS 25,14451725,SN,NULL,54
LAKE STEVENS 26,14451726,SN,NULL,116
LAKE STEVENS 27,14451727,SN,NULL,109
LAKE STEVENS 28,14451757,SN,NULL,212
MARSH,14454012,SN,NULL,268
SOUTH SNOHOMISH,14454017,SN,NULL,156
LUDWIG,14454024,SN,NULL,195
SEXTON,14454029,SN,NULL,259
MACHIAS,14454045,SN,NULL,309
MARION,14454046,SN,NULL,191
RIVERVIEW,14454052,SN,NULL,218
SOUTH LAKE STEVENS,14454059,SN,NULL,223
FIR,14454066,SN,NULL,210
GLENWOOD,14454067,SN,NULL,152
TRAIL,14454072,SN,NULL,108
HAINES,14454291,SN,NULL,213
MEADOW,14454300,SN,NULL,172
PEAK,14454311,SN,NULL,12
PENNANT,14454312,SN,NULL,262
PETERSON,14454313,SN,NULL,269
WINDSONG,14454336,SN,NULL,184
DUBUQUE,14454345,SN,NULL,188
POINTE,14454358,SN,NULL,32
VALMONT,14454366,SN,NULL,106
MARKS,14454464,SN,NULL,204
OSBORN,14454477,SN,NULL,184
PANTHER CREEK,14454478,SN,NULL,214
RIDGEWAY,14454482,SN,NULL,134
STITCH,14454485,SN,NULL,66
CENTENNIAL,14454490,SN,NULL,294
FIRCREST,14454493,SN,NULL,151
GREENWOOD,14454530,SN,NULL,237
HILLSIDE,14454532,SN,NULL,85
OHLDE,14454549,SN,NULL,213
FOUR CORNERS,14454580,SN,NULL,211
MORNING RISE,14454588,SN,NULL,194
PELLERIN,14454634,SN,NULL,209
KENSINGTON,14454648,SN,NULL,108
OVERLOOK,14454706,SN,NULL,274
GLEN ACRES,24454698,SN,NULL,3
