Row Label,PrecinctCode,County,Registered Voters,Nathan Schlicher,Jesse Young
Total,-1,KP,NULL,10773,12130
BREMERTON 001,100001,KP,NULL,157,89
BREMERTON 002,100002,KP,NULL,119,82
BREMERTON 003,100003,KP,NULL,233,173
BREMERTON 005,100005,KP,NULL,180,102
BREMERTON 006,100006,KP,NULL,171,95
BREMERTON 015,100015,KP,NULL,244,210
BREMERTON 016,100016,KP,NULL,69,37
BREMERTON 022,100022,KP,NULL,188,133
BREMERTON 051,100051,KP,NULL,20,25
MARION 090,100090,KP,NULL,46,37
NAVY YARD CITY 095,100095,KP,NULL,228,208
PORT ORCHARD 200,100200,KP,NULL,113,120
PORT ORCHARD 201,100201,KP,NULL,228,198
PORT ORCHARD 202,100202,KP,NULL,245,291
PORT ORCHARD 203,100203,KP,NULL,116,130
PORT ORCHARD 204,100204,KP,NULL,215,202
PORT ORCHARD 205,100205,KP,NULL,425,576
PORT ORCHARD 207,100207,KP,NULL,199,242
PORT ORCHARD 210,100210,KP,NULL,136,182
CEDAR 211,100211,KP,NULL,212,239
ANNAPOLIS 212,100212,KP,NULL,314,336
BRASCH 213,100213,KP,NULL,204,310
SPRING CREEK 217,100217,KP,NULL,158,216
BURLEY 218,100218,KP,NULL,251,312
ALASKA 221,100221,KP,NULL,326,301
WOODRIDGE 222,100222,KP,NULL,104,191
NEBRASKA 223,100223,KP,NULL,195,263
WHISPERING PINES 227,100227,KP,NULL,190,332
GLENWOOD 232,100232,KP,NULL,214,432
HARPER 240,100240,KP,NULL,268,201
YUKON 241,100241,KP,NULL,191,205
WILSON CREEK 242,100242,KP,NULL,210,244
LONG LAKE 245,100245,KP,NULL,154,202
LOCKER 246,100246,KP,NULL,290,374
EBBERT 247,100247,KP,NULL,232,310
LUNDBERG 250,100250,KP,NULL,235,264
CONVERSE 252,100252,KP,NULL,194,241
MANCHESTER 255,100255,KP,NULL,220,201
EVERGREEN 257,100257,KP,NULL,328,371
WILLOCK 258,100258,KP,NULL,184,263
FRAGARIA 259,100259,KP,NULL,223,259
MULLENIX 260,100260,KP,NULL,243,331
BANDIX 263,100263,KP,NULL,225,368
OLALLA 265,100265,KP,NULL,186,223
CRESCENT VALLEY 266,100266,KP,NULL,245,287
OVERLOOK 267,100267,KP,NULL,251,154
MADRONA 269,100269,KP,NULL,179,177
PARKWOOD 270,100270,KP,NULL,284,275
CONIFER 271,100271,KP,NULL,125,142
SEDGWICK 272,100272,KP,NULL,236,313
SHERMAN HEIGHTS 278,100278,KP,NULL,10,7
BERRY LAKE 279,100279,KP,NULL,142,188
LIGHTHOUSE POINT 292,100292,KP,NULL,256,288
WATERMAN 295,100295,KP,NULL,162,178
BREMERTON 296,100296,KP,NULL,0,0
