Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,KT,NULL,5101
ALDER CREEK,1,KT,NULL,103
CENTERVILLE,2,KT,NULL,189
COLUMBUS,3,KT,NULL,29
E KLICKITAT,4,KT,NULL,74
F VALLEY,5,KT,NULL,255
GLENWOOD,6,KT,NULL,177
HUSUM,7,KT,NULL,211
LYLE,8,KT,NULL,272
MT BROOK,9,KT,NULL,197
N DALLES,11,KT,NULL,255
N F VALLEY,12,KT,NULL,272
PINE FOREST,13,KT,NULL,474
ROOSEVELT,14,KT,NULL,48
TROUT LAKE,16,KT,NULL,198
W KLICKITAT,17,KT,NULL,56
WISHRAM,19,KT,NULL,66
WOODLAND,20,KT,NULL,523
ORCHARD HTS,21,KT,NULL,148
APPLETON,22,KT,NULL,65
ALDERDALE,23,KT,NULL,31
E LYLE,24,KT,NULL,91
RIVER,27,KT,NULL,17
HGH PRAIRIE,28,KT,NULL,36
BINGEN,101,KT,NULL,93
GOLDENDALE 1,102,KT,NULL,290
GOLDENDALE 2,103,KT,NULL,279
GOLDENDALE 3,104,KT,NULL,208
WHITE SALMON,109,KT,NULL,278
N WHITE SALMON,110,KT,NULL,166
