Row Label,PrecinctCode,County,Registered Voters,Cary Condotta
Total,-1,DG,NULL,7955
PRECINCT 101,101,DG,NULL,181
PRECINCT 102,102,DG,NULL,312
PRECINCT 103,103,DG,NULL,73
PRECINCT 104,104,DG,NULL,399
PRECINCT 105,105,DG,NULL,108
PRECINCT 106,106,DG,NULL,142
PRECINCT 107,107,DG,NULL,142
PRECINCT 108,108,DG,NULL,155
PRECINCT 109,109,DG,NULL,114
PRECINCT 110,110,DG,NULL,219
PRECINCT 111,111,DG,NULL,294
PRECINCT 112,112,DG,NULL,159
PRECINCT 113,113,DG,NULL,166
PRECINCT 114,114,DG,NULL,133
PRECINCT 201,201,DG,NULL,182
PRECINCT 202,202,DG,NULL,74
PRECINCT 203,203,DG,NULL,229
PRECINCT 204,204,DG,NULL,253
PRECINCT 205,205,DG,NULL,329
PRECINCT 206,206,DG,NULL,144
PRECINCT 207,207,DG,NULL,278
PRECINCT 208,208,DG,NULL,133
PRECINCT 209,209,DG,NULL,256
PRECINCT 210,210,DG,NULL,91
PRECINCT 211,211,DG,NULL,68
PRECINCT 212,212,DG,NULL,173
PRECINCT 213,213,DG,NULL,153
PRECINCT 214,214,DG,NULL,61
PRECINCT 215,215,DG,NULL,217
PRECINCT 301,301,DG,NULL,334
PRECINCT 302,302,DG,NULL,285
PRECINCT 303,303,DG,NULL,162
PRECINCT 304,304,DG,NULL,51
PRECINCT 305,305,DG,NULL,139
PRECINCT 306,306,DG,NULL,145
PRECINCT 307,307,DG,NULL,46
PRECINCT 308,308,DG,NULL,40
PRECINCT 309,309,DG,NULL,74
PRECINCT 310,310,DG,NULL,103
PRECINCT 311,311,DG,NULL,127
PRECINCT 312,312,DG,NULL,161
PRECINCT 313,313,DG,NULL,53
PRECINCT 314,314,DG,NULL,44
PRECINCT 315,315,DG,NULL,275
PRECINCT 316,316,DG,NULL,230
PRECINCT 317,317,DG,NULL,364
PRECINCT 318,318,DG,NULL,84
