Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,PE,NULL,3208
Camden,1,PE,NULL,97
Cusick,2,PE,NULL,79
Dalkena,3,PE,NULL,175
Diamond Lk East,4,PE,NULL,83
Fertile Valley North,5,PE,NULL,107
Furport,6,PE,NULL,164
Ione East,7,PE,NULL,110
Ione West,8,PE,NULL,130
Metaline,9,PE,NULL,56
Metaline Falls,10,PE,NULL,117
Tiger Dry Canyon,11,PE,NULL,207
Newport NE,12,PE,NULL,170
Newport SE,13,PE,NULL,79
Newport NW,14,PE,NULL,151
Newport SW,15,PE,NULL,128
Noble,16,PE,NULL,203
Ruby,17,PE,NULL,19
Sacheen,18,PE,NULL,178
Usk,19,PE,NULL,120
Diamond Lk West,20,PE,NULL,113
Deer Valley North,21,PE,NULL,135
Locke,22,PE,NULL,27
Kalispel Leclerc,23,PE,NULL,105
Skookum,24,PE,NULL,46
Deer Valley South,25,PE,NULL,48
Fertile Valley South,26,PE,NULL,121
Diamond Lk,27,PE,NULL,240
