Row Label,PrecinctCode,County,Registered Voters,Dave Hayes,Nick Petrish
Total,-1,IS,NULL,17384,12472
C WHIDBEY 01,150,IS,NULL,320,131
C WHIDBEY 02,151,IS,NULL,466,351
C WHIDBEY 03,152,IS,NULL,422,365
COUPEVILLE,153,IS,NULL,350,420
C WHIDBEY 04,154,IS,NULL,416,367
C WHIDBEY 05,155,IS,NULL,386,386
S WHIDBEY 01,160,IS,NULL,382,459
S WHIDBEY 02,161,IS,NULL,360,431
S WHIDBEY 03,162,IS,NULL,419,447
S WHIDBEY 04,163,IS,NULL,291,451
S WHIDBEY 05,164,IS,NULL,298,568
S WHIDBEY 06,165,IS,NULL,388,368
LANGLEY,166,IS,NULL,153,418
S WHIDBEY 07,167,IS,NULL,343,448
S WHIDBEY 08,168,IS,NULL,242,427
S WHIDBEY 09,169,IS,NULL,369,421
S WHIDBEY 10,170,IS,NULL,324,447
OAK HARBOR 01,201,IS,NULL,437,161
OAK HARBOR 02,202,IS,NULL,354,98
OAK HARBOR 03,203,IS,NULL,413,171
OAK HARBOR 04,204,IS,NULL,390,205
OAK HARBOR 05,205,IS,NULL,426,189
OAK HARBOR 06,206,IS,NULL,323,184
OAK HARBOR 07,207,IS,NULL,387,242
OAK HARBOR 08,208,IS,NULL,362,149
OAK HARBOR 09,209,IS,NULL,98,45
N WHIDBEY 06,251,IS,NULL,257,131
N WHIDBEY 07,252,IS,NULL,390,147
N WHIDBEY 08,253,IS,NULL,334,107
N WHIDBEY 09,254,IS,NULL,286,119
N WHIDBEY 10,255,IS,NULL,131,39
N WHIDBEY 11,256,IS,NULL,62,42
CAMANO 01,301,IS,NULL,332,206
CAMANO 02,302,IS,NULL,462,256
CAMANO 03,303,IS,NULL,437,250
CAMANO 04,304,IS,NULL,622,304
CAMANO 05,305,IS,NULL,481,277
CAMANO 06,306,IS,NULL,431,273
CAMANO 07,307,IS,NULL,394,225
CAMANO 08,308,IS,NULL,280,184
CAMANO 09,309,IS,NULL,438,254
CAMANO 10,310,IS,NULL,304,219
CAMANO 11,311,IS,NULL,398,279
N WHIDBEY 01,351,IS,NULL,517,202
N WHIDBEY 02,352,IS,NULL,496,155
N WHIDBEY 03,353,IS,NULL,369,151
N WHIDBEY 04,354,IS,NULL,552,205
N WHIDBEY 05,355,IS,NULL,292,98
