Row Label,PrecinctCode,County,Registered Voters,Eunice L. Coker
Total,-1,WT,NULL,7211
TEKOA IN,31,WT,NULL,178
OAKESDALE IN,32,WT,NULL,157
FARMINGTON IN,33,WT,NULL,55
GARFIELD IN,34,WT,NULL,160
COLTON IN,35,WT,NULL,150
UNIONTOWN IN,36,WT,NULL,77
ALBION IN,37,WT,NULL,125
LACROSSE IN,42,WT,NULL,107
ENDICOTT IN,43,WT,NULL,107
LAMONT IN,44,WT,NULL,21
ST JOHN IN,45,WT,NULL,178
MALDEN IN,46,WT,NULL,43
ROSALIA IN,47,WT,NULL,174
TEKOA 101,101,WT,NULL,47
OAKESDALE 102,102,WT,NULL,84
FARMINGTON 103,103,WT,NULL,27
STEPTOE 104,104,WT,NULL,81
GARFIELD 105,105,WT,NULL,73
PALOUSE RURAL 106,106,WT,NULL,140
PALOUSE 107,107,WT,NULL,229
COLTON 108,108,WT,NULL,77
UNIONTOWN 109,109,WT,NULL,59
PULLMAN RURAL 110,110,WT,NULL,281
PULLMAN RURAL 111,111,WT,NULL,86
ALBION 112,112,WT,NULL,91
PULLMAN CITY 113,113,WT,NULL,97
PULLMAN CITY 114,114,WT,NULL,15
PULLMAN CITY 115,115,WT,NULL,7
PULLMAN CITY 116,116,WT,NULL,308
PULLMAN CITY 117,117,WT,NULL,122
PULLMAN CITY 118,118,WT,NULL,220
PULLMAN CITY 119,119,WT,NULL,147
PULLMAN CITY 120,120,WT,NULL,406
PULLMAN CITY 121,121,WT,NULL,115
PULLMAN CITY 122,122,WT,NULL,81
PULLMAN CITY 123,123,WT,NULL,159
PULLMAN CITY 124,124,WT,NULL,21
PULLMAN CITY 125,125,WT,NULL,15
PULLMAN CITY 126,126,WT,NULL,14
PULLMAN CITY 127,127,WT,NULL,22
PULLMAN CITY 128,128,WT,NULL,43
PULLMAN CITY 129,129,WT,NULL,47
PULLMAN CITY 130,130,WT,NULL,46
PULLMAN CITY 131,131,WT,NULL,4
PULLMAN CITY 132,132,WT,NULL,0
PULLMAN CITY 133,133,WT,NULL,0
PULLMAN CITY 134,134,WT,NULL,17
PULLMAN CITY 135,135,WT,NULL,140
COLFAX RURAL 136,136,WT,NULL,129
COLFAX RURAL 137,137,WT,NULL,205
WILCOX 138,138,WT,NULL,114
COLFAX CITY 139,139,WT,NULL,210
COLFAX CITY 140,140,WT,NULL,186
COLFAX CITY 141,141,WT,NULL,148
COLFAX CITY 142,142,WT,NULL,255
DUSTY 143,143,WT,NULL,37
HAY 144,144,WT,NULL,22
HOOPER 145,145,WT,NULL,17
LACROSSE 146,146,WT,NULL,68
ENDICOTT 147,147,WT,NULL,90
LAMONT 148,148,WT,NULL,32
ST JOHN 149,149,WT,NULL,177
MALDEN 150,150,WT,NULL,5
ROSALIA 151,151,WT,NULL,61
THORNTON 152,152,WT,NULL,46
PULLMAN 218,218,WT,NULL,232
PULLMAN 228,228,WT,NULL,17
PULLMAN 234,234,WT,NULL,52
PULLMAN 235,235,WT,NULL,255
