Row Label,PrecinctCode,County,Registered Voters,Patricia Lyon
PETERSON,14454313,SN,NULL,258
WINDSONG,14454336,SN,NULL,182
DUBUQUE,14454345,SN,NULL,184
POINTE,14454358,SN,NULL,33
VALMONT,14454366,SN,NULL,106
MARKS,14454464,SN,NULL,192
OSBORN,14454477,SN,NULL,182
PANTHER CREEK,14454478,SN,NULL,208
RIDGEWAY,14454482,SN,NULL,129
STITCH,14454485,SN,NULL,64
CENTENNIAL,14454490,SN,NULL,290
FIRCREST,14454493,SN,NULL,143
GREENWOOD,14454530,SN,NULL,229
HILLSIDE,14454532,SN,NULL,82
OHLDE,14454549,SN,NULL,206
FOUR CORNERS,14454580,SN,NULL,199
MORNING RISE,14454588,SN,NULL,197
PELLERIN,14454634,SN,NULL,203
KENSINGTON,14454648,SN,NULL,105
OVERLOOK,14454706,SN,NULL,273
GLEN ACRES,24454698,SN,NULL,2
