Row Label,PrecinctCode,County,Registered Voters,Rob Freeby,Drew Ann Henke
Total,-1,PI,NULL,15853,20377
27-404,27404,PI,NULL,44,103
27-405,27405,PI,NULL,200,300
27-406,27406,PI,NULL,282,357
27-407,27407,PI,NULL,216,224
27-408,27408,PI,NULL,225,264
27-409,27409,PI,NULL,235,232
27-410,27410,PI,NULL,210,256
27-411,27411,PI,NULL,322,278
27-412,27412,PI,NULL,201,243
27-413,27413,PI,NULL,220,252
27-414,27414,PI,NULL,196,322
27-415,27415,PI,NULL,267,277
27-416,27416,PI,NULL,214,281
27-417,27417,PI,NULL,193,310
27-418,27418,PI,NULL,193,251
27-419,27419,PI,NULL,167,309
27-420,27420,PI,NULL,192,357
27-421,27421,PI,NULL,157,243
27-422,27422,PI,NULL,250,326
27-423,27423,PI,NULL,177,346
27-424,27424,PI,NULL,174,298
27-425,27425,PI,NULL,148,294
27-426,27426,PI,NULL,206,242
27-427,27427,PI,NULL,174,258
27-428,27428,PI,NULL,133,243
27-429,27429,PI,NULL,165,260
27-430,27430,PI,NULL,198,219
27-431,27431,PI,NULL,76,100
27-432,27432,PI,NULL,175,242
27-433,27433,PI,NULL,190,222
27-434,27434,PI,NULL,176,233
27-435,27435,PI,NULL,209,239
27-436,27436,PI,NULL,173,249
27-437,27437,PI,NULL,152,214
27-438,27438,PI,NULL,126,232
27-439,27439,PI,NULL,123,250
27-440,27440,PI,NULL,156,250
27-441,27441,PI,NULL,156,194
27-442,27442,PI,NULL,117,150
27-443,27443,PI,NULL,130,174
27-444,27444,PI,NULL,148,220
27-445,27445,PI,NULL,127,207
27-446,27446,PI,NULL,154,185
27-447,27447,PI,NULL,157,208
27-448,27448,PI,NULL,12,5
27-449,27449,PI,NULL,175,229
27-450,27450,PI,NULL,196,221
27-451,27451,PI,NULL,151,175
27-452,27452,PI,NULL,169,179
27-453,27453,PI,NULL,134,137
27-454,27454,PI,NULL,195,221
27-455,27455,PI,NULL,154,177
27-456,27456,PI,NULL,133,153
27-457,27457,PI,NULL,149,196
27-458,27458,PI,NULL,103,154
27-459,27459,PI,NULL,124,106
27-460,27460,PI,NULL,218,232
27-461,27461,PI,NULL,244,240
27-462,27462,PI,NULL,233,231
27-463,27463,PI,NULL,148,196
27-464,27464,PI,NULL,181,193
27-465,27465,PI,NULL,184,153
27-466,27466,PI,NULL,197,174
27-467,27467,PI,NULL,197,170
27-468,27468,PI,NULL,173,172
28-501,28501,PI,NULL,233,275
28-502,28502,PI,NULL,217,319
28-503,28503,PI,NULL,177,325
28-504,28504,PI,NULL,203,273
28-505,28505,PI,NULL,239,360
28-506,28506,PI,NULL,208,309
28-507,28507,PI,NULL,160,249
28-508,28508,PI,NULL,104,120
28-509,28509,PI,NULL,0,0
29-601,29601,PI,NULL,136,171
29-602,29602,PI,NULL,125,152
29-603,29603,PI,NULL,158,165
29-604,29604,PI,NULL,155,179
29-605,29605,PI,NULL,130,148
29-606,29606,PI,NULL,183,199
29-607,29607,PI,NULL,169,231
29-608,29608,PI,NULL,139,153
29-609,29609,PI,NULL,115,129
29-610,29610,PI,NULL,164,178
29-611,29611,PI,NULL,45,35
29-612,29612,PI,NULL,75,117
29-613,29613,PI,NULL,182,189
29-614,29614,PI,NULL,159,231
29-615,29615,PI,NULL,174,232
29-616,29616,PI,NULL,160,179
29-617,29617,PI,NULL,139,197
29-618,29618,PI,NULL,135,156
29-619,29619,PI,NULL,143,190
29-620(*),29620,PI,NULL,0,0
29-621(*),29621,PI,NULL,0,0
29-622,29622,PI,NULL,127,139
29-623,29623,PI,NULL,37,33
29-624,29624,PI,NULL,0,0
29-625,29625,PI,NULL,4,2
29-626,29626,PI,NULL,4,4
29-627,29627,PI,NULL,0,0
