Row Label,PrecinctCode,County,Registered Voters,Elizabeth Scott,Charles Jensen
Total,-1,KI,NULL,5153,3234
Total,-1,KI,NULL,5153,3234
ALDER,101,SK,NULL,151,88
ALGER,102,SK,NULL,179,99
SAUK,107,SK,NULL,264,153
BIRDSVIEW,111,SK,NULL,274,149
CASCADE,114,SK,NULL,39,50
CLEAR LAKE,116,SK,NULL,262,158
FRUITDALE,125,SK,NULL,130,58
HAMBURG,128,SK,NULL,96,90
MANSFORD,133,SK,NULL,41,25
MCRAE,137,SK,NULL,406,211
MINKLER,139,SK,NULL,168,121
NOOKACHAMPS,141,SK,NULL,133,104
PRAIRIE,145,SK,NULL,304,140
ROCKPORT,148,SK,NULL,176,183
STERLING,151,SK,NULL,78,45
TINGLEY,154,SK,NULL,150,82
VAN FLEET,155,SK,NULL,222,141
SAMISH,166,SK,NULL,182,115
COLLINS,167,SK,NULL,173,78
SEDRO WOOLLEY  1,401,SK,NULL,253,164
SEDRO WOOLLEY  2,402,SK,NULL,293,157
SEDRO WOOLLEY  3,403,SK,NULL,168,123
SEDRO WOOLLEY  4,404,SK,NULL,234,178
SEDRO WOOLLEY  5,405,SK,NULL,347,217
SEDRO WOOLLEY  6,406,SK,NULL,218,175
SEDRO WOOLLEY  7,407,SK,NULL,4,5
CONCRETE,601,SK,NULL,101,70
HAMILTON,701,SK,NULL,37,18
LYMAN,855,SK,NULL,70,37
