Row Label,PrecinctCode,County,Registered Voters,Donna Tucker
Total,-1,KI,NULL,3319
BOTHELL 31,10141598,SN,NULL,203
BOTHELL 32,10141599,SN,NULL,152
BOTHELL 33,10141600,SN,NULL,199
BOTHELL 34,10141601,SN,NULL,226
BOTHELL 35,10141602,SN,NULL,165
BOTHELL 36,10141603,SN,NULL,195
BOTHELL 37,10141604,SN,NULL,249
BOTHELL 38,10141605,SN,NULL,195
BOTHELL 39,10141606,SN,NULL,153
BOTHELL 40,10141607,SN,NULL,227
BOTHELL 41,10141608,SN,NULL,222
BOTHELL 42,10141609,SN,NULL,265
BOTHELL 43,10141610,SN,NULL,158
BOTHELL 44,10141611,SN,NULL,163
BOTHELL 45,10141612,SN,NULL,108
BOTHELL 46,10141613,SN,NULL,214
BOTHELL 47,10141644,SN,NULL,225
