Row Label,PrecinctCode,County,Registered Voters,Craig Pridemore,Jeanne E. Stewart
502,502,CR,NULL,259,276
503,503,CR,NULL,171,278
505,505,CR,NULL,317,395
510,510,CR,NULL,167,251
511,511,CR,NULL,14,18
515,515,CR,NULL,300,384
520,520,CR,NULL,160,193
521,521,CR,NULL,8,6
522,522,CR,NULL,86,139
523,523,CR,NULL,2,19
524,524,CR,NULL,27,46
525,525,CR,NULL,171,235
527,527,CR,NULL,208,313
528,528,CR,NULL,199,380
530,530,CR,NULL,105,165
535,535,CR,NULL,270,505
536,536,CR,NULL,145,219
537,537,CR,NULL,79,157
538,538,CR,NULL,83,219
540,540,CR,NULL,252,442
543,543,CR,NULL,227,391
545,545,CR,NULL,167,263
550,550,CR,NULL,325,409
553,553,CR,NULL,287,262
555,555,CR,NULL,339,360
560,560,CR,NULL,278,322
563,563,CR,NULL,270,352
565,565,CR,NULL,232,241
566,566,CR,NULL,177,215
570,570,CR,NULL,269,319
571,571,CR,NULL,237,304
572,572,CR,NULL,315,416
573,573,CR,NULL,318,418
574,574,CR,NULL,17,11
575,575,CR,NULL,52,127
576,576,CR,NULL,3,4
577,577,CR,NULL,246,528
578,578,CR,NULL,23,35
579,579,CR,NULL,15,8
580,580,CR,NULL,170,243
581,581,CR,NULL,101,179
582,582,CR,NULL,154,299
583,583,CR,NULL,160,308
584,584,CR,NULL,205,312
585,585,CR,NULL,254,436
586,586,CR,NULL,205,272
587,587,CR,NULL,174,308
588,588,CR,NULL,139,186
590,590,CR,NULL,325,458
591,591,CR,NULL,327,493
592,592,CR,NULL,331,426
593,593,CR,NULL,252,403
594,594,CR,NULL,6,14
595(*),595,CR,NULL,0,0
596(*),596,CR,NULL,0,0
597,597,CR,NULL,25,50
598,598,CR,NULL,9,10
600,600,CR,NULL,91,224
603,603,CR,NULL,106,287
605,605,CR,NULL,162,424
606,606,CR,NULL,40,78
610,610,CR,NULL,341,473
613,613,CR,NULL,101,196
615,615,CR,NULL,107,170
617,617,CR,NULL,220,361
618,618,CR,NULL,289,378
620,620,CR,NULL,272,406
624,624,CR,NULL,51,80
625,625,CR,NULL,269,361
626,626,CR,NULL,250,274
627,627,CR,NULL,245,293
628,628,CR,NULL,274,306
629,629,CR,NULL,223,276
630,630,CR,NULL,209,234
631,631,CR,NULL,366,276
632,632,CR,NULL,151,155
633,633,CR,NULL,262,231
634,634,CR,NULL,224,269
635,635,CR,NULL,201,229
636,636,CR,NULL,221,256
638,638,CR,NULL,251,232
