Row Label,PrecinctCode,County,Registered Voters,Lisa L. Sutton
Total,-1,GY,NULL,12569
Taholah 002,2,GY,NULL,155
Quinault 004,4,GY,NULL,90
Neilton 006,6,GY,NULL,46
Pacific Beach 008,8,GY,NULL,131
Moclips 010,10,GY,NULL,18
Ocean City 012,12,GY,NULL,168
Burrows 014,14,GY,NULL,12
Wilderness 016,16,GY,NULL,70
Humptulips 018,18,GY,NULL,34
Axford 020,20,GY,NULL,85
Dekay 022,22,GY,NULL,42
Hoquiam Rural 024,24,GY,NULL,179
Stover 026,26,GY,NULL,37
North Wishkah 028,28,GY,NULL,1
Wishkah 030,30,GY,NULL,152
Cutoff032,32,GY,NULL,55
Coats Landing 034,34,GY,NULL,162
Geissler 036,36,GY,NULL,29
Aberdeen Lake 038,38,GY,NULL,2
Reynvaan 040,40,GY,NULL,81
Wynoochee 042,42,GY,NULL,4
Boundary 044,44,GY,NULL,29
Black Creek 046,46,GY,NULL,286
Brady 048,48,GY,NULL,246
Riviera 050,50,GY,NULL,23
Satsop 052,52,GY,NULL,105
Calder 056,56,GY,NULL,163
Bush 058,58,GY,NULL,341
McCleary Rural 060,60,GY,NULL,236
Porter 062,62,GY,NULL,115
Cedar Creek 064,64,GY,NULL,56
Chehalis 066,66,GY,NULL,4
Blockhouse 068,68,GY,NULL,184
Delezenne 070,70,GY,NULL,222
Melbourne 072,72,GY,NULL,189
Devonshire 074,74,GY,NULL,171
Vesta 076,76,GY,NULL,30
Artic 078,78,GY,NULL,33
Central Park 080,80,GY,NULL,376
Lois Lane 082,82,GY,NULL,73
Blue Slough 084,84,GY,NULL,123
Sierra 086,86,GY,NULL,1
Lund 088,88,GY,NULL,39
Newskah 090,90,GY,NULL,12
Ocosta 092,92,GY,NULL,0
Johns River 094,94,GY,NULL,182
Grayland 096,96,GY,NULL,199
Cohasset 098,98,GY,NULL,126
Aberdeen 111,111,GY,NULL,376
Aberdeen 121,121,GY,NULL,351
Aberdeen 131,131,GY,NULL,475
Aberdeen 132,132,GY,NULL,0
Aberdeen 141,141,GY,NULL,305
Aberdeen 142,142,GY,NULL,252
Aberdeen 151,151,GY,NULL,215
Aberdeen 161,161,GY,NULL,364
Cosmopolis 201,201,GY,NULL,352
Elma 301,301,GY,NULL,145
Elma 302,302,GY,NULL,317
Hoquiam 411,411,GY,NULL,234
Hoquiam 421,421,GY,NULL,207
Hoquiam 431,431,GY,NULL,252
Hoquiam 441,441,GY,NULL,268
Hoquiam 451,451,GY,NULL,202
Hoquiam 461,461,GY,NULL,223
McCleary 501,501,GY,NULL,256
Montesano 601,601,GY,NULL,412
Montesano 602,602,GY,NULL,453
Montesano 603,603,GY,NULL,0
Oakville 701,701,GY,NULL,92
Ocean Shores 801,801,GY,NULL,393
Ocean Shores 802,802,GY,NULL,507
Ocean Shores 803,803,GY,NULL,451
Westport 901,901,GY,NULL,350
