Row Label,PrecinctCode,County,Registered Voters,Will Reichardt
Total,-1,SK,NULL,27924
ALDER,101,SK,NULL,170
ALGER,102,SK,NULL,186
ALLEN,103,SK,NULL,125
DUNBAR,104,SK,NULL,58
AVON,105,SK,NULL,289
SAUK,107,SK,NULL,331
BAY VIEW,108,SK,NULL,268
BELFAST,109,SK,NULL,158
BIG LAKE,110,SK,NULL,402
BIRDSVIEW,111,SK,NULL,311
BOW,113,SK,NULL,430
CASCADE,114,SK,NULL,58
CEDARDALE,115,SK,NULL,105
CLEAR LAKE,116,SK,NULL,285
COUNTRY CLUB,117,SK,NULL,137
CONWAY,118,SK,NULL,124
DEWEY,119,SK,NULL,532
DIGBY,120,SK,NULL,23
DODGE VALLEY,121,SK,NULL,148
EDISON,122,SK,NULL,184
FIR,124,SK,NULL,145
FRUITDALE,125,SK,NULL,144
GEAR,126,SK,NULL,307
GUEMES,127,SK,NULL,281
HAMBURG,128,SK,NULL,143
HARMONY,129,SK,NULL,194
LAKE SIXTEEN,130,SK,NULL,144
LOOKOUT,132,SK,NULL,352
MANSFORD,133,SK,NULL,44
MAPES,134,SK,NULL,112
MARCH POINT,135,SK,NULL,24
MCMURRAY WEST,136,SK,NULL,155
MCRAE,137,SK,NULL,435
MCMURRAY EAST,138,SK,NULL,60
MINKLER,139,SK,NULL,200
MONTBORNE,140,SK,NULL,419
NOOKACHAMPS,141,SK,NULL,188
SKYRIDGE,144,SK,NULL,270
PRAIRIE,145,SK,NULL,295
POINT WILLIAMS,146,SK,NULL,251
RIDGEWAY,147,SK,NULL,223
ROCKPORT,148,SK,NULL,261
SHELTER BAY,149,SK,NULL,363
SNEE OOSH,150,SK,NULL,254
STERLING,151,SK,NULL,89
SWINOMISH,153,SK,NULL,370
TINGLEY,154,SK,NULL,160
VAN FLEET,155,SK,NULL,258
VEDERE,156,SK,NULL,239
WHITNEY,157,SK,NULL,142
ROSARIO,158,SK,NULL,428
TERRACE,159,SK,NULL,513
STARBIRD,160,SK,NULL,232
FIDALGO,164,SK,NULL,345
GAGES,165,SK,NULL,68
SAMISH,166,SK,NULL,216
COLLINS,167,SK,NULL,166
BLANCHARD,168,SK,NULL,321
VIEW TERRACE,170,SK,NULL,4
LAKE CAVANAUGH,171,SK,NULL,88
LITTLE MOUNTAIN,172,SK,NULL,136
RIVERBEND,173,SK,NULL,15
PADILLA,174,SK,NULL,70
FREDONIA,176,SK,NULL,67
ANACORTES  1,201,SK,NULL,288
ANACORTES  4,204,SK,NULL,220
ANACORTES 5,205,SK,NULL,8
ANACORTES  6,206,SK,NULL,271
ANACORTES  7,207,SK,NULL,619
ANACORTES  9,209,SK,NULL,321
ANACORTES 11,211,SK,NULL,433
ANACORTES 17,217,SK,NULL,549
ANACORTES 20,220,SK,NULL,483
ANACORTES 21,221,SK,NULL,598
ANACORTES 22,222,SK,NULL,413
ANACORTES 24,224,SK,NULL,647
MOUNT VERNON  1,301,SK,NULL,121
MOUNT VERNON  2,302,SK,NULL,145
MOUNT VERNON  3,303,SK,NULL,282
MOUNT VERNON  4,304,SK,NULL,441
MOUNT VERNON  5,305,SK,NULL,85
MOUNT VERNON  6,306,SK,NULL,256
MOUNT VERNON  7,307,SK,NULL,331
MOUNT VERNON  8,308,SK,NULL,552
MOUNT VERNON  9,309,SK,NULL,171
MOUNT VERNON 10,310,SK,NULL,176
MOUNT VERNON 11,311,SK,NULL,288
MOUNT VERNON 12,312,SK,NULL,150
MOUNT VERNON 14,314,SK,NULL,410
MOUNT VERNON 15,315,SK,NULL,204
MOUNT VERNON 16,316,SK,NULL,395
MOUNT VERNON 19,319,SK,NULL,350
MOUNT VERNON 21,321,SK,NULL,518
MOUNT VERNON 22,322,SK,NULL,517
MOUNT VERNON 27,327,SK,NULL,106
MOUNT VERNON 30,330,SK,NULL,366
SEDRO WOOLLEY  1,401,SK,NULL,298
SEDRO WOOLLEY  2,402,SK,NULL,330
SEDRO WOOLLEY  3,403,SK,NULL,240
SEDRO WOOLLEY  4,404,SK,NULL,311
SEDRO WOOLLEY  5,405,SK,NULL,404
SEDRO WOOLLEY  6,406,SK,NULL,300
SEDRO WOOLLEY  7,407,SK,NULL,6
BURLINGTON 1,501,SK,NULL,146
BURLINGTON 2,502,SK,NULL,165
BURLINGTON 3,503,SK,NULL,81
BURLINGTON 4,504,SK,NULL,234
BURLINGTON 5,505,SK,NULL,303
BURLINGTON 6,506,SK,NULL,165
BURLINGTON 7,507,SK,NULL,169
CONCRETE,601,SK,NULL,122
HAMILTON,701,SK,NULL,44
LA CONNER,801,SK,NULL,312
LYMAN,855,SK,NULL,65
