Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,PE,NULL,2305,2781
Camden,1,PE,NULL,58,129
Cusick,2,PE,NULL,74,60
Dalkena,3,PE,NULL,123,180
Diamond Lk East,4,PE,NULL,54,63
Fertile Valley North,5,PE,NULL,66,120
Furport,6,PE,NULL,105,146
Ione East,7,PE,NULL,56,115
Ione West,8,PE,NULL,97,104
Metaline,9,PE,NULL,47,50
Metaline Falls,10,PE,NULL,74,118
Tiger Dry Canyon,11,PE,NULL,129,178
Newport NE,12,PE,NULL,127,128
Newport SE,13,PE,NULL,53,59
Newport NW,14,PE,NULL,142,99
Newport SW,15,PE,NULL,115,74
Noble,16,PE,NULL,139,194
Ruby,17,PE,NULL,13,14
Sacheen,18,PE,NULL,160,110
Usk,19,PE,NULL,53,132
Diamond Lk West,20,PE,NULL,87,111
Deer Valley North,21,PE,NULL,111,127
Locke,22,PE,NULL,12,29
Kalispel Leclerc,23,PE,NULL,76,76
Skookum,24,PE,NULL,31,37
Deer Valley South,25,PE,NULL,41,34
Fertile Valley South,26,PE,NULL,69,104
Diamond Lk,27,PE,NULL,193,190
