Row Label,PrecinctCode,County,Registered Voters,Nancy L. Vejvoda,Joan P. White
Total,-1,SJ,NULL,2182,4758
San Juan South East,11,SJ,NULL,91,252
San Juan South West,12,SJ,NULL,197,326
San Juan Central,13,SJ,NULL,234,276
San Juan West,14,SJ,NULL,167,336
San Juan North,15,SJ,NULL,140,267
San Juan East,16,SJ,NULL,138,256
Turn Point,17,SJ,NULL,85,143
Waldron &amp; Outer Is,21,SJ,NULL,9,46
Orcas West,22,SJ,NULL,129,358
Orcas Central,23,SJ,NULL,123,356
Eastsound,24,SJ,NULL,146,393
Orcas East,25,SJ,NULL,111,337
Blakely &amp; Outer Is,26,SJ,NULL,3,16
Lopez North,31,SJ,NULL,140,494
Lopez South,32,SJ,NULL,94,378
Decatur and Outer Is,33,SJ,NULL,9,19
Shaw,41,SJ,NULL,25,56
Friday Harbor North,101,SJ,NULL,201,254
Friday Harbor South,102,SJ,NULL,140,195
