Row Label,PrecinctCode,County,Registered Voters,Norma Smith,Michael Scott
Total,-1,SK,NULL,8434,2771
ALLEN,103,SK,NULL,156,29
BIG LAKE,110,SK,NULL,406,119
CEDARDALE,115,SK,NULL,110,31
COUNTRY CLUB,117,SK,NULL,148,24
CONWAY,118,SK,NULL,117,53
DEWEY,119,SK,NULL,508,194
DIGBY,120,SK,NULL,33,5
DODGE VALLEY,121,SK,NULL,120,39
FIR,124,SK,NULL,122,28
HARMONY,129,SK,NULL,209,38
LAKE SIXTEEN,130,SK,NULL,164,36
MCMURRAY WEST,136,SK,NULL,114,76
MCMURRAY EAST,138,SK,NULL,65,27
MONTBORNE,140,SK,NULL,381,123
SKYRIDGE,144,SK,NULL,261,80
RIDGEWAY,147,SK,NULL,195,71
SHELTER BAY,149,SK,NULL,375,82
SNEE OOSH,150,SK,NULL,231,91
SWINOMISH,153,SK,NULL,314,100
VEDERE,156,SK,NULL,225,55
WHITNEY,157,SK,NULL,104,48
ROSARIO,158,SK,NULL,423,158
TERRACE,159,SK,NULL,539,106
STARBIRD,160,SK,NULL,294,64
GAGES,165,SK,NULL,74,20
LAKE CAVANAUGH,171,SK,NULL,95,36
LITTLE MOUNTAIN,172,SK,NULL,140,51
FREDONIA,176,SK,NULL,60,22
MOUNT VERNON  7,307,SK,NULL,231,135
MOUNT VERNON  8,308,SK,NULL,486,175
MOUNT VERNON  9,309,SK,NULL,150,52
MOUNT VERNON 10,310,SK,NULL,138,73
MOUNT VERNON 11,311,SK,NULL,258,88
MOUNT VERNON 12,312,SK,NULL,133,46
MOUNT VERNON 16,316,SK,NULL,370,146
MOUNT VERNON 27,327,SK,NULL,103,21
MOUNT VERNON 30,330,SK,NULL,350,112
LA CONNER,801,SK,NULL,232,117
