Row Label,PrecinctCode,County,Registered Voters,Derek Kilmer,Marty McClendon
Total,-1,CM,NULL,16001,12159
PORT ANGELES 101,101,CM,NULL,238,140
PORT ANGELES 102,102,CM,NULL,445,162
PORT ANGELES 103,103,CM,NULL,424,233
PORT ANGELES 104,104,CM,NULL,308,126
PORT ANGELES 105,105,CM,NULL,383,193
PORT ANGELES 106,106,CM,NULL,292,182
PORT ANGELES 107,107,CM,NULL,429,214
PORT ANGELES 108,108,CM,NULL,208,107
PORT ANGELES 109,109,CM,NULL,497,242
PORT ANGELES 110,110,CM,NULL,82,64
PORT ANGELES 111,111,CM,NULL,433,235
PORT ANGELES 112,112,CM,NULL,230,135
PORT ANGELES 113,113,CM,NULL,224,164
AGNEW 201,201,CM,NULL,230,197
BEAVER 204,204,CM,NULL,146,213
BELLEVIEW 205,205,CM,NULL,298,223
BELL HILL 207,207,CM,NULL,256,282
BLACK DIAMOND 208,208,CM,NULL,184,147
BLUE MOUNTAIN 209,209,CM,NULL,291,249
BLUFFS 210,210,CM,NULL,148,153
BLYN 211,211,CM,NULL,245,206
BOGACHIEL 212,212,CM,NULL,67,108
CARLSBORG 214,214,CM,NULL,195,199
CLALLAM BAY 215,215,CM,NULL,138,114
CLARK 216,216,CM,NULL,116,83
CLINE 217,217,CM,NULL,351,186
COYOTE 218,218,CM,NULL,338,246
DEER PARK 220,220,CM,NULL,310,250
DIAMOND POINT 221,221,CM,NULL,286,237
DUNGENESS EAST 222,222,CM,NULL,343,293
DUNGENESS WEST 223,223,CM,NULL,167,123
DRY CREEK 224,224,CM,NULL,276,168
EAGLE 226,226,CM,NULL,199,209
ELK 229,229,CM,NULL,69,61
ELWHA 230,230,CM,NULL,89,69
FAIRVIEW 232,232,CM,NULL,307,265
FRESHWATER BAY 233,233,CM,NULL,367,330
HAPPY VALLEY 237,237,CM,NULL,132,159
JAMESTOWN 240,240,CM,NULL,216,142
JOYCE 241,241,CM,NULL,308,307
LOST MOUNTAIN 245,245,CM,NULL,156,179
MILLER PENINSULA 246,246,CM,NULL,170,118
MACLEAY 247,247,CM,NULL,279,252
MADISON CREEK 248,248,CM,NULL,120,73
MONTERRA 249,249,CM,NULL,284,236
MOUNT ANGELES 250,250,CM,NULL,208,126
MOUNT PLEASANT 251,251,CM,NULL,263,208
NEAH BAY 252,252,CM,NULL,179,33
OBRIEN 253,253,CM,NULL,212,229
OLYMPIC 254,254,CM,NULL,202,178
PORT WILLIAMS 258,258,CM,NULL,176,127
PRAIRIE NORTH 259,259,CM,NULL,252,228
PRAIRIE SOUTH 260,260,CM,NULL,254,248
QUILEUTE 262,262,CM,NULL,105,70
RIVERSIDE 265,265,CM,NULL,280,218
ROBIN HILL 266,266,CM,NULL,209,200
SUN 269,269,CM,NULL,63,103
SUNLAND NORTH 270,270,CM,NULL,309,251
SUNLAND SOUTH 271,271,CM,NULL,197,167
FORKS 301,301,CM,NULL,126,129
FORKS 302,302,CM,NULL,183,211
SEQUIM 401,401,CM,NULL,174,104
SEQUIM 402,402,CM,NULL,161,116
SEQUIM 403,403,CM,NULL,320,201
SEQUIM 404,404,CM,NULL,385,331
SEQUIM 405,405,CM,NULL,229,203
SEQUIM 406,406,CM,NULL,240,204
