Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,TH,NULL,18483,46987
Cougar Mountain,28,TH,NULL,20,42
Clear Lake,30,TH,NULL,146,278
Lackamas,31,TH,NULL,30,69
Morris,32,TH,NULL,103,193
Evergreen Ballroom,33,TH,NULL,105,253
Trails End,34,TH,NULL,138,372
Kaiser,35,TH,NULL,31,104
Rich(*),36,TH,NULL,0,0
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,43,114
Simmons 9,42,TH,NULL,2,3
University North,43,TH,NULL,39,75
Steamboat Island,44,TH,NULL,63,156
Rocky Prairie,45,TH,NULL,53,142
Lawrence Lake,46,TH,NULL,88,261
Woodard Creek,47,TH,NULL,68,171
Michigan Hill,48,TH,NULL,48,118
Scott Lake South,49,TH,NULL,55,158
Salmon Creek,50,TH,NULL,50,122
Spurgeon Creek,51,TH,NULL,38,91
James,52,TH,NULL,67,165
Vail,53,TH,NULL,100,232
Rochester 5,54,TH,NULL,76,210
Rochester 4,55,TH,NULL,72,151
Medicine Creek,57,TH,NULL,30,104
Skokomish,58,TH,NULL,72,155
Pleasant Hill,59,TH,NULL,91,217
Smith Prairie,60,TH,NULL,99,218
Black River,62,TH,NULL,121,300
Ames,63,TH,NULL,68,179
Airport,64,TH,NULL,4,19
Luhr Beach,65,TH,NULL,97,234
Fish Trap,66,TH,NULL,58,172
Quince(*),67,TH,NULL,0,0
Simmons 2,68,TH,NULL,2,4
Simmons 3,69,TH,NULL,2,7
Simmons 4,70,TH,NULL,2,10
Pines,74,TH,NULL,63,141
Long Lake,75,TH,NULL,14,51
Hawk Acres,76,TH,NULL,48,130
Zenkner Valley,77,TH,NULL,15,50
Tri Lakes,78,TH,NULL,48,108
University South,79,TH,NULL,48,109
Tolmie,80,TH,NULL,33,78
Military,81,TH,NULL,41,92
Glen Terra,82,TH,NULL,30,59
Prine,83,TH,NULL,26,31
Glenwood,84,TH,NULL,27,76
Greenridge,86,TH,NULL,44,126
Woodland,88,TH,NULL,66,196
Tilley,89,TH,NULL,93,234
Sweet Briar,90,TH,NULL,111,259
Deerbrush,91,TH,NULL,93,205
Mushroom Corner,92,TH,NULL,79,178
Trailblazer,93,TH,NULL,35,63
Frye Cove,94,TH,NULL,86,223
Oyster Bay,95,TH,NULL,79,232
Summit Lake,96,TH,NULL,69,169
Delridge,97,TH,NULL,15,66
Marvin,98,TH,NULL,93,235
Alpine,99,TH,NULL,142,322
Hewitt Lake,100,TH,NULL,78,270
Zangle,101,TH,NULL,54,209
Boston Harbor,102,TH,NULL,87,252
Gull Harbor,103,TH,NULL,50,144
Friendly Grove,104,TH,NULL,39,134
South Bay,105,TH,NULL,84,252
Puget,106,TH,NULL,84,259
Bigelow,107,TH,NULL,72,177
Pleasant Glade,109,TH,NULL,51,121
Montgomery,110,TH,NULL,41,97
Nisqually,111,TH,NULL,82,133
Roosevelt,112,TH,NULL,106,241
Kinwood,113,TH,NULL,68,168
Mckinley,114,TH,NULL,34,63
Forest,115,TH,NULL,94,292
St Clair,116,TH,NULL,85,210
Hicks,117,TH,NULL,11,28
Fleetwood,118,TH,NULL,110,248
Lydia Hawk,119,TH,NULL,164,289
Hays,120,TH,NULL,58,154
Indian Summer,121,TH,NULL,75,259
Chambers,122,TH,NULL,107,324
Freedom,123,TH,NULL,90,258
Fristoe,124,TH,NULL,50,136
Deschutes,125,TH,NULL,113,195
Longmire,126,TH,NULL,55,127
Ruth Prairie,127,TH,NULL,39,81
Weir Prairie,128,TH,NULL,79,189
College,129,TH,NULL,19,21
Bald Hills,130,TH,NULL,34,55
Hunter Point,131,TH,NULL,53,129
Griffin,132,TH,NULL,72,186
Schneiders Prairie,133,TH,NULL,51,165
Cooper Point,134,TH,NULL,69,228
Butler Cove,135,TH,NULL,57,212
Broadway,136,TH,NULL,117,260
Plainview,139,TH,NULL,121,330
Mud Bay,140,TH,NULL,85,183
Mclane,141,TH,NULL,53,162
Bush Prairie,143,TH,NULL,20,52
Black Lake,144,TH,NULL,82,269
Delphi,145,TH,NULL,59,202
South Union,146,TH,NULL,85,290
Plumb,147,TH,NULL,84,228
Scatter Creek,148,TH,NULL,57,156
Mcintosh,149,TH,NULL,145,340
Violet Prairie,150,TH,NULL,91,225
Littlerock,151,TH,NULL,129,330
Rochester 1,153,TH,NULL,88,243
Rochester 2,154,TH,NULL,50,210
Scott Lake North,155,TH,NULL,34,92
Grand Mound,156,TH,NULL,41,93
Gibson Valley,157,TH,NULL,15,27
Skookumchuck,158,TH,NULL,90,188
