Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,PA,NULL,5191
Baleville,1,PA,NULL,42
Bay Center,2,PA,NULL,110
Chinook,3,PA,NULL,170
Eklund Park,4,PA,NULL,44
Frances-Lebam,6,PA,NULL,100
Ilwaco 1 Rural,7,PA,NULL,0
Ilwaco 2 Rural,8,PA,NULL,46
Klipsan,9,PA,NULL,235
Menlo-Firdale,11,PA,NULL,203
Nahcotta,12,PA,NULL,504
Naselle,13,PA,NULL,326
Nemah,15,PA,NULL,35
North Cove,16,PA,NULL,213
Pioneer 2,17,PA,NULL,136
North River,18,PA,NULL,22
Ocean Park 1,19,PA,NULL,144
Ocean Park 2,20,PA,NULL,347
Oysterville,21,PA,NULL,276
Pioneer,22,PA,NULL,170
Raymond W2 R,23,PA,NULL,30
Raymond W3 R,24,PA,NULL,35
Seaview 1,25,PA,NULL,213
Seaview 2,26,PA,NULL,17
Smith Creek,27,PA,NULL,36
South Bend 1 R,28,PA,NULL,33
South Bend 3R,29,PA,NULL,4
South Bend 2R,30,PA,NULL,6
South Fork,32,PA,NULL,74
Willapa,34,PA,NULL,276
Ilwaco City,101,PA,NULL,213
Long Beach,103,PA,NULL,362
Raymond W1p1,105,PA,NULL,22
Raymond W1p2,106,PA,NULL,79
Raymond W1p3,107,PA,NULL,102
Raymond W2,108,PA,NULL,123
Raymond W3,110,PA,NULL,155
South Bend 1,113,PA,NULL,129
South Bend 2,115,PA,NULL,62
South Bend 3,117,PA,NULL,97
