Row Label,PrecinctCode,County,Registered Voters,Matt Manweller
Total,-1,LI,NULL,3577
ALMIRA RURAL,1,LI,NULL,25
BLUESTEM,2,LI,NULL,16
CANBY,3,LI,NULL,32
CRESTON RURAL,4,LI,NULL,48
WHEATLAND,5,LI,NULL,72
DAVENPORT RURAL,6,LI,NULL,74
DOWNS,7,LI,NULL,19
EARL,8,LI,NULL,29
EDWALL,9,LI,NULL,60
EGYPT,10,LI,NULL,97
ENOS,11,LI,NULL,14
GOVAN,12,LI,NULL,19
GRAND COULEE,13,LI,NULL,22
GRAVELLE,14,LI,NULL,34
HARR RURAL,15,LI,NULL,52
HAWK CREEK,16,LI,NULL,55
IRBY,17,LI,NULL,24
KELLER,18,LI,NULL,57
LAKEVIEW,19,LI,NULL,102
LAMONA,20,LI,NULL,24
EAST LARENE,21,LI,NULL,73
WEST LARENE,22,LI,NULL,30
LAYTON,23,LI,NULL,15
LONG LAKE,24,LI,NULL,61
MOHLER,25,LI,NULL,41
MONDOVI,26,LI,NULL,62
ODESSA RURAL,27,LI,NULL,77
PEACH,28,LI,NULL,115
N REARDAN RURAL,29,LI,NULL,33
S REARDAN RURAL,30,LI,NULL,40
RIVERVIEW,31,LI,NULL,117
SEVEN BAYS,32,LI,NULL,53
SHERMAN,33,LI,NULL,55
SPRAGUE RURAL,34,LI,NULL,96
SPRING CREEK,35,LI,NULL,69
WILBUR RURAL,36,LI,NULL,78
WAUKON,37,LI,NULL,42
WILSON CREEK,38,LI,NULL,28
ALMIRA IN,39,LI,NULL,78
CRESTON IN,40,LI,NULL,67
DAVENPORT IN,41,LI,NULL,493
HARRINGTON IN,42,LI,NULL,115
ODESSA IN,43,LI,NULL,288
REARDAN IN,44,LI,NULL,183
SPRAGUE IN,45,LI,NULL,105
WILBUR IN,46,LI,NULL,288
