Row Label,PrecinctCode,County,Registered Voters,Wade S. Samuelson
Total,-1,LE,NULL,16097
Adna ,1,LE,NULL,420
Agate,2,LE,NULL,124
Alpha,3,LE,NULL,324
Berwick,4,LE,NULL,369
Big Bottom,5,LE,NULL,251
Boistfort,6,LE,NULL,80
Cinebar,7,LE,NULL,204
Claquato,8,LE,NULL,256
Cowlitz,9,LE,NULL,410
Crego,10,LE,NULL,553
Curtis,11,LE,NULL,96
Drews Prairie,12,LE,NULL,124
Dryad,13,LE,NULL,89
Elk Crk,14,LE,NULL,77
Emery,15,LE,NULL,154
Emery North,16,LE,NULL,2
Ethel,17,LE,NULL,306
Evaline East,18,LE,NULL,90
Evaline West,19,LE,NULL,143
Fair,20,LE,NULL,0
Fords Prairie,21,LE,NULL,298
Forest,22,LE,NULL,274
Greenwood,23,LE,NULL,8
Harmony,24,LE,NULL,231
Independence,25,LE,NULL,50
Jackson,26,LE,NULL,320
Jackson North,27,LE,NULL,0
Kelly,28,LE,NULL,0
Klickitat,29,LE,NULL,137
Lincoln Creek,30,LE,NULL,215
Logan,31,LE,NULL,245
Mauermann,32,LE,NULL,59
Mellen,33,LE,NULL,1
Meskill,34,LE,NULL,46
Mineral,35,LE,NULL,122
Newaukum,36,LE,NULL,215
Onalaska,37,LE,NULL,472
Packwood,38,LE,NULL,67
Paradise,39,LE,NULL,36
Parcuvia,40,LE,NULL,200
Prescott,41,LE,NULL,472
Randle East,42,LE,NULL,221
Randle West,43,LE,NULL,164
Roswell,44,LE,NULL,6
Salkum,45,LE,NULL,201
Salmon Creek,46,LE,NULL,383
Salzer,47,LE,NULL,110
Sears,48,LE,NULL,191
Seminary Hill,49,LE,NULL,134
Silver Creek,50,LE,NULL,232
Skookumchuck,51,LE,NULL,253
Sommerville,52,LE,NULL,45
Stearns Creek,53,LE,NULL,104
Stillwater East,54,LE,NULL,74
Stillwater West,55,LE,NULL,131
Temple,56,LE,NULL,180
Union,57,LE,NULL,186
Urquhart,58,LE,NULL,150
Veness,59,LE,NULL,237
Verndale,60,LE,NULL,230
Whealdon,61,LE,NULL,193
Centralia #1,101,LE,NULL,107
Centralia #2,102,LE,NULL,286
Centralia #3,103,LE,NULL,111
Centralia #4,104,LE,NULL,165
Centralia #5,105,LE,NULL,138
Centralia #6,106,LE,NULL,229
Centralia #7,107,LE,NULL,121
Centralia #8,108,LE,NULL,143
Centralia #9,109,LE,NULL,290
Centralia #10,110,LE,NULL,115
Centralia #11,111,LE,NULL,291
Centralia #12,112,LE,NULL,343
Centralia #13,113,LE,NULL,354
Chehalis #1,201,LE,NULL,194
Chehalis #2,202,LE,NULL,132
Chehalis #3,203,LE,NULL,147
Chehalis #4,204,LE,NULL,141
Chehalis #5,205,LE,NULL,129
Chehalis #6,206,LE,NULL,252
Chehalis #7,207,LE,NULL,47
Chehalis #8,208,LE,NULL,178
Chehalis #9,209,LE,NULL,12
Morton,300,LE,NULL,181
Mossyrock,400,LE,NULL,103
Napavine #1,501,LE,NULL,338
Napavine #2,502,LE,NULL,0
Napavine #3,503,LE,NULL,1
Napavine #4,504,LE,NULL,0
Napavine #5,505,LE,NULL,0
Napavine #6,506,LE,NULL,0
Pe Ell,600,LE,NULL,136
Toledo,700,LE,NULL,135
Vader,800,LE,NULL,107
Winlock,900,LE,NULL,206
