Row Label,PrecinctCode,County,Registered Voters,Rocky Miller
Total,-1,CU,NULL,1600
ALTO,1,CU,NULL,56
COLUMBIA,2,CU,NULL,233
PING,3,CU,NULL,166
STAR,4,CU,NULL,92
STARBUCK COUNTRY,5,CU,NULL,19
TUCANNON,6,CU,NULL,55
BROOKLYN,101,CU,NULL,161
DAYTON,102,CU,NULL,196
MUSTARD,103,CU,NULL,155
PATIT,104,CU,NULL,144
RAINWATER,105,CU,NULL,122
STARBUCK CITY,106,CU,NULL,54
TOUCHET,107,CU,NULL,147
