Row Label,PrecinctCode,County,Registered Voters,Pat Kelleher,Paul V Rogers
Total,-1,KS,NULL,4693,5387
CLE ELUM 1,1,KS,NULL,79,65
CLE ELUM 2,2,KS,NULL,54,33
CLE ELUM 3,3,KS,NULL,24,15
CLE ELUM 4,4,KS,NULL,121,81
DENMARK,5,KS,NULL,167,230
EAST SANDERS,6,KS,NULL,127,156
EASTON,7,KS,NULL,127,136
ELLENSBURG 1,8,KS,NULL,18,22
ELLENSBURG 2,9,KS,NULL,35,35
ELLENSBURG 4,11,KS,NULL,18,18
ELLENSBURG 5,12,KS,NULL,35,38
ELLENSBURG 6,13,KS,NULL,26,26
ELLENSBURG 7,14,KS,NULL,25,25
ELLENSBURG 8,15,KS,NULL,31,43
ELLENSBURG 9,16,KS,NULL,29,46
ELLENSBURG 10,17,KS,NULL,45,75
ELLENSBURG 11,18,KS,NULL,35,78
ELLENSBURG 12,19,KS,NULL,39,62
ELLENSBURG 13,20,KS,NULL,38,46
ELLENSBURG 14,21,KS,NULL,44,80
ELLENSBURG 15,22,KS,NULL,71,65
ELLENSBURG 16,23,KS,NULL,84,123
ELLENSBURG 17,24,KS,NULL,75,78
ELLENSBURG 18,25,KS,NULL,10,20
ELLENSBURG 19,26,KS,NULL,114,134
ELLENSBURG 20,27,KS,NULL,32,34
ELLENSBURG 21,28,KS,NULL,53,44
ELLENSBURG 22,29,KS,NULL,58,91
ELLENSBURG 23,30,KS,NULL,94,89
ELLENSBURG 24,31,KS,NULL,154,174
HYAK,32,KS,NULL,40,26
KITTITAS 1,33,KS,NULL,55,65
MANASTASH,34,KS,NULL,95,142
MOUNTAIN,35,KS,NULL,58,41
NORTH CENTRAL,36,KS,NULL,113,141
NORTH ELLENSBURG,37,KS,NULL,173,203
PARK,38,KS,NULL,140,175
PEOH POINT,39,KS,NULL,127,115
RIDGEWAY,40,KS,NULL,163,278
ROSLYN 1,41,KS,NULL,67,57
ROSLYN 2,42,KS,NULL,41,57
DRY CREEK,43,KS,NULL,157,181
WESTSIDE,44,KS,NULL,144,135
ROSLYN OUTLYING,45,KS,NULL,19,26
SANDERS,46,KS,NULL,54,79
SOUTH CLE ELUM,47,KS,NULL,82,73
SOUTH ELLENSBURG,48,KS,NULL,201,180
SWAUK,50,KS,NULL,85,83
TEANAWAY,51,KS,NULL,141,95
THORP,52,KS,NULL,111,139
VANTAGE,53,KS,NULL,14,8
FAIRVIEW,54,KS,NULL,87,113
NORTHEAST FAIRVIEW,55,KS,NULL,144,169
THRALL,56,KS,NULL,114,167
DAMMAN,58,KS,NULL,117,194
KACHESS,59,KS,NULL,37,32
KITTITAS 2,60,KS,NULL,59,69
ELLENSBURG 25,61,KS,NULL,138,133
RONALD,62,KS,NULL,55,49
