Row Label,PrecinctCode,County,Registered Voters,Gary J. Brueher
Total,-1,AD,NULL,1409
Hatton City,313,AD,NULL,15
Hatton Rural,324,AD,NULL,26
Cunningham,325,AD,NULL,6
Othello City #1,411,AD,NULL,16
Othello City #2,412,AD,NULL,151
Othello City #3,413,AD,NULL,145
Othello City #4,414,AD,NULL,152
Othello City #5,415,AD,NULL,151
Othello City #6,416,AD,NULL,90
Othello Rural #1,511,AD,NULL,69
Othello Rural #2,512,AD,NULL,89
Othello Rural #3,513,AD,NULL,172
Othello Rural #4,514,AD,NULL,119
Othello Rural #5,515,AD,NULL,74
Othello Rural #6,516,AD,NULL,134
