Row Label,PrecinctCode,County,Registered Voters,Vickie Clelland
Total,-1,SM,NULL,3001
BEAR PRAIRIE,100,SM,NULL,125
MT. PLEASANT,101,SM,NULL,112
SKYE,102,SM,NULL,129
UPPER WASHOUGAL,103,SM,NULL,143
LEWIS RIVER,104,SM,NULL,11
CAPE HORN,105,SM,NULL,165
SKAMANIA,106,SM,NULL,192
CASCADES,201,SM,NULL,9
NORTH BONNEVILLE,202,SM,NULL,253
ROCK CREEK,203,SM,NULL,115
MAPLE VIEW,204,SM,NULL,199
NORTH STEVENSON,205,SM,NULL,148
SOUTH STEVENSON,206,SM,NULL,44
NELSON CREEK,207,SM,NULL,80
CARSON CREEK,208,SM,NULL,197
STABLER,300,SM,NULL,221
WIND RIVER,303,SM,NULL,172
HOT SPRINGS NORTH,304,SM,NULL,79
HOT SPRINGS SOUTH,305,SM,NULL,128
WIND MOUNTAIN,307,SM,NULL,79
CHENOWITH,309,SM,NULL,113
UNDERWOOD NORTH,310,SM,NULL,159
UNDERWOOD SOUTH,311,SM,NULL,128
